query,time,httpCalls,serverTime,errors
query_11390,87.502,2668,117.44715142428785,0
query_11391,50.529,1222,119.19803600654664,0
query_11392,,0
query_11393,,0
query_11394,107.338,3430,119.27580174927114,0
query_11395,,0
query_11396,0.515,8,106.75,0
query_11397,5.623,151,106.05960264900662,0
query_11398,83.224,2135,124.9672131147541,0
query_11399,,0
query_1139,2.265,63,102.82539682539682,0
query_113,,0
query_11400,0.663,8,134.75,0
query_11401,44.788,1218,120,0
query_11402,,0
query_11403,,0
query_11404,0.776,9,140.66666666666666,0
query_11405,,0
query_11406,114.614,1916,118.59029227557411,0
query_11407,41.937,916,129.3711790393013,0
query_11408,0.383,4,104.5,0
query_11409,105.885,4574,226.5878880629646,0
query_1140,,0
query_11410,36.851,945,107.67513227513227,0
query_11411,,0
query_11412,1.945,54,106.25925925925925,0
query_11413,0.497,5,121,0
query_11414,0.279,4,99,0
query_11415,0.475,6,120.5,0
query_11416,0.547,10,163.2,0
query_11417,,0
query_11418,114.621,3442,122.80563625798955,0
query_11419,,0
query_1141,,0
query_11420,,0
query_11421,,0
query_11422,81.381,3068,164.51760104302477,0
query_11423,0.149,1,96,0
query_11424,,0
query_11425,99.294,3918,148.86574783052578,0
query_11426,42.027,1246,121.67656500802568,0
query_11427,3.754,89,118.78651685393258,0
query_11428,33.706,1050,114.53142857142858,0
query_11429,51.75,1648,116.29004854368932,0
query_1142,,0
query_11430,,0
query_11431,31.351,944,120.63665254237289,0
query_11432,60.334,1704,130.7611502347418,0
query_11433,2.335,54,132.16666666666666,0
query_11434,9.086,238,132.32773109243698,0
query_11435,3.752,94,128.80851063829786,0
query_11436,7.396,165,129.22424242424242,0
query_11437,96.657,3430,107.18250728862974,0
query_11438,,0
query_11439,1.974,49,121.57142857142857,0
query_1143,,0
query_11440,,0
query_11441,,0
query_11442,,0
query_11443,,0
query_11444,,0
query_11445,,0
query_11446,,0
query_11447,17.49,502,125.80677290836654,0
query_11448,0.115,3,57,0
query_11449,31.032,903,114.84717607973423,0
query_1144,0.131,1,53,0
query_11450,,0
query_11451,7.822,327,122.1223241590214,0
query_11452,9.659,195,114.74871794871795,0
query_11453,,0
query_11454,54.435,1655,122.46102719033233,0
query_11455,0.581,11,85.9090909090909,0
query_11456,,0
query_11457,2.85,90,111.4888888888889,0
query_11458,0.196,4,64.75,0
query_11459,,0
query_1145,0.265,1,140,0
query_11460,,0
query_11461,,0
query_11462,,0
query_11463,,0
