query,time,httpCalls,serverTime,errors
query_11042,,0
query_11043,52.389,2743,64.37331388990157,0
query_11044,,0
query_11045,14.38,745,79.44832214765101,0
query_11046,,0
query_11047,6.464,294,59.47278911564626,0
query_11048,8.99,400,61.4175,0
query_11049,,0
query_1104,,0
query_11050,70,3411,71.47727939020815,0
query_11051,100.398,5083,72.16860121975212,0
query_11052,110.453,7566,102.1365318530267,0
query_11053,1.041,39,65.64102564102564,0
query_11054,,0
query_11055,,0
query_11056,4.767,263,61.547528517110266,0
query_11057,0.223,6,65.33333333333333,0
query_11058,21.202,1260,60.96984126984127,0
query_11059,,0
query_1105,61.298,4637,117.81539788656458,0
query_11060,0.324,7,76.14285714285714,0
query_11061,5.464,211,77.45971563981043,0
query_11062,66.114,3317,73.17455532107326,0
query_11063,63.234,2649,73.69309173272933,0
query_11064,78.904,3241,72.001851280469,0
query_11065,,0
query_11066,,0
query_11067,,0
query_11068,6.172,193,74.94818652849742,0
query_11069,,0
query_1106,39.14,1361,81.20646583394563,0
query_11070,71.444,3530,86.50254957507082,0
query_11071,3.324,149,74.02684563758389,0
query_11072,74.234,3990,105.96541353383459,0
query_11073,0.276,3,92,0
query_11074,54.145,2832,112.02895480225989,0
query_11075,52.799,2037,89.12763868433971,0
query_11076,74.781,3491,94.43855628759668,0
query_11077,,0
query_11078,50.081,3128,93.12468030690538,0
query_11079,5.782,239,65.45188284518828,0
query_1107,0.283,4,83,0
query_11080,59.181,3754,89.35215769845499,0
query_11081,,0
query_11082,9.972,482,66.53319502074689,0
query_11083,,0
query_11084,34.774,2384,81.01971476510067,0
query_11085,67.117,3391,73.7652609849602,0
query_11086,0.659,27,59.2962962962963,0
query_11087,,0
query_11088,,0
query_11089,,0
query_1108,,0
query_11090,58.877,167,70.59281437125749,0
query_11091,4.556,159,68.18867924528301,0
query_11092,,0
query_11093,110.988,6490,84.84776579352851,0
query_11094,65.981,3969,93.90274628369866,0
query_11095,,0
query_11096,3.176,126,80.42063492063492,0
query_11097,,0
query_11098,,0
query_11099,28.15,1176,80.0765306122449,0
query_1109,,0
query_110,22.542,1247,60.60384923817161,0
query_11100,,0
query_11101,65.979,3092,62.60769728331177,0
query_11102,,0
query_11103,,0
query_11104,20.578,1176,62.90816326530612,0
query_11105,,0
query_11106,0.227,4,67.25,0
query_11107,21.452,878,65.54441913439635,0
query_11108,112.654,5948,71.26765299260255,0
query_11109,0.332,11,70.18181818181819,0
query_1110,,0
query_11110,0.316,8,62.75,0
query_11111,27.621,1326,65.3763197586727,0
query_11112,,0
query_11113,,0
query_11114,95.52,5200,67.39596153846153,0
query_11115,1.044,52,66.42307692307692,0
query_11116,,0
query_11117,,0
query_11118,0.336,7,61.285714285714285,0
query_11119,29.473,1649,64.8114008489994,0
query_1111,61.19,3855,91.64383916990921,0
query_11120,68.035,4795,99.25943691345151,0
query_11121,68.761,3429,63.488188976377955,0
query_11122,,0
query_11123,0.417,9,65,0
query_11124,0.131,1,53,0
query_11125,96.232,4556,69.42383669885865,0
query_11126,10.898,514,63.12062256809339,0
query_11127,,0
query_11128,32.656,1320,79.68787878787879,0
query_11129,1.887,93,62.763440860215056,0
query_1112,0.341,7,63.142857142857146,0
query_11130,0.252,10,81.9,0
query_11131,,0
query_11132,,0
query_11133,0.295,6,62.333333333333336,0
query_11134,41.792,2030,80.8783251231527,0
query_11135,0.255,5,60.4,0
query_11136,27.242,1260,78.23571428571428,0
query_11137,0.146,4,55.25,0
query_11138,1.55,74,71.60810810810811,0
query_11139,6.099,178,77.93258426966293,0
query_1113,0.097,1,53,0
query_11140,,0
query_11141,,0
query_11142,32.779,1885,111.2551724137931,0
query_11143,57.997,2180,83.25504587155963,0
query_11144,,0
query_11145,,0
query_11146,,0
query_11147,0.192,3,60.666666666666664,0
query_11148,,0
query_11149,3.591,144,70.08333333333333,0
query_1114,,0
query_11150,,0
query_11151,0.276,10,117.7,0
query_11152,0.363,9,58.666666666666664,0
query_11153,,0
query_11154,,0
query_11155,,0
query_11156,43.164,1970,80.43299492385786,0
query_11157,2.86,128,81.109375,0
query_11158,29.647,1247,85.66960705693664,0
query_11159,65.77,3969,99.73973293020912,0
query_1115,,0
query_11160,1.151,37,74.4054054054054,0
query_11161,4.939,149,81.88590604026845,0
query_11162,32.726,1272,70.67059748427673,0
query_11163,,0
query_11164,7.506,273,64.17948717948718,0
query_11165,53.487,167,66.68263473053892,0
query_11166,24.49,1553,73.97295556986478,0
query_11167,76.563,3384,80.14213947990544,0
query_11168,,0
query_11169,,0
query_1116,,0
query_11170,,0
query_11171,,0
query_11172,,0
query_11173,5.43,188,64.38829787234043,0
query_11174,,0
query_11175,72.589,3372,69.17141162514828,0
query_11176,,0
query_11177,,0
query_11178,43.934,2423,64.02311184482048,0
query_11179,27.223,1302,69.55376344086021,0
query_1117,,0
query_11180,48.955,2026,70.04787759131293,0
query_11181,,0
query_11182,,0
query_11183,26.802,1229,71.00813669650123,0
query_11184,22.108,952,75.1470588235294,0
query_11185,1.502,64,79.8125,0
query_11186,,0
query_11187,,0
query_11188,,0
query_11189,0.935,51,54.15686274509804,0
query_1118,,0
query_11190,53.452,3523,70.01390860062446,0
query_11191,0.153,3,67,0
query_11192,,0
query_11193,,0
query_11194,0.131,1,57,0
query_11195,,0
query_11196,21.36,1294,54.15996908809892,0
query_11197,1.715,105,53.23809523809524,0
query_11198,,0
query_11199,20.159,1015,54.62463054187192,0
query_1119,38.917,2237,54.564148413053196,0
query_111,0.41,16,63.1875,0
query_11200,13.369,875,53.77028571428571,0
query_11201,0.079,1,52,0
query_11202,44.078,2313,53.81625594466061,0
query_11203,0.58,27,54.666666666666664,0
query_11204,36.727,2151,53.81589958158996,0
query_11205,0.153,4,63.5,0
query_11206,8.845,623,52.73836276083467,0
