query,time,httpCalls,nbResults,errors
query_11564,,0,0
query_11565,,0,0
query_11566,112.822,1,159,0
query_11567,113.549,1,31,0
query_11568,0.684,1,31,0
query_11569,,0,0
query_1156,8.666,1,3,0
query_11570,,0,0
query_11571,,0,0
query_11572,4.031,1,2,0
query_11573,3.058,1,80,0
query_11574,,0,0
query_11575,81.591,1,2,0
query_11576,57.931,1,1717,0
query_11577,84.364,1,3344,0
query_11578,,0,0
query_11579,67.641,1,32,0
query_1157,1.789,1,137,0
query_11580,66.658,1,1801,0
query_11581,73.721,1,4,0
query_11582,0.621,1,119,0
query_11583,,0,0
query_11584,4.992,1,1031,0
query_11585,99.295,1,8744,0
query_11586,23.975,1,5,0
query_11587,118.056,1,1637,0
query_11588,55.583,1,2415,0
query_11589,,0,0
query_1158,5.542,1,2442,0
query_11590,,0,0
query_11591,101.143,1,3,0
query_11592,,0,0
query_11593,2.795,1,207,0
query_11594,118.895,1,422,0
query_11595,,0,0
query_11596,109.612,1,119,0
query_11597,,0,0
query_11598,87.169,1,28380,0
query_11599,118.348,1,2,0
query_1159,2.631,1,3,0
query_115,1.483,1,333,0
query_11600,,0,0
query_11601,,0,0
query_11602,9.884,1,16,0
query_11603,,0,0
query_11604,85.887,1,1801,0
query_11605,36.474,1,2,0
query_11606,0.959,1,16,0
query_11607,1.588,1,2,0
query_11608,,0,0
query_11609,,0,0
query_1160,76.26,1,4,0
query_11610,48.676,1,25,0
query_11611,,0,0
query_11612,49.571,1,71,0
query_11613,,0,0
query_11614,67.222,1,3,0
query_11615,57.081,1,2,0
query_11616,,0,0
query_11617,68.23,1,106,0
query_11618,0.241,1,81,0
query_11619,,0,0
query_1161,,0,0
query_11620,,0,0
query_11621,,0,0
query_11622,11.721,1,5,0
query_11623,,0,0
query_11624,78.153,1,226,0
query_11625,57.142,1,2050,0
query_11626,109.992,1,87,0
query_11627,2.244,1,2,0
query_11628,,0,0
query_11629,,0,0
query_1162,1.727,1,104,0
query_11630,,0,0
query_11631,103.738,1,31,0
query_11632,,0,0
query_11633,66.537,1,163,0
query_11634,61.493,1,2,0
query_11635,,0,0
query_11636,4.183,1,112,0
query_11637,,0,0
query_11638,115.794,1,609,0
query_11639,61.647,1,252,0
query_1163,,0,0
query_11640,60.704,1,3,0
query_11641,119.462,1,1276,0
query_11642,5.709,1,2,0
query_11643,102.882,1,5,0
query_11644,,0,0
query_11645,11.364,1,99,0
query_11646,100.062,1,22372,0
query_11647,,0,0
query_11648,94.862,1,4,0
query_11649,,0,0
query_1164,12.985,1,385,0
query_11650,,0,0
query_11651,,0,0
query_11652,103.414,1,11,0
query_11653,20.807,1,11737,0
query_11654,2.257,1,13,0
query_11655,112.722,1,3,0
query_11656,58.972,1,3,0
query_11657,,0,0
query_11658,63.046,1,17,0
query_11659,3.979,1,551,0
query_1165,,0,0
query_11660,37.991,1,9631,0
query_11661,20.729,1,33,0
query_11662,2.224,1,117,0
query_11663,0.706,1,3,0
query_11664,,0,0
query_11665,,0,0
query_11666,14.763,1,3,0
query_11667,116.892,1,29,0
query_11668,73.764,1,182,0
query_11669,10.973,1,388,0
query_1166,,0,0
query_11670,109.015,1,25,0
query_11671,2.513,1,6,0
query_11672,,0,0
query_11673,107.106,1,31,0
query_11674,1.676,1,16,0
query_11675,6.583,1,314,0
query_11676,49.365,1,1048578,0
query_11677,73.103,1,180,0
query_11678,118.245,1,53,0
query_11679,7.858,1,2,0
query_1167,116.602,1,3,0
query_11680,105.923,1,10021,0
query_11681,28.282,1,4,0
query_11682,26.121,1,35,0
query_11683,0.517,1,2,0
query_11684,102.772,1,7,0
query_11685,,0,0
query_11686,,0,0
query_11687,,0,0
query_11688,72.444,1,3,0
query_11689,,0,0
query_1168,4.138,1,348,0
query_11690,,0,0
query_11691,63.967,1,2,0
query_11692,,0,0
query_11693,59.738,1,2239,0
query_11694,62.025,1,521930,0
query_11695,61.237,1,10,0
query_11696,104.914,1,2,0
query_11697,118.978,1,2,0
query_11698,20.404,1,99220,0
query_11699,107.91,1,182,0
query_1169,110.104,1,178,0
query_116,50.657,1,2,0
query_11700,0.576,1,3,0
query_11701,,0,0
query_11702,,0,0
query_11703,33.394,1,329924,0
query_11704,94.816,1,14,0
query_11705,27.104,1,1797,0
query_11706,,0,0
query_11707,24.616,1,2442,0
query_11708,108.077,1,2663,0
query_11709,3.251,1,430,0
query_1170,0.661,1,50,0
query_11710,,0,0
query_11711,6.643,1,16086,0
query_11712,,0,0
query_11713,9.073,1,80,0
query_11714,111.829,1,2,0
query_11715,117.377,1,96,0
query_11716,16.841,1,131,0
query_11717,51.496,1,112,0
query_11718,52.848,1,2239,0
query_11719,,0,0
query_1171,95.256,1,174118,0
query_11720,98.365,1,287,0
query_11721,30.649,1,3,0
query_11722,48.243,1,2,0
query_11723,2.731,1,2,0
query_11724,,0,0
query_11725,,0,0
query_11726,,0,0
query_11727,8.969,1,4,0
query_11728,,0,0
query_11729,56.413,1,2,0
query_1172,67.164,1,19304,0
query_11730,,0,0
query_11731,55.25,1,83,0
query_11732,70.791,1,348,0
query_11733,,0,0
query_11734,3.521,1,5,0
query_11735,64.692,1,4486,0
query_11736,74.557,1,10,0
query_11737,119.37,1,14,0
