query,time,httpCalls,serverTime,errors
query_1272,27.654,1154,76.07019064124783,0
query_1273,25.376,1293,74.2892498066512,0
query_1274,23.166,940,74.66382978723404,0
query_1275,114.041,5083,79.57249655715128,0
query_1276,,0
query_1277,29.206,1247,81.01684041700081,0
query_1278,,0
query_1279,2.259,95,70.98947368421052,0
query_127,70.859,2743,90.98177178271965,0
query_1280,,0
query_1281,,0
query_1282,2.084,103,63.05825242718446,0
query_1283,0.096,1,59,0
query_1284,35.254,1705,78.00645161290322,0
query_1285,,0
query_1286,8.688,304,65.15789473684211,0
query_1287,1.794,71,73.54929577464789,0
query_1288,,0
query_1289,,0
query_128,0.282,7,84.14285714285714,0
query_1290,0.775,15,120,0
query_1291,80.934,3692,130.48835319609967,0
query_1292,73.792,2276,102.49428822495607,0
query_1293,8.068,181,99.21546961325967,0
query_1294,,0
query_1295,77.595,3618,97.7396351575456,0
query_1296,0.459,7,91.14285714285714,0
query_1297,6.085,177,79.24293785310735,0
query_1298,29.013,934,84.94218415417559,0
query_1299,,0
query_129,67.909,3773,102.49854227405248,0
query_12,67.444,2743,84.19905213270142,0
query_1300,,0
query_1301,,0
query_1302,,0
query_1303,0.136,4,99.25,0
query_1304,,0
query_1305,9.288,407,84.06142506142506,0
query_1306,,0
query_1307,,0
query_1308,105.648,6635,145.8503391107762,0
query_1309,56.819,2200,81.22181818181818,0
query_130,28.184,964,81.17842323651452,0
query_1310,0.331,7,74.85714285714286,0
query_1311,0.154,3,63,0
query_1312,0.289,5,99.8,0
query_1313,8.495,300,71.68666666666667,0
query_1314,,0
query_1315,,0
query_1316,,0
query_1317,5.52,177,76.3954802259887,0
query_1318,0.174,3,83.66666666666667,0
query_1319,,0
query_131,33.625,1583,77.80669614655717,0
query_1320,7.166,374,66.48663101604278,0
query_1321,,0
query_1322,0.591,13,78.23076923076923,0
query_1323,56.477,2575,73.41747572815534,0
query_1324,76.177,4116,100.64601554907678,0
query_1325,,0
query_1326,6.391,187,73.82352941176471,0
query_1327,82.656,4244,97.62346842601319,0
query_1328,0.15,3,72.66666666666667,0
query_1329,3.418,138,69.08695652173913,0
query_132,20.013,946,73.75475687103594,0
query_1330,,0
query_1331,,0
query_1332,34.191,1217,97.54149548069022,0
query_1333,0.312,5,105.6,0
query_1334,2.883,95,93.67368421052632,0
query_1335,20.619,635,99.46929133858268,0
query_1336,,0
query_1337,0.529,7,103.28571428571429,0
query_1338,93.588,4398,119.82241928149159,0
query_1339,0.165,5,60.2,0
query_133,,0
query_1340,56.382,2128,87.44783834586467,0
query_1341,4.793,144,85.81944444444444,0
query_1342,,0
query_1343,,0
query_1344,7.463,234,88.67094017094017,0
query_1345,20.359,946,88.58879492600423,0
query_1346,32.328,1312,76.94969512195122,0
query_1347,,0
query_1348,3.711,114,87.58771929824562,0
query_1349,0.523,9,90.11111111111111,0
query_134,0.416,10,141.6,0
query_1350,25.116,962,70.0010395010395,0
query_1351,0.172,5,82.2,0
query_1352,,0
query_1353,5.666,195,67.45128205128205,0
query_1354,2.227,118,59.79661016949152,0
query_1355,3.527,128,81.5234375,0
query_1356,53.235,2111,76.66603505447655,0
query_1357,0.117,1,72,0
query_1358,0.265,3,88,0
query_1359,74.504,2558,92.7842064112588,0
query_135,,0
query_1360,,0
query_1361,11.32,441,70.83900226757369,0
query_1362,,0
query_1363,83.68,3383,75.90984333431865,0
query_1364,29.371,1004,79.51593625498008,0
query_1365,4.567,250,84.616,0
query_1366,,0
query_1367,,0
query_1368,0.1,4,60.75,0
query_1369,0.149,1,68,0
query_136,0.685,13,85.61538461538461,0
query_1370,0.497,8,94.875,0
query_1371,,0
query_1372,14.464,594,73.06060606060606,0
query_1373,,0
query_1374,,0
query_1375,56.162,2962,73.10769750168805,0
query_1376,1.809,67,81.22388059701493,0
query_1377,1.643,62,68.91935483870968,0
query_1378,4.191,148,74.36486486486487,0
query_1379,51.982,2643,73.78584941354521,0
query_137,0.265,8,77.5,0
query_1380,,0
query_1381,0.21,3,56.666666666666664,0
query_1382,,0
query_1383,3.989,106,80.84905660377359,0
query_1384,,0
query_1385,,0
query_1386,29.421,1285,74.43579766536965,0
query_1387,,0
query_1388,67.759,4635,128.58122977346278,0
query_1389,0.446,10,83,0
query_138,4.264,182,68.4065934065934,0
query_1390,,0
query_1391,0.215,3,59.333333333333336,0
query_1392,,0
query_1393,26.469,1274,70.21193092621664,0
query_1394,0.165,1,105,0
query_1395,0.732,20,77.5,0
query_1396,3.431,114,80.33333333333333,0
query_1397,104.815,4129,78.65996609348511,0
query_1398,7.528,350,74.28285714285714,0
query_1399,0.458,9,65.22222222222223,0
query_139,29.98,1229,75.37021969080553,0
query_13,58.76,3668,94.25654307524536,0
query_1400,8.402,347,67.22190201729107,0
query_1401,36.947,1665,72.13573573573574,0
query_1402,0.218,4,57.75,0
query_1403,1.827,72,75.01388888888889,0
query_1404,83.278,3920,70.62142857142857,0
query_1405,0.665,20,93.3,0
query_1406,37.621,1390,74.7294964028777,0
query_1407,0.48,14,80.64285714285714,0
query_1408,5.398,178,84.29213483146067,0
query_1409,84.673,3794,103.7445967316816,0
query_140,1.318,48,75.1875,0
query_1410,110.675,6466,87.60547479121558,0
query_1411,34.64,1637,74.82834453268174,0
query_1412,53.583,2083,77.42726836293807,0
query_1413,102.838,4129,76.55897311697747,0
query_1414,0.17,1,66,0
query_1415,83.849,3920,73.34005102040817,0
query_1416,77.429,2890,82.78650519031142,0
query_1417,104.947,4305,85.36864111498258,0
query_1418,0.565,11,82.9090909090909,0
query_1419,,0
query_141,103.459,3920,90.37066326530612,0
query_1420,58.775,2258,91.29229406554472,0
query_1421,,0
query_1422,,0
query_1423,3.029,98,79.34693877551021,0
query_1424,7.805,393,80.78880407124682,0
query_1425,,0
query_1426,5.421,182,90.13736263736264,0
query_1427,,0
query_1428,20.895,828,75.17632850241546,0
query_1429,12.093,594,65.993265993266,0
query_142,0.083,1,52,0
query_1430,1.218,54,61.48148148148148,0
query_1431,4.946,147,74.4421768707483,0
query_1432,,0
query_1433,1.583,75,68.74666666666667,0
query_1434,1.547,53,77.24528301886792,0
query_1435,0.21,6,54.5,0
query_1436,,0
query_1437,45.886,1661,95.82841661649609,0
query_1438,,0
query_1439,,0
query_143,,0
