query,time,httpCalls,nbResults,errors
query_10174,1.601,1,39,0
query_10175,,0,0
query_10176,100.46,1,2,0
query_10177,0.296,1,2,0
query_10178,101.974,1,128,0
query_10179,116.073,1,2,0
query_1017,7.48,1,61,0
query_10180,99.218,1,2455,0
query_10181,49.493,1,2,0
query_10182,93.883,1,341,0
query_10183,52,1,6,0
query_10184,,0,0
query_10185,0.668,1,4,0
query_10186,82.717,1,49,0
query_10187,0.996,1,1350,0
query_10188,,0,0
query_10189,49.845,1,31,0
query_1018,1.403,1,879,0
query_10190,1.009,1,8,0
query_10191,113.307,1,2,0
query_10192,8.04,1,2,0
query_10193,,0,0
query_10194,1.613,1,105,0
query_10195,99.331,1,5,0
query_10196,,0,0
query_10197,8.501,1,76502,0
query_10198,117.553,1,554149,0
query_10199,50.7,1,4,0
query_1019,35.292,1,10,0
query_101,85.806,1,2,0
query_10200,69.878,1,2,0
query_10201,50.551,1,2,0
query_10202,,0,0
query_10203,3.646,1,31,0
query_10204,,0,0
query_10205,,0,0
query_10206,,0,0
query_10207,7.152,1,3,0
query_10208,115.378,1,28380,0
query_10209,0.754,1,4,0
query_1020,63.672,1,10021,0
query_10210,57.529,1,2,0
query_10211,99.209,1,225,0
query_10212,75.871,1,27,0
query_10213,66.557,1,575,0
query_10214,,0,0
query_10215,51.766,1,3,0
query_10216,0.052,1,49,0
query_10217,,0,0
query_10218,13.39,1,278,0
query_10219,111.504,1,2,0
query_1021,114.998,1,258,0
query_10220,0.091,1,4,0
query_10221,66.535,1,41,0
query_10222,103.487,1,45,0
query_10223,,0,0
query_10224,,0,0
query_10225,,0,0
query_10226,3.159,1,30,0
query_10227,,0,0
query_10228,0.377,1,175,0
query_10229,0.193,1,236,0
query_1022,,0,0
query_10230,12.214,1,443,0
query_10231,1.661,1,2,0
query_10232,,0,0
query_10233,,0,0
query_10234,6.974,1,11,0
query_10235,85.315,1,9434,0
query_10236,50.147,1,18,0
query_10237,0.07,1,651,0
query_10238,2.833,1,2,0
query_10239,,0,0
query_1023,4.946,1,58,0
query_10240,,0,0
query_10241,29.526,1,609,0
query_10242,97.187,1,25,0
query_10243,0.27,1,4,0
query_10244,,0,0
query_10245,,0,0
query_10246,55.97,1,2,0
query_10247,63.231,1,483,0
query_10248,0.506,1,44,0
query_10249,53.371,1,1406,0
query_1024,,0,0
query_10250,20.252,1,99220,0
query_10251,106.901,1,3,0
query_10252,99.2,1,20,0
query_10253,24.801,1,487,0
query_10254,118.98,1,25,0
query_10255,0.321,1,2,0
query_10256,,0,0
query_10257,,0,0
query_10258,,0,0
query_10259,1.063,1,19,0
query_1025,,0,0
query_10260,101.914,1,2,0
query_10261,20.388,1,3,0
query_10262,101.053,1,9032,0
query_10263,0.041,1,487,0
query_10264,0.979,1,89,0
query_10265,,0,0
query_10266,3.024,1,129,0
query_10267,,0,0
query_10268,63.903,1,22573,0
query_10269,1.605,1,483,0
query_1026,3.417,1,50,0
query_10270,118.083,1,348,0
query_10271,1.807,1,528,0
query_10272,8.153,1,3,0
query_10273,0.725,1,44,0
query_10274,0.434,1,3,0
query_10275,,0,0
query_10276,,0,0
query_10277,7.392,1,22891,0
query_10278,103.268,1,69,0
query_10279,,0,0
query_1027,12.184,1,4,0
query_10280,0.035,1,131,0
query_10281,34.813,1,2,0
query_10282,86.882,1,2,0
query_10283,107.026,1,2,0
query_10284,1.406,1,7,0
query_10285,0.496,1,724,0
query_10286,0.174,1,2,0
query_10287,,0,0
query_10288,,0,0
query_10289,100.329,1,4207,0
query_1028,1.64,1,2,0
query_10290,0.167,1,2,0
query_10291,4.594,1,41,0
query_10292,8.639,1,815,0
query_10293,48.663,1,493,0
query_10294,98.591,1,1048578,0
query_10295,31.407,1,12,0
query_10296,97.893,1,4207,0
query_10297,1.574,1,22,0
query_10298,,0,0
query_10299,,0,0
query_1029,11.871,1,28380,0
query_102,98.897,1,2,0
query_10300,1.192,1,2,0
query_10301,,0,0
query_10302,8.087,1,7236,0
query_10303,100.919,1,3,0
query_10304,0.089,1,1809,0
query_10305,,0,0
query_10306,6.794,1,3,0
query_10307,,0,0
query_10308,64.959,1,76,0
query_10309,118.785,1,2,0
query_1030,6.612,1,4,0
query_10310,14.143,1,220,0
query_10311,98.907,1,2,0
query_10312,22.524,1,6388,0
query_10313,118.971,1,2,0
query_10314,3.413,1,212,0
query_10315,1.102,1,131,0
query_10316,,0,0
query_10317,2.46,1,15501,0
query_10318,,0,0
query_10319,23.328,1,131,0
query_1031,,0,0
query_10320,3.341,1,2,0
query_10321,2.493,1,3,0
query_10322,50.004,1,35,0
query_10323,47.531,1,8,0
query_10324,0.677,1,22819,0
query_10325,,0,0
query_10326,4.59,1,20,0
query_10327,117.551,1,35,0
query_10328,,0,0
query_10329,,0,0
query_1032,1.823,1,438,0
query_10330,0.523,1,1910,0
query_10331,0.118,1,8,0
query_10332,,0,0
query_10333,3.274,1,110,0
query_10334,119.502,1,5,0
query_10335,25.47,1,11,0
query_10336,,0,0
query_10337,2.154,1,2,0
query_10338,1.373,1,2,0
query_10339,,0,0
query_1033,,0,0
query_10340,46.794,1,204,0
query_10341,62.593,1,12,0
query_10342,61.904,1,4770,0
query_10343,,0,0
query_10344,83.734,1,347,0
query_10345,119.19,1,388,0
query_10346,39.123,1,69,0
query_10347,98.851,1,196,0
