query,time,httpCalls,nbResults,errors
query_8916,27.769,1,623,0
query_8917,93.624,1,1809,0
query_8918,94.602,1,15,0
query_8919,100.151,1,10,0
query_891,0.399,1,906,0
query_8920,,0,0
query_8921,3.756,1,2,0
query_8922,67.938,1,2,0
query_8923,,0,0
query_8924,39.862,1,2,0
query_8925,5.243,1,3,0
query_8926,112.353,1,5,0
query_8927,,0,0
query_8928,1.266,1,155,0
query_8929,21.273,1,10197,0
query_892,,0,0
query_8930,48.757,1,5,0
query_8931,2.899,1,2,0
query_8932,104.24,1,1048578,0
query_8933,15.216,1,27,0
query_8934,65.44,1,2,0
query_8935,0.807,1,2,0
query_8936,,0,0
query_8937,102.812,1,31,0
query_8938,18.735,1,2,0
query_8939,,0,0
query_893,2.472,1,13,0
query_8940,56.692,1,118,0
query_8941,64.377,1,8744,0
query_8942,102.475,1,697,0
query_8943,,0,0
query_8944,,0,0
query_8945,116.21,1,1048578,0
query_8946,,0,0
query_8947,107.038,1,1048578,0
query_8948,73.161,1,2,0
query_8949,62.526,1,27,0
query_894,64.23,1,2,0
query_8950,0.925,1,39,0
query_8951,,0,0
query_8952,2.82,1,2,0
query_8953,65.509,1,11,0
query_8954,,0,0
query_8955,26.863,1,96,0
query_8956,49.45,1,4,0
query_8957,,0,0
query_8958,35.135,1,33,0
query_8959,0.125,1,2,0
query_895,0.35,1,6,0
query_8960,,0,0
query_8961,21.543,1,2560,0
query_8962,106.078,1,15,0
query_8963,14.117,1,333,0
query_8964,,0,0
query_8965,,0,0
query_8966,6.084,1,14,0
query_8967,105.617,1,3,0
query_8968,33.25,1,3,0
query_8969,103.314,1,3,0
query_896,90.622,1,8,0
query_8970,0.099,1,119,0
query_8971,102.554,1,2,0
query_8972,,0,0
query_8973,,0,0
query_8974,4.558,1,97,0
query_8975,117.69,1,34,0
query_8976,27.064,1,9920,0
query_8977,,0,0
query_8978,95.344,1,2558,0
query_8979,53.251,1,3344,0
query_897,52.078,1,554,0
query_8980,0.058,1,6,0
query_8981,2.408,1,11,0
query_8982,,0,0
query_8983,104.648,1,51,0
query_8984,117.91,1,1048578,0
query_8985,,0,0
query_8986,20.829,1,660,0
query_8987,109.09,1,2,0
query_8988,,0,0
query_8989,1.812,1,225,0
query_898,,0,0
query_8990,116.077,1,31,0
query_8991,,0,0
query_8992,,0,0
query_8993,17.41,1,23,0
query_8994,51.51,1,55,0
query_8995,69.642,1,609,0
query_8996,105.943,1,12,0
query_8997,,0,0
query_8998,33.946,1,124,0
query_8999,0.073,1,102,0
query_899,,0,0
query_89,,0,0
query_8,10.689,1,1903,0
query_9000,14.332,1,5054,0
query_9001,24.013,1,3746,0
query_9002,,0,0
query_9003,2.291,1,651,0
query_9004,0.584,1,12,0
query_9005,49.989,1,1903,0
query_9006,,0,0
query_9007,4.062,1,2589,0
query_9008,,0,0
query_9009,3.775,1,42,0
query_900,117.154,1,385,0
query_9010,0.911,1,23,0
query_9011,44.991,1,1121,0
query_9012,0.791,1,651,0
query_9013,23.271,1,15,0
query_9014,2.37,1,1732,0
query_9015,,0,0
query_9016,,0,0
query_9017,,0,0
query_9018,58.146,1,1940,0
query_9019,46.15,1,15,0
query_901,,0,0
query_9020,2.076,1,3,0
query_9021,0.393,1,213,0
query_9022,,0,0
query_9023,108.997,1,1471,0
query_9024,0.429,1,9152,0
query_9025,,0,0
query_9026,49.943,1,10016,0
query_9027,0.331,1,55,0
query_9028,,0,0
query_9029,9.574,1,19,0
query_902,116.521,1,8,0
query_9030,4.317,1,724,0
query_9031,0.129,1,2453,0
query_9032,100.864,1,43,0
query_9033,28.628,1,8,0
query_9034,110.225,1,2724,0
query_9035,1.87,1,2,0
query_9036,51.214,1,45,0
query_9037,72.231,1,2,0
query_9038,,0,0
query_9039,,0,0
query_903,50.302,1,868,0
query_9040,,0,0
query_9041,0.865,1,26,0
query_9042,1.202,1,2,0
query_9043,,0,0
query_9044,6.804,1,3,0
query_9045,63.942,1,2,0
query_9046,,0,0
query_9047,58.837,1,805,0
query_9048,1.101,1,32,0
query_9049,39.032,1,19304,0
query_904,15.24,1,2,0
query_9050,,0,0
query_9051,,0,0
query_9052,2.988,1,25,0
query_9053,52.842,1,28,0
query_9054,0.501,1,3,0
query_9055,107.262,1,23444,0
query_9056,,0,0
query_9057,4.219,1,2,0
query_9058,67.967,1,2,0
query_9059,53.129,1,2,0
query_905,,0,0
query_9060,5.053,1,2,0
query_9061,117.084,1,561,0
query_9062,6.793,1,3,0
query_9063,0.432,1,832,0
query_9064,,0,0
query_9065,1.407,1,38,0
query_9066,,0,0
query_9067,6.569,1,38,0
query_9068,116.398,1,15,0
query_9069,5.334,1,54,0
query_906,117.862,1,16,0
query_9070,67.999,1,823,0
query_9071,1.799,1,145,0
query_9072,,0,0
query_9073,58.89,1,1300,0
query_9074,0.157,1,20,0
query_9075,,0,0
query_9076,10.764,1,64426,0
query_9077,0.27,1,159,0
query_9078,,0,0
query_9079,,0,0
query_907,,0,0
query_9080,44.339,1,284959,0
query_9081,77.84,1,109,0
query_9082,,0,0
query_9083,73.991,1,5,0
query_9084,,0,0
query_9085,57.634,1,4,0
query_9086,82.44,1,131,0
query_9087,23.225,1,148,0
query_9088,1.327,1,38,0
query_9089,21.473,1,254,0
