query,time,httpCalls,serverTime,errors
query_3530,,0
query_3531,,0
query_3532,,0
query_3533,0.427,6,131,0
query_3534,,0
query_3535,,0
query_3536,44.07,1277,120.48551292090838,0
query_3537,112.22,3365,123.62704309063894,0
query_3538,2.394,61,124.29508196721312,0
query_3539,109.143,3363,179.87838239666965,0
query_353,48.41,1176,136.83163265306123,0
query_3540,6.696,154,142.24675324675326,0
query_3541,,0
query_3542,1.208,26,126.38461538461539,0
query_3543,,0
query_3544,56.251,1318,137.76934749620636,0
query_3545,0.391,4,131.75,0
query_3546,,0
query_3547,,0
query_3548,,0
query_3549,0.317,1,155,0
query_354,0.183,4,58.5,0
query_3550,58.559,1396,135.817335243553,0
query_3551,,0
query_3552,0.539,9,100.55555555555556,0
query_3553,0.168,5,82,0
query_3554,0.782,11,129.8181818181818,0
query_3555,38.867,976,113.32069672131148,0
query_3556,,0
query_3557,0.559,10,212.1,0
query_3558,0.187,1,99,0
query_3559,,0
query_355,0.689,8,116.75,0
query_3560,,0
query_3561,56.573,2048,125.95556640625,0
query_3562,82.271,2574,118.74203574203574,0
query_3563,,0
query_3564,0.509,6,124.83333333333333,0
query_3565,0.567,10,203.1,0
query_3566,25.663,688,131.40552325581396,0
query_3567,,0
query_3568,50.425,1214,115.75617792421747,0
query_3569,,0
query_356,0.985,20,116.4,0
query_3570,10.018,310,118.30967741935484,0
query_3571,93,3282,164.43083485679463,0
query_3572,,0
query_3573,,0
query_3574,1.762,37,132,0
query_3575,18.83,513,134.25730994152048,0
query_3576,0.288,3,158,0
query_3577,0.298,5,142.2,0
query_3578,89.203,3351,159.7970754998508,0
query_3579,,0
query_357,,0
query_3580,0.319,6,94.66666666666667,0
query_3581,,0
query_3582,,0
query_3583,2.864,78,111.62820512820512,0
query_3584,0.611,8,179.5,0
query_3585,,0
query_3586,56.745,1970,108.61725888324874,0
query_3587,,0
query_3588,118.923,3208,134.10099750623442,0
query_3589,,0
query_358,35.058,1050,118.55904761904762,0
query_3590,70.368,2521,159.36890122967077,0
query_3591,0.53,10,101.8,0
query_3592,,0
query_3593,8.589,147,134.41496598639455,0
query_3594,63.106,1836,125.84967320261438,0
query_3595,103.209,4632,198.52482728842833,0
query_3596,45.801,1169,116.15825491873396,0
query_3597,,0
query_3598,,0
query_3599,,0
query_359,3.503,111,112.63963963963964,0
query_35,0.152,2,55.5,0
query_3600,20.665,821,125.28501827040195,0
query_3601,51.538,1655,118.37643504531722,0
query_3602,1.059,19,134.3684210526316,0
query_3603,,0
query_3604,,0
query_3605,,0
query_3606,0.261,4,146.25,0
query_3607,,0
query_3608,79.904,2258,122.01284322409212,0
query_3609,21.45,614,123.57817589576547,0
query_360,,0
query_3610,0.352,3,116.66666666666667,0
query_3611,0.382,6,140.33333333333334,0
query_3612,,0
query_3613,54.001,1652,120.87893462469734,0
query_3614,,0
query_3615,,0
query_3616,,0
query_3617,0.372,6,117.5,0
query_3618,,0
query_3619,0.178,1,93,0
query_361,19.832,594,115.5016835016835,0
query_3620,6.452,238,156.11764705882354,0
query_3621,,0
query_3622,1.903,47,112.7872340425532,0
query_3623,22.048,604,115.19701986754967,0
query_3624,0.421,10,156.4,0
query_3625,106.416,3317,117.8776002411818,0
query_3626,,0
query_3627,102.154,3398,114.42937021777516,0
query_3628,7.771,149,136.74496644295303,0
query_3629,0.998,24,122.04166666666667,0
query_362,0.218,3,74.33333333333333,0
query_3630,,0
query_3631,,0
query_3632,,0
query_3633,105.345,3271,123.81993274228064,0
query_3634,,0
query_3635,44.532,1268,127.55914826498423,0
query_3636,7.135,201,129.93532338308458,0
query_3637,,0
query_3638,,0
query_3639,4.973,128,133.109375,0
query_363,,0
query_3640,41.843,1176,139.51615646258503,0
query_3641,,0
query_3642,0.29,3,125.33333333333333,0
query_3643,0.822,15,134.86666666666667,0
query_3644,,0
query_3645,,0
query_3646,,0
query_3647,0.509,5,121.8,0
query_3648,31.481,1043,128.02588686481303,0
query_3649,78.734,2151,117.29102742910274,0
query_364,19.767,658,110.80395136778115,0
query_3650,105.277,4639,202.61220090536753,0
query_3651,,0
query_3652,,0
query_3653,56.207,1523,124.10308601444517,0
query_3654,,0
query_3655,0.621,7,117.28571428571429,0
query_3656,0.243,8,117.2,0
query_3657,47.262,1214,110.6507413509061,0
query_3658,37.024,934,109.15738758029978,0
query_3659,,0
query_365,,0
query_3660,,0
query_3661,6.048,138,108.8913043478261,0
query_3662,12.759,268,119.6455223880597,0
query_3663,0.499,5,115.6,0
query_3664,43.44,2066,191.67473378509197,0
query_3665,,0
query_3666,31.581,703,138.41536273115221,0
query_3667,,0
query_3668,86.347,2016,144.1279761904762,0
query_3669,0.546,8,93.25,0
query_366,,0
query_3670,,0
query_3671,,0
query_3672,,0
query_3673,,0
query_3674,,0
query_3675,9.752,224,135.30357142857142,0
query_3676,12.749,280,138.725,0
query_3677,0.392,3,142.66666666666666,0
query_3678,9.435,173,135.90173410404626,0
query_3679,,0
query_367,46.512,1287,127.24553224553225,0
query_3680,,0
query_3681,7.106,172,115.53488372093024,0
query_3682,8.811,178,109.6067415730337,0
query_3683,,0
query_3684,5.778,174,111.77011494252874,0
query_3685,,0
query_3686,96.225,4061,143.65599606008374,0
query_3687,,0
query_3688,,0
query_3689,0.793,14,110.07142857142857,0
query_368,,0
query_3690,,0
query_3691,,0
query_3692,101.542,3279,115.97682220189083,0
query_3693,0.831,17,112.76470588235294,0
query_3694,21.969,674,106.66617210682493,0
query_3695,0.571,9,126.55555555555556,0
query_3696,71.921,2026,106.9822309970385,0
query_3697,67.6,1812,126.08664459161147,0
query_3698,,0
query_3699,49.85,1691,109.21052631578948,0
query_369,6.664,259,92.48648648648648,0
query_36,4.481,117,107.51282051282051,0
query_3700,,0
query_3701,,0
query_3702,41.063,1176,112.89880952380952,0
query_3703,0.193,1,111,0
