query,time,httpCalls,nbResults,errors
query_7874,,0,0
query_7875,3.944,1,127,0
query_7876,0.185,1,17,0
query_7877,0.414,1,61,0
query_7878,0.092,1,2,0
query_7879,0.227,1,2,0
query_787,1.575,1,2728,0
query_7880,,0,0
query_7881,3.523,1,2154,0
query_7882,61.894,1,341,0
query_7883,48.805,1,4,0
query_7884,0.401,1,2239,0
query_7885,74.56,1,54,0
query_7886,0.024,1,36,0
query_7887,0.077,1,34,0
query_7888,3.539,1,296,0
query_7889,97.366,1,2,0
query_788,0.135,1,50,0
query_7890,0.05,1,2,0
query_7891,2.691,1,28380,0
query_7892,62.476,1,87,0
query_7893,,0,0
query_7894,1.477,1,2,0
query_7895,0.252,1,3,0
query_7896,100.993,1,2279,0
query_7897,0.106,1,2,0
query_7898,63.294,1,2,0
query_7899,57.67,1,2,0
query_789,0.094,1,13,0
query_78,34.363,1,287714,0
query_7900,89.957,1,4,0
query_7901,36.137,1,119,0
query_7902,0.578,1,5,0
query_7903,103.9,1,651,0
query_7904,0.067,1,23,0
query_7905,62.06,1,1048578,0
query_7906,58.952,1,482,0
query_7907,99.75,1,2,0
query_7908,0.128,1,1439,0
query_7909,0.185,1,1801,0
query_790,,0,0
query_7910,1.291,1,143,0
query_7911,99.922,1,16,0
query_7912,48.354,1,1048578,0
query_7913,81.938,1,6,0
query_7914,24.519,1,31,0
query_7915,47.712,1,6191,0
query_7916,74.258,1,708,0
query_7917,100.294,1,2,0
query_7918,,0,0
query_7919,0.861,1,3,0
query_791,0.119,1,11,0
query_7920,,0,0
query_7921,,0,0
query_7922,,0,0
query_7923,2.453,1,2,0
query_7924,,0,0
query_7925,6.246,1,3,0
query_7926,9.012,1,194,0
query_7927,,0,0
query_7928,1.012,1,150,0
query_7929,0.267,1,16190,0
query_792,103.22,1,100,0
query_7930,0.287,1,8030,0
query_7931,,0,0
query_7932,0.572,1,23,0
query_7933,37.871,1,541,0
query_7934,1.192,1,561,0
query_7935,99.317,1,9,0
query_7936,0.058,1,16,0
query_7937,50.513,1,126,0
query_7938,70.164,1,376,0
query_7939,50.568,1,227,0
query_793,0.301,1,8030,0
query_7940,0.217,1,31,0
query_7941,0.073,1,2,0
query_7942,,0,0
query_7943,0.316,1,96,0
query_7944,,0,0
query_7945,64.83,1,108,0
query_7946,99.09,1,89,0
query_7947,62.63,1,1048578,0
query_7948,48.342,1,26,0
query_7949,48.073,1,1043,0
query_794,0.257,1,137,0
query_7950,0.322,1,32,0
query_7951,0.06,1,5,0
query_7952,55.336,1,134,0
query_7953,66.477,1,35,0
query_7954,2.011,1,8842,0
query_7955,1.417,1,7,0
query_7956,0.262,1,332,0
query_7957,,0,0
query_7958,101.717,1,51,0
query_7959,0.067,1,4,0
query_795,,0,0
query_7960,106.251,1,287,0
query_7961,14.238,1,2,0
query_7962,48.351,1,16190,0
query_7963,9.258,1,20,0
query_7964,1.292,1,609,0
query_7965,0.225,1,113,0
query_7966,1.232,1,13,0
query_7967,,0,0
query_7968,0.093,1,30,0
query_7969,71.15,1,28380,0
query_796,0.07,1,35,0
query_7970,0.251,1,861,0
query_7971,,0,0
query_7972,5.184,1,89,0
query_7973,0.182,1,5,0
query_7974,,0,0
query_7975,36.228,1,10,0
query_7976,2.125,1,2855,0
query_7977,0.958,1,73,0
query_7978,2.356,1,15,0
query_7979,0.077,1,67,0
query_797,0.098,1,2924,0
query_7980,,0,0
query_7981,34.204,1,10,0
query_7982,,0,0
query_7983,1.456,1,9582,0
query_7984,63.119,1,34,0
query_7985,0.244,1,2107,0
query_7986,0.65,1,3,0
query_7987,0.483,1,29,0
query_7988,1.615,1,4905,0
query_7989,0.152,1,2453,0
query_798,1.849,1,1457,0
query_7990,3.542,1,1818,0
query_7991,0.414,1,7236,0
query_7992,57.968,1,6,0
query_7993,72.759,1,4104,0
query_7994,47.463,1,2,0
query_7995,1.445,1,3,0
query_7996,0.073,1,2,0
query_7997,0.203,1,31,0
query_7998,61.331,1,38,0
query_7999,0.164,1,32,0
query_799,0.538,1,15,0
query_79,98.618,1,10336,0
query_7,21.905,1,2239,0
query_8000,118.899,1,1090,0
query_8001,6.928,1,2,0
query_8002,,0,0
query_8003,6.296,1,32,0
query_8004,1.261,1,15,0
query_8005,0.578,1,4195,0
query_8006,,0,0
query_8007,1.666,1,21,0
query_8008,,0,0
query_8009,1.435,1,2,0
query_800,0.059,1,2,0
query_8010,,0,0
query_8011,1.181,1,160,0
query_8012,0.127,1,4658,0
query_8013,,0,0
query_8014,1.927,1,1899,0
query_8015,25.107,1,174118,0
query_8016,95.653,1,2,0
query_8017,10.102,1,145,0
query_8018,0.096,1,2558,0
query_8019,48.706,1,2,0
query_801,2.609,1,24537,0
query_8020,0.093,1,2028,0
query_8021,,0,0
query_8022,0.993,1,2,0
query_8023,98.151,1,10,0
query_8024,0.091,1,3596,0
query_8025,0.263,1,16086,0
query_8026,,0,0
query_8027,3.476,1,8,0
query_8028,0.198,1,5,0
query_8029,0.087,1,2,0
query_802,1.451,1,10,0
query_8030,,0,0
query_8031,0.347,1,7,0
query_8032,4.101,1,1439,0
query_8033,77.27,1,20,0
query_8034,62.46,1,226,0
query_8035,1.259,1,227,0
query_8036,0.412,1,24,0
query_8037,0.13,1,3344,0
query_8038,0.067,1,212,0
query_8039,38.133,1,2,0
query_803,0.247,1,2,0
query_8040,9.775,1,369,0
query_8041,79.093,1,39,0
query_8042,0.029,1,3,0
query_8043,97.426,1,34,0
query_8044,0.139,1,4,0
query_8045,,0,0
query_8046,,0,0
