query,time,httpCalls,nbResults,errors
query_12259,,0,0
query_1225,,0,0
query_12260,113.057,1,134,0
query_12261,113.42,1,827,0
query_12262,100.483,1,3,0
query_12263,26.073,1,1987,0
query_12264,2.352,1,45,0
query_12265,,0,0
query_12266,,0,0
query_12267,4.011,1,50,0
query_12268,3.097,1,651,0
query_12269,,0,0
query_1226,18.622,1,15,0
query_12270,,0,0
query_12271,83.983,1,583,0
query_12272,,0,0
query_12273,68.993,1,1689,0
query_12274,2.087,1,44,0
query_12275,19.302,1,3,0
query_12276,,0,0
query_12277,1.959,1,2,0
query_12278,,0,0
query_12279,5.13,1,651,0
query_1227,99.28,1,250,0
query_12280,24.015,1,2,0
query_12281,118.064,1,275,0
query_12282,55.62,1,4,0
query_12283,,0,0
query_12284,69.357,1,1048578,0
query_12285,,0,0
query_12286,37.311,1,2,0
query_12287,,0,0
query_12288,110.175,1,53,0
query_12289,,0,0
query_1228,,0,0
query_12290,86.189,1,13,0
query_12291,,0,0
query_12292,,0,0
query_12293,3.407,1,54,0
query_12294,1.355,1,2548,0
query_12295,,0,0
query_12296,,0,0
query_12297,9.619,1,3,0
query_12298,,0,0
query_12299,52.035,1,120,0
query_1229,70.616,1,487,0
query_122,0.837,1,6234,0
query_12300,1.894,1,6590,0
query_12301,,0,0
query_12302,,0,0
query_12303,76.307,1,2,0
query_12304,48.657,1,906,0
query_12305,,0,0
query_12306,49.489,1,10,0
query_12307,,0,0
query_12308,67.314,1,119,0
query_12309,57.644,1,3268,0
query_1230,,0,0
query_12310,67.779,1,7236,0
query_12311,,0,0
query_12312,68.148,1,96,0
query_12313,58.353,1,20,0
query_12314,,0,0
query_12315,,0,0
query_12316,30.812,1,17,0
query_12317,95.333,1,3344,0
query_12318,,0,0
query_12319,117.455,1,1048578,0
query_1231,6.794,1,3,0
query_12320,,0,0
query_12321,104.331,1,3268,0
query_12322,18.776,1,2136,0
query_12323,,0,0
query_12324,103.578,1,28380,0
query_12325,,0,0
query_12326,66.893,1,5,0
query_12327,61.487,1,16,0
query_12328,,0,0
query_12329,5.418,1,3936,0
query_1232,118.846,1,6388,0
query_12330,115.3,1,1997,0
query_12331,61.599,1,209,0
query_12332,60.527,1,331,0
query_12333,,0,0
query_12334,1.208,1,15,0
query_12335,,0,0
query_12336,107.966,1,30,0
query_12337,,0,0
query_12338,111.112,1,1903,0
query_12339,0.835,1,5589,0
query_1233,,0,0
query_12340,94.795,1,5,0
query_12341,,0,0
query_12342,12.933,1,2,0
query_12343,,0,0
query_12344,,0,0
query_12345,103.24,1,463,0
query_12346,21.025,1,160,0
query_12347,2.352,1,2,0
query_12348,49.859,1,20,0
query_12349,,0,0
query_1234,64.595,1,906,0
query_12350,,0,0
query_12351,3.912,1,128,0
query_12352,,0,0
query_12353,37.749,1,925,0
query_12354,20.844,1,11737,0
query_12355,2.238,1,5,0
query_12356,0.772,1,100,0
query_12357,,0,0
query_12358,,0,0
query_12359,14.696,1,333,0
query_1235,116.884,1,57,0
query_12360,73.993,1,12604,0
query_12361,111.272,1,270138,0
query_12362,,0,0
query_12363,10.454,1,67,0
query_12364,118.281,1,51,0
query_12365,2.608,1,1417,0
query_12366,106.854,1,2,0
query_12367,3.448,1,27,0
query_12368,4.049,1,31,0
query_12369,,0,0
query_1236,4.648,1,56,0
query_12370,,0,0
query_12371,,0,0
query_12372,107.24,1,1048578,0
query_12373,28.373,1,611,0
query_12374,26.259,1,174118,0
query_12375,102.717,1,60,0
query_12376,,0,0
query_12377,4.81,1,3,0
query_12378,,0,0
query_12379,119.012,1,23,0
query_1237,,0,0
query_12380,71.538,1,5,0
query_12381,99.201,1,157,0
query_12382,23.985,1,2,0
query_12383,,0,0
query_12384,,0,0
query_12385,1.999,1,58,0
query_12386,,0,0
query_12387,106.644,1,1834,0
query_12388,2.812,1,5,0
query_12389,,0,0
query_1238,,0,0
query_12390,115.993,1,4207,0
query_12391,3.956,1,38,0
query_12392,48.393,1,2,0
query_12393,0.824,1,2,0
query_12394,,0,0
query_12395,,0,0
query_12396,33.447,1,538,0
query_12397,94.575,1,598,0
query_12398,27.154,1,3247,0
query_12399,,0,0
query_1239,59.133,1,3,0
query_123,73.641,1,12,0
query_1240,3.196,1,376,0
query_1241,0.987,1,2177,0
query_1242,,0,0
query_1243,6.185,1,2,0
query_1244,,0,0
query_1245,9.037,1,13,0
query_1246,111.788,1,2,0
query_1247,117.426,1,265,0
query_1248,16.883,1,31,0
query_1249,52.577,1,3,0
query_124,,0,0
query_1250,,0,0
query_1251,27.25,1,552,0
query_1252,98.457,1,7,0
query_1253,30.772,1,48,0
query_1254,48.339,1,45,0
query_1255,2.513,1,27,0
query_1256,118.985,1,2,0
query_1257,,0,0
query_1258,7.037,1,2,0
query_1259,117.893,1,15,0
query_125,4.697,1,8,0
query_1260,,0,0
query_1261,56.355,1,33,0
query_1262,72.702,1,78,0
query_1263,115.622,1,2,0
query_1264,,0,0
query_1265,5.698,1,15,0
query_1266,,0,0
query_1267,2.984,1,6,0
query_1268,,0,0
query_1269,68.236,1,8,0
query_126,,0,0
query_1270,71.312,1,17,0
query_1271,1.088,1,332,0
