query,time,httpCalls,nbResults,errors
query_8047,,0,0
query_8048,104.873,1,2,0
query_8049,18.448,1,119,0
query_804,,0,0
query_8050,3.243,1,54,0
query_8051,118.144,1,7,0
query_8052,63.987,1,1730,0
query_8053,,0,0
query_8054,41.122,1,834,0
query_8055,4.349,1,247,0
query_8056,119.194,1,5,0
query_8057,14.542,1,2,0
query_8058,76.605,1,16190,0
query_8059,44.746,1,2317,0
query_805,,0,0
query_8060,45.113,1,4905,0
query_8061,115.733,1,51,0
query_8062,51.818,1,232,0
query_8063,16.043,1,5,0
query_8064,,0,0
query_8065,2.898,1,4836,0
query_8066,100.709,1,46,0
query_8067,20.822,1,1439,0
query_8068,0.937,1,651,0
query_8069,30.816,1,2,0
query_806,103.365,1,88,0
query_8070,107.855,1,23,0
query_8071,80.79,1,1048578,0
query_8072,115.795,1,2,0
query_8073,62.258,1,1870,0
query_8074,91.881,1,2,0
query_8075,,0,0
query_8076,111.787,1,3,0
query_8077,17.244,1,28380,0
query_8078,115.229,1,3,0
query_8079,,0,0
query_807,11.09,1,2,0
query_8080,,0,0
query_8081,,0,0
query_8082,2.176,1,2,0
query_8083,65.264,1,556,0
query_8084,,0,0
query_8085,57.103,1,2,0
query_8086,0.423,1,67,0
query_8087,,0,0
query_8088,41.02,1,40,0
query_8089,80.162,1,458,0
query_808,0.367,1,67,0
query_8090,0.877,1,27,0
query_8091,69.22,1,51,0
query_8092,62.593,1,5,0
query_8093,113.51,1,2,0
query_8094,63.848,1,31,0
query_8095,0.389,1,2,0
query_8096,,0,0
query_8097,,0,0
query_8098,70.666,1,11,0
query_8099,69.666,1,9670,0
query_809,,0,0
query_80,67.902,1,65,0
query_8100,66.803,1,2,0
query_8101,54.653,1,2,0
query_8102,69.303,1,265,0
query_8103,117.687,1,219,0
query_8104,,0,0
query_8105,,0,0
query_8106,7.513,1,6,0
query_8107,63.031,1,651,0
query_8108,62.277,1,23,0
query_8109,,0,0
query_810,53.716,1,717,0
query_8110,70.189,1,17,0
query_8111,2.533,1,2,0
query_8112,,0,0
query_8113,,0,0
query_8114,113.625,1,3344,0
query_8115,106.101,1,14,0
query_8116,15.743,1,10,0
query_8117,,0,0
query_8118,102.976,1,216950,0
query_8119,20.509,1,61,0
query_811,1.021,1,6,0
query_8120,,0,0
query_8121,58.283,1,147,0
query_8122,,0,0
query_8123,77.619,1,49,0
query_8124,64.706,1,17,0
query_8125,49.671,1,21,0
query_8126,,0,0
query_8127,3.368,1,2,0
query_8128,28.608,1,4,0
query_8129,93.647,1,313,0
query_812,,0,0
query_8130,106.38,1,67,0
query_8131,22.229,1,6,0
query_8132,13.947,1,165,0
query_8133,,0,0
query_8134,13.414,1,575,0
query_8135,101.753,1,1048578,0
query_8136,,0,0
query_8137,54.43,1,1048578,0
query_8138,1.265,1,22372,0
query_8139,,0,0
query_813,4.169,1,31,0
query_8140,,0,0
query_8141,2.199,1,1834,0
query_8142,,0,0
query_8143,10.125,1,76502,0
query_8144,38.583,1,2412,0
query_8145,22.154,1,227,0
query_8146,,0,0
query_8147,,0,0
query_8148,41.544,1,243152,0
query_8149,,0,0
query_814,85.298,1,8,0
query_8150,50.613,1,2,0
query_8151,42.801,1,23,0
query_8152,,0,0
query_8153,3.137,1,15,0
query_8154,119.283,1,67,0
query_8155,0.474,1,20,0
query_8156,,0,0
query_8157,34.488,1,2,0
query_8158,57.186,1,2484,0
query_8159,0.326,1,114,0
query_815,1.071,1,487,0
query_8160,,0,0
query_8161,3.851,1,10197,0
query_8162,105.745,1,15,0
query_8163,20.899,1,38,0
query_8164,27.452,1,2,0
query_8165,94.195,1,3,0
query_8166,9.759,1,76502,0
query_8167,,0,0
query_8168,,0,0
query_8169,108.172,1,11,0
query_816,94.121,1,3,0
query_8170,40.855,1,2,0
query_8171,,0,0
query_8172,4.613,1,8,0
query_8173,,0,0
query_8174,79.395,1,2,0
query_8175,,0,0
query_8176,,0,0
query_8177,53.713,1,289,0
query_8178,69.286,1,8831,0
query_8179,,0,0
query_817,,0,0
query_8180,4.121,1,2,0
query_8181,117.503,1,27,0
query_8182,3.416,1,2,0
query_8183,119.427,1,2169,0
query_8184,103.624,1,3,0
query_8185,18.716,1,2,0
query_8186,,0,0
query_8187,,0,0
query_8188,65.026,1,101,0
query_8189,,0,0
query_818,24.163,1,168805,0
query_8190,13.803,1,7746,0
query_8191,53.178,1,419,0
query_8192,72.625,1,9,0
query_8193,,0,0
query_8194,52.405,1,2537,0
query_8195,69.717,1,65,0
query_8196,36.719,1,1797,0
query_8197,,0,0
query_8198,73.537,1,2,0
query_8199,,0,0
query_819,6.409,1,312,0
query_81,91.052,1,28,0
query_8200,31.083,1,487,0
query_8201,91.152,1,2,0
query_8202,0.65,1,35,0
query_8203,,0,0
query_8204,32.078,1,33,0
query_8205,54.257,1,240,0
query_8206,66.599,1,911,0
query_8207,13.137,1,2558,0
query_8208,,0,0
query_8209,26.288,1,51,0
query_820,98.948,1,81,0
query_8210,114.79,1,651,0
query_8211,,0,0
query_8212,41.791,1,12604,0
query_8213,,0,0
query_8214,105.901,1,2,0
query_8215,119.482,1,4,0
query_8216,106.079,1,13,0
query_8217,15.675,1,66,0
query_8218,2.243,1,275,0
query_8219,,0,0
query_821,3.008,1,9,0
