query,time,httpCalls,nbResults,errors
query_9959,105.63,1,4307,0
query_995,18.854,1,1797,0
query_9960,98.819,1,9434,0
query_9961,,0,0
query_9962,,0,0
query_9963,4.636,1,2,0
query_9964,102.124,1,48,0
query_9965,,0,0
query_9966,67.424,1,402,0
query_9967,59.256,1,4,0
query_9968,3.259,1,430,0
query_9969,,0,0
query_996,73.9,1,4,0
query_9970,86.986,1,3,0
query_9971,49.62,1,3,0
query_9972,,0,0
query_9973,65.047,1,521930,0
query_9974,62.733,1,2,0
query_9975,,0,0
query_9976,67.185,1,17,0
query_9977,0.121,1,1899,0
query_9978,98.938,1,561,0
query_9979,24.982,1,7,0
query_997,,0,0
query_9980,5.66,1,152,0
query_9981,116.36,1,2,0
query_9982,56.267,1,150,0
query_9983,66.932,1,157,0
query_9984,62.996,1,15,0
query_9985,106.309,1,651,0
query_9986,16.662,1,16,0
query_9987,,0,0
query_9988,112.473,1,33,0
query_9989,16.715,1,353,0
query_998,,0,0
query_9990,113.644,1,7,0
query_9991,,0,0
query_9992,114.104,1,2,0
query_9993,18.541,1,4229,0
query_9994,1.432,1,311,0
query_9995,,0,0
query_9996,105.644,1,2412,0
query_9997,19.492,1,59,0
query_9998,99.676,1,101,0
query_9999,119.812,1,5589,0
query_999,,0,0
query_99,6.003,1,2,0
query_9,0.461,1,182,0
