query,time,httpCalls,completeness,soundness,errors
query_10174,21.302,484,1.00,1.00,0
query_10175,28.109,478,1.00,0,0
query_10176,0.546,1,1.00,1.00,0
query_10177,0.615,4,1.00,1.00,0
query_10179,0.6,1,1.00,1.00,0
query_1017,0.964,9,1.00,1.00,0
query_10180,4.044,86,1.00,1.00,0
query_10181,0.571,3,1.00,1.00,0
query_10182,4.024,68,1.00,1.00,0
query_10183,0.884,8,1.00,1.00,0
query_10184,0.634,3,1.00,1.00,0
query_10185,0.761,4,1.00,1.00,0
query_10186,0.565,4,1.00,1.00,0
query_10187,9.738,178,1.00,1.00,0
query_10188,6.094,88,1.00,1.00,0
query_1018,15.749,337,1.00,1.00,0
query_10190,0.705,4,1.00,1.00,0
query_10191,67.958,1289,1.00,1.00,0
query_10192,0.436,1,1.00,1.00,0
query_10193,0.444,0,1.00,1.00,0
query_10195,6.023,88,1.00,1.00,0
query_10196,3.706,70,1.00,1.00,0
query_10199,0.58,3,1.00,1.00,0
query_1019,15.201,320,1.00,1.00,0
query_101,1.151,16,1.00,1.00,0
query_10200,0.93,9,1.00,1.00,0
query_10201,0.373,1,1.00,1.00,0
query_10203,1.337,15,1.00,1.00,0
query_10205,1.544,21,1.00,1.00,0
query_10207,4.72,69,1.00,1.00,0
query_10209,3.33,43,1.00,1.00,0
query_1020,10.536,148,0.00,1.00,0
query_10210,0.468,1,1.00,1.00,0
query_10211,23.044,416,1.00,1.00,0
query_10212,10.311,186,1.00,1.00,0
query_10213,7.853,131,1.00,1.00,0
query_10214,0.58,0,1.00,1.00,0
query_10215,0.228,0,1.00,1.00,0
query_10216,16.912,327,1.00,1.00,0
query_10217,0.263,0,1.00,1.00,0
query_10218,6.355,133,1.00,1.00,0
query_10219,66.605,1289,1.00,1.00,0
query_1021,1.847,28,1.00,1.00,0
query_10220,4.244,59,1.00,1.00,0
query_10221,15.652,297,1.00,1.00,0
query_10222,0.838,7,1.00,1.00,0
query_10225,66.433,1001,0.00,1.00,0
query_10226,1.717,26,1.00,1.00,0
query_10227,0.291,0,1.00,1.00,0
query_10229,1.697,24,1.00,1.00,0
query_1022,1.737,35,1.00,1.00,0
query_10230,18.092,515,1.00,1.00,0
query_10231,0.468,0,1.00,1.00,0
query_10232,0.478,1,1.00,1.00,0
query_10234,5.965,91,1.00,1.00,0
query_10235,10.448,141,1.00,1.00,0
query_10236,0.742,5,1.00,1.00,0
query_10237,27.375,590,1.00,1.00,0
query_10238,15.979,333,1.00,1.00,0
query_1023,24.613,583,1.00,1.00,0
query_10240,15.621,236,1.00,1.00,0
query_10241,51.441,788,1.00,1.00,0
query_10242,0.638,4,1.00,1.00,0
query_10243,6.196,88,1.00,1.00,0
query_10246,0.232,0,1.00,1.00,0
query_10248,5.015,69,1.00,1.00,0
query_10251,0.231,0,1.00,1.00,0
query_10253,10.385,244,.99,.99,0
query_10254,5.847,85,1.00,1.00,0
query_10255,0.493,1,1.00,1.00,0
query_10256,1.173,10,1.00,1.00,0
query_10257,15.8,237,1.00,1.00,0
query_10258,0.481,0,1.00,1.00,0
query_10259,3.887,77,1.00,1.00,0
query_1025,0.706,1,1.00,1.00,0
query_10261,0.404,1,1.00,1.00,0
query_10263,10.777,244,.99,.99,0
query_10266,15.935,258,1.00,1.00,0
query_10268,27.136,465,1.00,1.00,0
query_1026,0.608,5,1.00,1.00,0
query_10271,27.47,508,1.00,1.00,0
query_10272,0.219,0,1.00,1.00,0
query_10273,5.055,69,1.00,1.00,0
query_10274,0.665,3,1.00,1.00,0
query_10277,28.223,478,1.00,1.00,0
query_10279,0.516,1,1.00,1.00,0
query_1027,3.38,46,0,0,0
query_10280,1.314,15,1.00,1.00,0
query_10281,0.59,1,1.00,1.00,0
query_10282,0.518,0,1.00,1.00,0
query_10283,0.487,1,1.00,1.00,0
query_10284,15.79,237,1.00,1.00,0
query_10285,5.236,90,1.00,1.00,0
query_10286,0.599,2,1.00,1.00,0
query_10287,5.109,107,1.00,1.00,0
query_10288,28.147,590,0,1.00,0
query_1028,0.448,1,1.00,1.00,0
query_10291,15.815,297,1.00,1.00,0
query_10292,12.761,305,1.00,1.00,0
query_10293,8.201,135,1.00,1.00,0
query_10295,1.035,13,1.00,1.00,0
query_10297,18.32,277,1.00,1.00,0
query_10298,7.467,106,1.00,1.00,0
query_10299,5.839,85,1.00,1.00,0
query_102,12.695,222,1.00,1.00,0
query_10300,0.25,0,1.00,1.00,0
query_10301,24.949,429,1.00,1.00,0
query_10302,11.24,193,0.00,1.00,0
query_10303,0.379,1,1.00,1.00,0
query_10304,21.952,428,1.00,1.00,0
query_10307,4.549,82,1.00,1.00,0
query_10308,12.288,251,1.00,1.00,0
query_10309,0.402,1,1.00,1.00,0
query_1030,3.481,46,1.00,1.00,0
query_10310,3.781,63,1.00,1.00,0
query_10311,0.522,1,1.00,1.00,0
query_10313,0.701,1,1.00,1.00,0
query_10314,1.745,28,1.00,1.00,0
query_10315,4.904,79,1.00,1.00,0
query_10316,4.422,57,1.00,1.00,0
query_10317,16.598,229,1.00,1.00,0
query_10318,16.173,347,1.00,.18,0
query_10319,1.214,14,1.00,1.00,0
query_1031,7.153,129,1.00,1.00,0
query_10320,0.354,0,1.00,1.00,0
query_10322,4.463,82,1.00,1.00,0
query_10323,7.515,133,1.00,1.00,0
query_10324,27.054,457,0.00,0,0
query_10326,0.714,4,1.00,1.00,0
query_10327,11.366,232,1.00,1.00,0
query_1032,25.522,237,1.00,0,0
query_10330,8.52,151,1.00,1.00,0
query_10331,6.536,96,1.00,1.00,0
query_10332,6.035,125,1.00,1.00,0
query_10335,3.984,76,1.00,1.00,0
query_10337,0.348,0,1.00,1.00,0
query_10338,0.65,0,1.00,1.00,0
query_10339,0.867,8,1.00,1.00,0
query_1033,1.258,11,1.00,1.00,0
query_10340,5.664,112,1.00,1.00,0
query_10341,2.066,25,1.00,1.00,0
query_10343,4.919,83,1.00,1.00,0
query_10344,2.024,23,1.00,1.00,0
query_10345,15.942,431,1.00,1.00,0
query_10346,0.712,5,1.00,1.00,0
