query,time,httpCalls,completeness,soundness,errors
query_10174,120.002,364,.40,1.00,1
query_10175,120.005,326,.68,1.00,1
query_10176,3.006,1,1.00,1.00,0
query_10177,4.234,4,1.00,1.00,0
query_10179,3.502,1,1.00,1.00,0
query_1017,5.717,9,1.00,1.00,0
query_10180,23.878,86,1.00,1.00,0
query_10181,3.14,3,1.00,1.00,0
query_10182,23.9,68,1.00,1.00,0
query_10183,3.895,8,1.00,1.00,0
query_10184,2.995,3,1.00,1.00,0
query_10185,4.011,4,1.00,1.00,0
query_10186,3.824,4,1.00,1.00,0
query_10187,74.473,178,1.00,1.00,0
query_10188,35.134,88,1.00,1.00,0
query_1018,79.256,337,1.00,1.00,0
query_10190,1.601,4,1.00,1.00,0
query_10191,120.003,549,1.00,1.00,1
query_10192,0.826,1,1.00,1.00,0
query_10193,1.077,0,1.00,1.00,0
query_10195,25.954,88,1.00,1.00,0
query_10196,15.404,70,1.00,1.00,0
query_10199,1.719,3,1.00,1.00,0
query_1019,62.63,320,1.00,1.00,0
query_101,4.302,16,1.00,1.00,0
query_10200,3.102,9,1.00,1.00,0
query_10201,0.733,1,1.00,1.00,0
query_10203,4.246,15,1.00,1.00,0
query_10205,6.392,21,1.00,1.00,0
query_10207,20.811,69,1.00,1.00,0
query_10209,12.878,43,1.00,1.00,0
query_1020,41.769,148,1.00,1.00,0
query_10210,0.884,1,1.00,1.00,0
query_10211,120.002,301,.54,1.00,1
query_10212,91.898,186,1.00,1.00,0
query_10213,61.51,131,1.00,1.00,0
query_10214,8.974,0,1.00,1.00,0
query_10215,2.384,0,1.00,1.00,0
query_10216,120.002,271,.63,1.00,1
query_10217,1.234,0,1.00,1.00,0
query_10218,42.035,133,1.00,1.00,0
query_10219,120.002,276,1.00,1.00,1
query_1021,13.195,28,1.00,1.00,0
query_10220,28.002,59,1.00,1.00,0
query_10221,104.064,297,1.00,1.00,0
query_10222,6.64,7,1.00,1.00,0
query_10225,120.002,253,.25,1.00,1
query_10226,11.762,26,1.00,1.00,0
query_10227,0.742,0,1.00,1.00,0
query_10229,10.468,24,1.00,1.00,0
query_1022,11.56,35,1.00,1.00,0
query_10230,120.004,465,.88,1.00,1
query_10231,1.35,0,1.00,1.00,0
query_10232,2.113,1,1.00,1.00,0
query_10234,46.642,91,1.00,1.00,0
query_10235,65.523,141,1.00,1.00,0
query_10236,3.623,5,1.00,1.00,0
query_10237,120.003,338,.61,1.00,1
query_10238,120.003,327,1.00,1.00,1
query_1023,120.003,383,.55,1.00,1
query_10240,99.93,236,1.00,1.00,0
query_10241,120.003,276,0,1.00,1
query_10242,3.838,4,1.00,1.00,0
query_10243,31.989,88,1.00,1.00,0
query_10246,0.961,0,1.00,1.00,0
query_10248,34.066,69,1.00,1.00,0
query_10251,1.239,0,1.00,1.00,0
query_10253,64.895,244,.99,.99,0
query_10254,32.055,85,1.00,1.00,0
query_10255,1.53,1,1.00,1.00,0
query_10256,4.294,10,1.00,1.00,0
query_10257,87.929,237,1.00,1.00,0
query_10258,1.272,0,1.00,1.00,0
query_10259,22.715,77,1.00,1.00,0
query_1025,1.584,1,1.00,1.00,0
query_10261,2.382,1,1.00,1.00,0
query_10263,71.789,244,.99,.99,0
query_10266,82.776,258,1.00,1.00,0
query_10268,120.002,436,.93,1.00,1
query_1026,1.677,5,1.00,1.00,0
query_10271,120.002,468,.96,1.00,1
query_10272,1.069,0,1.00,1.00,0
query_10273,19.799,69,1.00,1.00,0
query_10274,1.908,3,1.00,1.00,0
query_10277,120.003,407,.84,1.00,1
query_10279,1.567,1,1.00,1.00,0
query_1027,13.198,46,1.00,1.00,0
query_10280,4.167,15,1.00,1.00,0
query_10281,1.525,1,1.00,1.00,0
query_10282,1.145,0,1.00,1.00,0
query_10283,1.999,1,1.00,1.00,0
query_10284,95.187,237,1.00,1.00,0
query_10285,30.941,90,1.00,1.00,0
query_10286,2.617,2,1.00,1.00,0
query_10287,32.021,107,1.00,1.00,0
query_10288,120.003,419,.77,1.00,1
query_1028,1,1,1.00,1.00,0
query_10291,109.557,297,1.00,1.00,0
query_10292,81.789,305,1.00,1.00,0
query_10293,58.256,135,1.00,1.00,0
query_10295,4.288,13,1.00,1.00,0
query_10297,117.143,277,1.00,1.00,0
query_10298,49.309,106,1.00,1.00,0
query_10299,40.661,85,1.00,1.00,0
query_102,76.663,222,1.00,1.00,0
query_10300,0.923,0,1.00,1.00,0
query_10301,120.002,327,.73,1.00,1
query_10302,61.84,193,1.00,1.00,0
query_10303,0.782,1,1.00,1.00,0
query_10304,120.003,411,.95,1.00,1
query_10307,27.259,82,1.00,1.00,0
query_10308,90.206,251,1.00,1.00,0
query_10309,1.941,1,1.00,1.00,0
query_1030,20.334,46,1.00,1.00,0
query_10310,24.519,63,1.00,1.00,0
query_10311,2.227,1,1.00,1.00,0
query_10313,2.289,1,1.00,1.00,0
query_10314,10.536,28,1.00,1.00,0
query_10315,37.323,79,1.00,1.00,0
query_10316,27.432,57,1.00,1.00,0
query_10317,105.966,229,0.00,1.00,0
query_10318,97.916,347,1.00,1.00,0
query_10319,4.914,14,1.00,1.00,0
query_1031,39.299,129,1.00,1.00,0
query_10320,0.911,0,1.00,1.00,0
query_10322,23.844,82,1.00,1.00,0
query_10323,36.03,133,1.00,1.00,0
query_10324,120.003,351,.76,1.00,1
query_10326,3.284,4,1.00,1.00,0
query_10327,73.48,232,1.00,1.00,0
query_1032,50.73,237,1.00,1.00,0
query_10330,58.655,151,1.00,1.00,0
query_10331,46.718,96,1.00,1.00,0
query_10332,36.454,125,1.00,1.00,0
