query,time,httpCalls,completeness,soundness,errors
query_10174,120.002,107,0,1.00,1
query_10175,120.003,159,.33,1.00,1
query_10176,4.052,1,1.00,1.00,0
query_10177,5.088,4,1.00,1.00,0
query_10179,2.558,1,1.00,1.00,0
query_1017,8.086,9,1.00,1.00,0
query_10180,42.361,86,1.00,1.00,0
query_10181,2.508,3,1.00,1.00,0
query_10182,32.334,68,1.00,1.00,0
query_10183,7.525,8,1.00,1.00,0
query_10184,3.75,3,1.00,1.00,0
query_10185,5.77,4,1.00,1.00,0
query_10186,4.923,4,1.00,1.00,0
query_10187,113.262,178,1.00,1.00,0
query_10188,75.559,88,1.00,1.00,0
query_1018,120.003,216,.59,1.00,1
query_10190,4.831,4,1.00,1.00,0
query_10191,120.003,217,1.00,1.00,1
query_10192,2.562,1,1.00,1.00,0
query_10193,2.2,0,1.00,1.00,0
query_10195,52.214,88,1.00,1.00,0
query_10196,32.749,70,1.00,1.00,0
query_10199,3.853,3,1.00,1.00,0
query_1019,120.003,233,0,1.00,1
query_101,10.208,16,1.00,1.00,0
query_10200,5.892,9,1.00,1.00,0
query_10201,1.807,1,1.00,1.00,0
query_10203,12.982,15,1.00,1.00,0
query_10205,13.456,21,1.00,1.00,0
query_10207,56.066,69,1.00,1.00,0
query_10209,40.144,43,1.00,1.00,0
query_1020,120.002,100,.66,1.00,1
query_10210,4.68,1,1.00,1.00,0
query_10211,120.002,146,.18,1.00,1
query_10212,120.003,117,.48,1.00,1
query_10213,87.17,131,1.00,1.00,0
query_10214,3.2,0,1.00,1.00,0
query_10215,1.728,0,1.00,1.00,0
query_10216,120.002,176,.44,1.00,1
query_10217,2.048,0,1.00,1.00,0
query_10218,66.356,133,1.00,1.00,0
query_10219,120.003,237,1.00,1.00,1
query_1021,14.088,28,1.00,1.00,0
query_10220,35.024,59,1.00,1.00,0
query_10221,120.002,237,.51,1.00,1
query_10222,5.521,7,1.00,1.00,0
query_10225,120.002,203,.20,1.00,1
query_10226,14.742,26,1.00,1.00,0
query_10227,2.547,0,1.00,1.00,0
query_10229,17.277,24,1.00,1.00,0
query_1022,14.262,35,1.00,1.00,0
query_10230,120.003,384,.71,1.00,1
query_10231,1.423,0,1.00,1.00,0
query_10232,2.167,1,1.00,1.00,0
query_10234,60.446,91,1.00,1.00,0
query_10235,106.727,141,.45,0,0
query_10236,4.087,5,1.00,1.00,0
query_10237,120.003,265,.48,1.00,1
query_10238,120.002,236,1.00,1.00,1
query_1023,120.003,233,.19,1.00,1
query_10240,120.002,134,.46,1.00,1
query_10241,120.002,173,0,1.00,1
query_10242,6.011,4,1.00,1.00,0
query_10243,76.702,88,1.00,1.00,0
query_10246,3.012,0,1.00,1.00,0
query_10248,60.934,69,1.00,1.00,0
query_10251,2.139,0,1.00,1.00,0
query_10253,120.002,217,.86,.99,1
query_10254,63.528,85,1.00,1.00,0
query_10255,3.027,1,1.00,1.00,0
query_10256,11.64,10,1.00,1.00,0
query_10257,120.004,178,1.00,1.00,1
query_10258,1.565,0,1.00,1.00,0
query_10259,34.859,77,1.00,1.00,0
query_1025,3.171,1,1.00,1.00,0
query_10261,4.861,1,1.00,1.00,0
query_10263,120.002,191,.74,.99,1
query_10266,120.002,106,.10,1.00,1
query_10268,120.011,20,.03,1.00,1
query_1026,47.765,5,1.00,1.00,0
query_10271,120.009,11,0,1.00,1
query_10272,42.006,0,1.00,1.00,0
query_10273,120.015,5,0,1.00,16
query_10274,120.1,0,0,1.00,6
query_10277,120.007,12,.02,1.00,1
query_10279,37.472,1,1.00,1.00,0
query_1027,120.008,9,0,1.00,1
query_10280,120.003,8,.90,1.00,1
query_10281,63.022,1,1.00,1.00,0
query_10282,39.75,0,1.00,1.00,0
query_10283,29.648,1,1.00,1.00,0
query_10284,,0,1.00,15
query_10285,120.099,0,0,1.00,6
query_10286,120.1,0,1.00,1.00,6
query_10287,120.005,9,0,1.00,1
query_10288,120.001,10,0,1.00,1
query_1028,30.138,1,1.00,1.00,0
query_10291,120.008,12,0,1.00,1
query_10292,120.006,21,0,1.00,1
query_10293,120.005,8,0,1.00,1
query_10295,111.373,13,1.00,1.00,0
query_10297,120.003,11,0,1.00,13
query_10298,120.002,35,.25,1.00,1
query_10299,71.233,85,1.00,1.00,0
query_102,120.004,140,1.00,1.00,1
query_10300,1.695,0,1.00,1.00,0
query_10301,120.004,152,.28,1.00,1
query_10302,120.003,166,.84,1.00,1
query_10303,2.929,1,1.00,1.00,0
query_10304,120.003,213,.49,1.00,1
query_10307,,0,1.00,15
query_10308,120.102,0,1.00,1.00,6
query_10309,21.871,1,1.00,1.00,0
query_1030,41.582,46,1.00,1.00,0
query_10310,31.859,63,1.00,1.00,0
query_10311,3.452,1,1.00,1.00,0
query_10313,2.241,1,1.00,1.00,0
query_10314,16.127,28,1.00,1.00,0
query_10315,48.34,79,1.00,1.00,0
query_10316,34.371,57,1.00,1.00,0
query_10317,120.002,154,.68,1.00,1
query_10318,120.003,201,.20,1.00,1
query_10319,9.656,14,1.00,1.00,0
query_1031,101.775,129,1.00,1.00,0
query_10320,2.171,0,1.00,1.00,0
query_10322,98.417,82,1.00,1.00,0
query_10323,,0,1.00,15
query_10324,120.101,0,0,1.00,6
query_10326,120.077,1,0,1.00,1
query_10327,120.002,174,0,1.00,1
query_1032,120.002,196,.66,1.00,1
query_10330,120.003,151,.97,1.00,1
query_10331,92.405,96,1.00,1.00,0
query_10332,49.358,125,1.00,1.00,0
query_10335,38.988,76,1.00,1.00,0
query_10337,1.16,0,1.00,1.00,0
query_10338,2.701,0,1.00,1.00,0
query_10339,6.426,8,1.00,1.00,0
query_1033,8.84,11,1.00,1.00,0
query_10340,46.419,112,1.00,1.00,0
query_10341,13.933,25,1.00,1.00,0
query_10343,59.793,83,1.00,1.00,0
query_10344,19.508,23,1.00,1.00,0
query_10345,120.0,299,.07,1.00,15
query_10346,14.785,5,1.00,1.00,0
