query,time,httpCalls,completeness,soundness,errors
query_10174,22.004,484,1.00,1.00,0
query_10175,29.548,478,1.00,1.00,0
query_10176,0.51,1,1.00,1.00,0
query_10177,0.692,4,1.00,1.00,0
query_10179,0.719,1,1.00,1.00,0
query_1017,1.121,9,1.00,1.00,0
query_10180,4.322,86,1.00,0,0
query_10181,0.666,3,1.00,1.00,0
query_10182,4.297,68,1.00,1.00,0
query_10183,1.061,8,1.00,1.00,0
query_10184,0.812,3,1.00,1.00,0
query_10185,0.836,4,1.00,1.00,0
query_10186,0.704,4,1.00,1.00,0
query_10187,10.121,178,1.00,1.00,0
query_10188,6.687,88,1.00,1.00,0
query_1018,16.485,337,1.00,1.00,0
query_10190,0.776,4,1.00,1.00,0
query_10191,71.534,1289,1.00,1.00,0
query_10192,0.478,1,1.00,1.00,0
query_10193,0.599,0,1.00,1.00,0
query_10195,6.463,88,1.00,1.00,0
query_10196,4.072,70,1.00,1.00,0
query_10199,0.728,3,1.00,1.00,0
query_1019,16.185,320,1.00,1.00,0
query_101,1.286,16,1.00,1.00,0
query_10200,1.02,9,1.00,1.00,0
query_10201,0.42,1,1.00,1.00,0
query_10203,1.541,15,1.00,1.00,0
query_10205,1.768,21,1.00,1.00,0
query_10207,5.185,69,1.00,1.00,0
query_10209,3.725,43,1.00,1.00,0
query_1020,11.305,148,0.00,1.00,0
query_10210,0.54,1,1.00,1.00,0
query_10211,24.444,416,1.00,1.00,0
query_10212,10.94,186,1.00,1.00,0
query_10213,8.676,131,1.00,1.00,0
query_10214,0.795,0,1.00,1.00,0
query_10215,0.3,0,1.00,1.00,0
query_10216,17.813,327,1.00,1.00,0
query_10217,0.249,0,1.00,1.00,0
query_10218,6.897,133,1.00,1.00,0
query_10219,70.686,1289,1.00,1.00,0
query_1021,2.023,28,1.00,1.00,0
query_10220,4.653,59,1.00,1.00,0
query_10221,16.21,297,1.00,1.00,0
query_10222,0.889,7,1.00,1.00,0
query_10225,70.727,1001,1.00,1.00,0
query_10226,1.971,26,0.00,1.00,0
query_10227,0.374,0,1.00,1.00,0
query_10229,1.795,24,1.00,1.00,0
query_1022,1.965,35,1.00,1.00,0
query_10230,19.624,515,1.00,1.00,0
query_10231,0.617,0,1.00,1.00,0
query_10232,0.654,1,1.00,1.00,0
query_10234,6.692,91,1.00,1.00,0
query_10235,11.265,141,1.00,1.00,0
query_10236,0.785,5,1.00,1.00,0
query_10237,29.448,590,1.00,1.00,0
query_10238,17.168,333,1.00,1.00,0
query_1023,25.758,583,1.00,1.00,0
query_10240,16.587,236,1.00,1.00,0
query_10241,54.448,788,1.00,1.00,0
query_10242,0.782,4,1.00,1.00,0
query_10243,6.442,88,1.00,1.00,0
query_10246,0.278,0,1.00,1.00,0
query_10248,5.33,69,1.00,1.00,0
query_10251,0.235,0,1.00,1.00,0
query_10253,10.897,244,.99,.99,0
query_10254,6.168,85,1.00,1.00,0
query_10255,0.558,1,1.00,1.00,0
query_10256,1.169,10,1.00,1.00,0
query_10257,16.365,237,1.00,1.00,0
query_10258,0.607,0,1.00,1.00,0
query_10259,4.134,77,1.00,1.00,0
query_1025,0.877,1,1.00,1.00,0
query_10261,0.433,1,1.00,1.00,0
query_10263,10.795,244,.99,1.00,0
query_10266,16.886,258,1.00,1.00,0
query_10268,28.327,465,1.00,1.00,0
query_1026,0.794,5,1.00,1.00,0
query_10271,28.556,508,1.00,1.00,0
query_10272,0.249,0,1.00,1.00,0
query_10273,5.269,69,1.00,1.00,0
query_10274,0.723,3,1.00,1.00,0
query_10277,29.036,478,1.00,1.00,0
query_10279,0.617,1,1.00,1.00,0
query_1027,3.555,46,1.00,1.00,0
query_10280,1.413,15,1.00,0,0
query_10281,0.486,1,1.00,1.00,0
query_10282,0.59,0,1.00,1.00,0
query_10283,0.577,1,1.00,1.00,0
query_10284,16.354,237,1.00,1.00,0
query_10285,5.425,90,1.00,1.00,0
query_10286,0.693,2,1.00,1.00,0
query_10287,5.323,107,1.00,1.00,0
query_10288,28.546,590,1.00,1.00,0
query_1028,0.442,1,1.00,1.00,0
query_10291,16.196,297,1.00,1.00,0
query_10292,12.798,305,1.00,1.00,0
query_10293,8.261,135,1.00,1.00,0
query_10295,1.122,13,1.00,1.00,0
query_10297,18.622,277,1.00,1.00,0
query_10298,7.488,106,1.00,1.00,0
query_10299,6.001,85,1.00,1.00,0
query_102,12.894,222,1.00,1.00,0
query_10300,0.246,0,1.00,1.00,0
query_10301,25.965,429,0.00,0,0
query_10302,11.674,193,0.00,1.00,0
query_10303,0.437,1,1.00,1.00,0
query_10304,22.906,428,1.00,1.00,0
query_10307,4.703,82,1.00,1.00,0
query_10308,12.675,251,1.00,1.00,0
query_10309,0.366,1,1.00,1.00,0
query_1030,3.937,46,1.00,1.00,0
query_10310,4.029,63,1.00,1.00,0
query_10311,0.639,1,1.00,1.00,0
query_10313,0.772,1,1.00,1.00,0
query_10314,1.954,28,1.00,1.00,0
query_10315,5.122,79,1.00,1.00,0
query_10316,4.576,57,1.00,1.00,0
query_10317,17.031,229,0.00,0,0
query_10318,17.03,347,0.00,1.00,0
query_10319,1.313,14,1.00,1.00,0
query_1031,7.242,129,1.00,1.00,0
query_10320,0.412,0,1.00,1.00,0
query_10322,4.924,82,1.00,1.00,0
query_10323,7.959,133,1.00,1.00,0
query_10324,27.582,457,1.00,1.00,0
query_10326,0.863,4,1.00,1.00,0
query_10327,11.761,232,1.00,1.00,0
query_1032,9.663,237,1.00,1.00,0
query_10330,8.76,151,1.00,1.00,0
query_10331,6.883,96,1.00,1.00,0
query_10332,6.117,125,1.00,1.00,0
query_10335,4.287,76,1.00,1.00,0
query_10337,0.507,0,1.00,1.00,0
query_10338,0.595,0,1.00,1.00,0
query_10339,0.994,8,1.00,1.00,0
query_1033,1.404,11,1.00,1.00,0
query_10340,5.873,112,1.00,1.00,0
query_10341,2.153,25,1.00,1.00,0
query_10343,5.186,83,1.00,1.00,0
query_10344,2.056,23,1.00,1.00,0
query_10345,16.04,431,1.00,1.00,0
query_10346,0.74,5,1.00,0,0
