query,time,httpCalls,errors
query_10174,96.491,6873,0
query_10175,71.902,3442,0
query_10176,0.347,6,0
query_10177,1.063,50,0
query_10179,0.302,6,0
query_1017,2.156,128,0
query_10180,25.394,1168,0
query_10181,0.415,8,0
query_10182,26.67,1075,0
query_10183,3.73,189,0
query_10184,0.436,8,0
query_10185,0.524,9,0
query_10186,1.151,49,0
query_10187,50.496,2333,0
query_10188,44.113,1312,0
query_1018,64.045,4458,0
query_10190,2.245,58,0
query_10191,217.217,15165,0
query_10192,0.269,4,0
query_10193,0.219,5,0
query_10195,25.982,1308,0
query_10196,18.297,1043,0
query_10199,0.46,12,0
query_1019,48.124,2649,0
query_101,5.259,229,0
query_10200,2.335,102,0
query_10201,0.268,3,0
query_10203,4.54,245,0
query_10205,3.895,286,0
query_10207,21.951,1547,0
query_10209,12.211,613,0
query_1020,33.063,1705,0
query_10210,0.324,6,0
query_10211,181.648,6322,0
query_10212,36.208,2741,0
query_10213,53.024,3360,0
query_10214,0.206,8,0
query_10215,0.188,1,0
query_10216,78.823,4568,0
query_10217,0.184,1,0
query_10218,41.422,1904,0
query_10219,215.054,15165,0
query_1021,6.168,205,0
query_10220,25.946,1087,0
query_10221,75.896,4219,0
query_10222,2.703,107,0
query_10225,213.764,15157,0
query_10226,8.547,368,0
query_10227,0.187,2,0
query_10229,4.108,180,0
query_1022,6.947,253,0
query_10230,300.005,10028,1
query_10231,0.224,5,0
query_10232,0.303,6,0
query_10234,41.962,1375,0
query_10235,24.108,1648,0
query_10236,1.57,61,0
query_10237,180.926,9727,0
query_10238,59.195,3408,0
query_1023,40.476,2164,0
query_10240,95.636,6762,0
query_10241,229.943,11926,0
query_10242,1.723,63,0
query_10243,23.395,1312,0
query_10246,0.177,1,0
query_10248,28.13,1970,0
query_10251,0.196,1,0
query_10253,63.596,3934,0
query_10254,25.426,1287,0
query_10255,0.263,5,0
query_10256,2.486,113,0
query_10257,66.922,3608,0
query_10258,0.192,5,0
query_10259,16.936,1135,0
query_1025,0.321,10,0
query_10261,0.265,3,0
query_10263,63.918,3934,0
query_10266,117.992,7477,0
query_10268,49.358,3365,0
query_1026,1.548,74,0
query_10271,170.947,7313,0
query_10272,0.183,1,0
query_10273,37.257,1970,0
query_10274,0.495,7,0
query_10277,75.306,3458,0
query_10279,0.344,7,0
query_1027,18.208,887,0
query_10280,3.406,209,0
query_10281,0.265,6,0
query_10282,0.148,5,0
query_10283,0.266,6,0
query_10284,71.943,3608,0
query_10285,16.986,1180,0
query_10286,0.592,14,0
query_10287,27.893,1591,0
query_10288,182.245,9727,0
query_1028,0.249,4,0
query_10291,61.448,4219,0
query_10292,121.309,6677,0
query_10293,67.31,3533,0
query_10295,4.605,194,0
query_10297,91.196,4556,0
query_10298,30.114,1589,0
query_10299,31.071,1285,0
query_102,111.03,4129,0
query_10300,0.182,1,0
query_10301,72.854,3230,0
query_10302,31.377,1580,0
query_10303,0.263,3,0
query_10304,131.268,9234,0
query_10307,6.077,426,0
query_10308,93.25,6759,0
query_10309,0.297,3,0
query_1030,12.787,663,0
query_10310,19.847,939,0
query_10311,0.3,6,0
query_10313,0.344,10,0
query_10314,4.152,202,0
query_10315,24.828,1176,0
query_10316,15.314,863,0
query_10317,50.724,2613,0
query_10318,74.114,3902,0
query_10319,3.543,192,0
query_1031,36.014,1846,0
query_10320,0.195,3,0
query_10322,34.798,1830,0
query_10323,45.558,1902,0
query_10324,48.338,3309,0
query_10326,0.597,18,0
query_10327,76.504,6185,0
query_1032,70.529,4093,0
query_10330,47.156,2276,0
query_10331,37.996,2522,0
query_10332,38.886,1801,0
query_10335,22.776,1140,0
query_10337,0.209,4,0
query_10338,0.213,8,0
query_10339,2.007,100,0
query_1033,2.894,122,0
query_10340,38.423,1647,0
query_10341,6.004,362,0
query_10343,28.506,1250,0
query_10344,6.272,350,0
query_10345,248.068,10100,0
query_10346,1.244,69,0
