query,time,httpCalls,errors
query_10174,300.003,5620,1
query_10175,124.491,3442,0
query_10176,0.316,6,0
query_10177,4.433,50,0
query_10179,0.291,6,0
query_1017,2.617,128,0
query_10180,26.526,1168,0
query_10181,1.326,8,0
query_10182,28.979,1075,0
query_10183,3.074,189,0
query_10184,0.407,8,0
query_10185,0.461,9,0
query_10186,0.987,49,0
query_10187,41.539,2333,0
query_10188,129.077,1312,0
query_1018,64.725,4459,0
query_10190,1.421,58,0
query_10191,300.006,8614,1
query_10192,0.265,4,0
query_10193,0.465,5,0
query_10195,141.691,1308,0
query_10196,16.877,1043,0
query_10199,2.549,12,0
query_1019,203.632,2649,0
query_101,4.696,229,0
query_10200,2.85,102,0
query_10201,0.862,3,0
query_10203,25.238,245,0
query_10205,3.878,286,0
query_10207,26.61,1547,0
query_10209,39.901,613,0
query_1020,25.118,1705,0
query_10210,1.732,6,0
query_10211,300.004,5514,1
query_10212,37.477,2744,0
query_10213,101.468,3360,0
query_10214,0.244,8,0
query_10215,0.174,1,0
query_10216,114.199,4571,0
query_10217,0.476,1,0
query_10218,36.282,1904,0
query_10219,300.005,6906,1
query_1021,3.948,205,0
query_10220,96.527,1087,0
query_10221,223.597,4219,0
query_10222,1.854,107,0
query_10225,300.003,6660,1
query_10226,34.623,368,0
query_10227,0.385,2,0
query_10229,3.478,180,0
query_1022,26.243,253,0
query_10230,300.003,2613,1
query_10231,0.42,5,0
query_10232,0.539,6,0
query_10234,68.987,1375,0
query_10235,25.967,1648,0
query_10236,2.104,61,0
query_10237,300.004,3940,1
query_10238,51.284,3408,0
query_1023,206.894,2164,0
query_10240,211.093,6762,0
query_10241,300.003,7295,1
query_10242,1.195,63,0
query_10243,42.227,1312,0
query_10246,0.171,1,0
query_10248,58.288,1970,0
query_10251,0.183,1,0
query_10253,300.004,3846,1
query_10254,128.29,1287,0
query_10255,0.786,5,0
query_10256,2.588,113,0
query_10257,300.003,2712,1
query_10258,0.436,5,0
query_10259,20.427,1135,0
query_1025,0.838,10,0
query_10261,0.792,3,0
query_10263,164.344,3934,0
query_10266,300.004,5781,1
query_10268,172.565,3365,0
query_1026,1.366,74,0
query_10271,300.003,3264,1
query_10272,0.18,1,0
query_10273,28.274,1970,0
query_10274,0.412,7,0
query_10277,300.006,3320,1
query_10279,0.368,7,0
query_1027,20.286,887,0
query_10280,22.057,209,0
query_10281,0.84,6,0
query_10282,0.224,5,0
query_10283,0.284,6,0
query_10284,58.286,3608,0
query_10285,105.467,1180,0
query_10286,1.833,14,0
query_10287,140.537,1591,0
query_10288,300.004,4838,1
query_1028,0.595,4,0
query_10291,197.589,4219,0
query_10292,300.004,3849,1
query_10293,300.003,3455,1
query_10295,5.034,194,0
query_10297,86.615,4556,0
query_10298,23.555,1589,0
query_10299,124.371,1285,0
query_102,300.006,3011,1
query_10300,0.422,1,0
query_10301,300.006,3198,1
query_10302,26.832,1580,0
query_10303,0.246,3,0
query_10304,300.006,7872,1
query_10307,8.845,426,0
query_10308,300.004,5141,1
query_10309,0.255,3,0
query_1030,11.002,663,0
query_10310,102.687,939,0
query_10311,0.281,6,0
query_10313,0.852,10,0
query_10314,22.825,202,0
query_10315,21.503,1176,0
query_10316,81.43,863,0
query_10317,250.239,2613,0
query_10318,300.005,2996,1
query_10319,25.106,192,0
query_1031,34.079,1846,0
query_10320,0.454,3,0
query_10322,132.964,1830,0
query_10323,53.043,1902,0
query_10324,194.727,3309,0
query_10326,0.556,18,0
query_10327,268.153,6183,0
query_1032,61.585,4093,0
query_10330,57.217,2276,0
query_10331,240.305,2522,0
query_10332,180.176,1801,0
query_10335,138.442,1140,0
query_10337,0.202,4,0
query_10338,0.218,8,0
query_10339,8.974,100,0
query_1033,18.124,122,0
query_10340,53.508,1647,0
query_10341,34.065,362,0
query_10343,22.332,1250,0
query_10344,6.632,350,0
query_10345,300.004,2829,1
query_10346,2.142,69,0
