query,time,httpCalls,errors
query_10174,95.74,6868,0
query_10175,70.599,3442,0
query_10176,0.351,6,0
query_10177,1.423,50,0
query_10179,0.263,6,0
query_1017,2.796,128,0
query_10180,18.042,1168,0
query_10181,0.514,8,0
query_10182,28.978,1075,0
query_10183,3.077,189,0
query_10184,0.438,8,0
query_10185,0.592,9,0
query_10186,1.198,49,0
query_10187,42.795,2333,0
query_10188,23.34,1312,0
query_1018,80.746,4454,0
query_10190,1.866,58,0
query_10191,300.005,14183,1
query_10192,0.275,4,0
query_10193,0.202,5,0
query_10195,30.537,1308,0
query_10196,16.045,1043,0
query_10199,0.405,12,0
query_1019,48.054,2649,0
query_101,4.642,229,0
query_10200,2.317,102,0
query_10201,0.248,3,0
query_10203,5.116,245,0
query_10205,5.139,286,0
query_10207,21.814,1547,0
query_10209,10.278,613,0
query_1020,27.048,1705,0
query_10210,0.291,6,0
query_10211,160.083,6322,0
query_10212,35.865,2740,0
query_10213,67.78,3360,0
query_10214,0.225,8,0
query_10215,0.174,1,0
query_10216,63.564,4571,0
query_10217,0.18,1,0
query_10218,45.592,1904,0
query_10219,214.971,15165,0
query_1021,4.801,205,0
query_10220,20.084,1087,0
query_10221,74.667,4219,0
query_10222,2.274,107,0
query_10225,300.004,14860,1
query_10226,8.157,368,0
query_10227,0.189,2,0
query_10229,4.229,180,0
query_1022,5.013,253,0
query_10230,300.003,11385,1
query_10231,0.215,5,0
query_10232,0.278,6,0
query_10234,33.09,1375,0
query_10235,26.053,1648,0
query_10236,1.556,61,0
query_10237,238.23,9727,0
query_10238,64.031,3408,0
query_1023,50.925,2164,0
query_10240,103.922,6762,0
query_10241,257.83,11926,0
query_10242,1.718,63,0
query_10243,23.215,1312,0
query_10246,0.202,1,0
query_10248,44.931,1970,0
query_10251,0.167,1,0
query_10253,64.921,3934,0
query_10254,21.464,1287,0
query_10255,0.333,5,0
query_10256,3.491,113,0
query_10257,57.065,3608,0
query_10258,0.23,5,0
query_10259,29.228,1135,0
query_1025,0.323,10,0
query_10261,0.253,3,0
query_10263,64.082,3934,0
query_10266,162.389,7477,0
query_10268,49.219,3365,0
query_1026,1.297,74,0
query_10271,142.46,7313,0
query_10272,0.205,1,0
query_10273,28.483,1970,0
query_10274,0.396,7,0
query_10277,80.091,3458,0
query_10279,0.381,7,0
query_1027,18.204,887,0
query_10280,4.304,209,0
query_10281,0.289,6,0
query_10282,0.213,5,0
query_10283,0.278,6,0
query_10284,79.166,3608,0
query_10285,16.87,1180,0
query_10286,0.575,14,0
query_10287,30.887,1591,0
query_10288,241.934,9727,0
query_1028,0.243,4,0
query_10291,59.703,4219,0
query_10292,135.978,6679,0
query_10293,58.106,3533,0
query_10295,5.126,194,0
query_10297,98.781,4556,0
query_10298,22.774,1589,0
query_10299,21.495,1285,0
query_102,99.418,4129,0
query_10300,0.196,1,0
query_10301,49.945,3230,0
query_10302,31.275,1580,0
query_10303,0.394,3,0
query_10304,180.647,9234,0
query_10307,7.873,426,0
query_10308,94.692,6759,0
query_10309,0.269,3,0
query_1030,11.054,663,0
query_10310,22.583,939,0
query_10311,0.29,6,0
query_10313,0.338,10,0
query_10314,5.449,202,0
query_10315,27.949,1176,0
query_10316,12.596,863,0
query_10317,52.634,2613,0
query_10318,72.641,3902,0
query_10319,4.22,192,0
query_1031,31.677,1846,0
query_10320,0.186,3,0
query_10322,42.843,1830,0
query_10323,45.664,1902,0
query_10324,48.328,3309,0
query_10326,0.736,18,0
query_10327,75.354,6185,0
query_1032,90.407,4093,0
query_10330,57.008,2276,0
query_10331,56.795,2522,0
query_10332,45.833,1801,0
query_10335,22.894,1140,0
query_10337,0.189,4,0
query_10338,0.203,8,0
query_10339,2.539,100,0
query_1033,2.851,122,0
query_10340,29.443,1647,0
query_10341,8.338,362,0
query_10343,22.477,1250,0
query_10344,7.22,350,0
query_10345,183.134,10100,0
query_10346,1.772,69,0
