query,time,httpCalls,errors
query_10174,300.001,2219,1
query_10175,134.262,3442,0
query_10176,2.1,6,0
query_10177,1.125,50,0
query_10179,0.279,6,0
query_1017,22.696,128,0
query_10180,125.645,1168,0
query_10181,1.29,8,0
query_10182,23.74,1075,0
query_10183,3.148,189,0
query_10184,0.385,8,0
query_10185,1.718,9,0
query_10186,0.947,49,0
query_10187,232.529,2333,0
query_10188,23.652,1312,0
query_1018,137.822,4448,0
query_10190,10.375,58,0
query_10191,300.005,3603,1
query_10192,0.782,4,0
query_10193,0.224,5,0
query_10195,157.554,1308,0
query_10196,16.48,1043,0
query_10199,0.435,12,0
query_1019,51.387,2649,0
query_101,30.081,229,0
query_10200,12.711,102,0
query_10201,0.25,3,0
query_10203,3.944,245,0
query_10205,12.957,286,0
query_10207,193.857,1547,0
query_10209,10.937,613,0
query_1020,32.769,1705,0
query_10210,2.065,6,0
query_10211,300.002,1649,1
query_10212,201.829,2740,0
query_10213,294.623,3360,0
query_10214,0.459,8,0
query_10215,0.19,1,0
query_10216,66.673,4571,0
query_10217,0.192,1,0
query_10218,157.301,1904,0
query_10219,300.005,2382,1
query_1021,4.608,205,0
query_10220,20.298,1087,0
query_10221,91.54,4219,0
query_10222,1.83,107,0
query_10225,300.004,2673,1
query_10226,8.039,368,0
query_10227,0.427,2,0
query_10229,24.927,180,0
query_1022,6.043,253,0
query_10230,300.005,7818,1
query_10231,0.206,5,0
query_10232,0.284,6,0
query_10234,27.18,1375,0
query_10235,185.418,1648,0
query_10236,5.391,61,0
query_10237,300.013,2542,1
query_10238,300.006,2188,1
query_1023,107.519,2164,0
query_10240,300.003,6543,1
query_10241,300.004,1930,1
query_10242,2.537,63,0
query_10243,134.021,1312,0
query_10246,0.177,1,0
query_10248,29.569,1970,0
query_10251,0.491,1,0
query_10253,300.002,2870,1
query_10254,22.771,1287,0
query_10255,0.251,5,0
query_10256,2.743,113,0
query_10257,59.569,3608,0
query_10258,0.206,5,0
query_10259,17.132,1135,0
query_1025,0.51,10,0
query_10261,0.251,3,0
query_10263,300.003,3207,1
query_10266,300.004,2641,1
query_10268,50.318,3365,0
query_1026,1.382,74,0
query_10271,300.002,1550,1
query_10272,1.475,1,0
query_10273,52.757,1970,0
query_10274,0.675,7,0
query_10277,300.004,2786,1
query_10279,2.356,7,0
query_1027,125.146,887,0
query_10280,3.3,209,0
query_10281,0.568,6,0
query_10282,0.451,5,0
query_10283,0.296,6,0
query_10284,58.238,3608,0
query_10285,21.155,1180,0
query_10286,0.536,14,0
query_10287,172.485,1591,0
query_10288,300.002,2602,1
query_1028,0.26,4,0
query_10291,230.158,4219,0
query_10292,300.003,4812,1
query_10293,283.237,3533,0
query_10295,28.717,194,0
query_10297,300.004,1998,1
query_10298,250.302,1589,0
query_10299,171.642,1285,0
query_102,300.005,2851,1
query_10300,0.188,1,0
query_10301,154.262,3230,0
query_10302,24.228,1580,0
query_10303,0.255,3,0
query_10304,300.004,4062,1
query_10307,6.261,426,0
query_10308,300.004,6235,1
query_10309,0.694,3,0
query_1030,11.124,663,0
query_10310,18.137,939,0
query_10311,0.721,6,0
query_10313,1.768,10,0
query_10314,4.412,202,0
query_10315,166.554,1176,0
query_10316,14.711,863,0
query_10317,44.48,2613,0
query_10318,79.175,3902,0
query_10319,3.119,192,0
query_1031,98.819,1846,0
query_10320,0.212,3,0
query_10322,142.99,1830,0
query_10323,63.828,1902,0
query_10324,50.599,3309,0
query_10326,4.088,18,0
query_10327,300.005,6092,1
query_1032,300.003,3376,1
query_10330,289.133,2276,0
query_10331,52.295,2522,0
query_10332,37.281,1801,0
query_10335,156.068,1137,0
query_10337,0.142,4,0
query_10338,0.411,8,0
query_10339,2.298,100,0
query_1033,3,122,0
query_10340,39.994,1647,0
query_10341,6.109,362,0
query_10343,23.317,1250,0
query_10344,8.022,350,0
query_10345,300.004,2203,1
query_10346,1.48,69,0
