query,time,httpCalls,errors
query_10174,99.498,6868,0
query_10175,196.85,3442,0
query_10176,0.535,6,0
query_10177,3.608,50,0
query_10179,0.397,6,0
query_1017,7.699,128,0
query_10180,20.703,1168,0
query_10181,1.101,8,0
query_10182,67.179,1075,0
query_10183,3.619,189,0
query_10184,0.548,8,0
query_10185,1.153,9,0
query_10186,0.942,49,0
query_10187,79.956,2333,0
query_10188,23.645,1312,0
query_1018,208.084,4458,0
query_10190,1.414,58,0
query_10191,300.005,11299,1
query_10192,0.249,4,0
query_10193,0.228,5,0
query_10195,40.922,1308,0
query_10196,16.735,1043,0
query_10199,0.73,12,0
query_1019,68.756,2649,0
query_101,14.474,229,0
query_10200,6.55,102,0
query_10201,0.514,3,0
query_10203,3.804,245,0
query_10205,13.971,286,0
query_10207,21.476,1547,0
query_10209,10.227,613,0
query_1020,70.786,1705,0
query_10210,0.29,6,0
query_10211,133.583,6322,0
query_10212,98.139,2739,0
query_10213,88.639,3360,0
query_10214,0.323,8,0
query_10215,0.302,1,0
query_10216,177.616,4571,0
query_10217,0.292,1,0
query_10218,35.43,1904,0
query_10219,284.713,15165,0
query_1021,4.068,205,0
query_10220,41.773,1087,0
query_10221,172.165,4219,0
query_10222,4.449,107,0
query_10225,300.005,10879,1
query_10226,6.816,368,0
query_10227,0.196,2,0
query_10229,8.705,180,0
query_1022,13.426,253,0
query_10230,300.004,10676,1
query_10231,0.204,5,0
query_10232,0.273,6,0
query_10234,74.428,1375,0
query_10235,64.26,1648,0
query_10236,2.906,61,0
query_10237,300.005,5822,1
query_10238,52.874,3408,0
query_1023,42.145,2164,0
query_10240,300.004,6748,1
query_10241,265.96,11926,0
query_10242,3.073,63,0
query_10243,23.165,1312,0
query_10246,0.177,1,0
query_10248,28.604,1970,0
query_10251,0.175,1,0
query_10253,64.164,3934,0
query_10254,21.308,1287,0
query_10255,0.268,5,0
query_10256,7.445,113,0
query_10257,74.206,3608,0
query_10258,0.301,5,0
query_10259,17.231,1135,0
query_1025,0.384,10,0
query_10261,0.269,3,0
query_10263,64.955,3934,0
query_10266,236.704,7477,0
query_10268,55.975,3365,0
query_1026,3.523,74,0
query_10271,300.003,4727,1
query_10272,0.362,1,0
query_10273,96.749,1970,0
query_10274,0.396,7,0
query_10277,176.176,3458,0
query_10279,0.337,7,0
query_1027,56.289,887,0
query_10280,12.406,209,0
query_10281,0.286,6,0
query_10282,0.213,5,0
query_10283,0.271,6,0
query_10284,57.204,3608,0
query_10285,73.78,1180,0
query_10286,0.554,14,0
query_10287,104.415,1591,0
query_10288,300.004,6198,1
query_1028,0.265,4,0
query_10291,202.674,4219,0
query_10292,300.004,6492,1
query_10293,152.187,3533,0
query_10295,4.441,194,0
query_10297,220.508,4556,0
query_10298,60.191,1589,0
query_10299,35.19,1285,0
query_102,77.67,4129,0
query_10300,0.249,1,0
query_10301,49.959,3230,0
query_10302,63.224,1580,0
query_10303,0.268,3,0
query_10304,133.713,9234,0
query_10307,6.343,426,0
query_10308,252.028,6759,0
query_10309,0.238,3,0
query_1030,34.448,663,0
query_10310,44.606,939,0
query_10311,0.516,6,0
query_10313,0.324,10,0
query_10314,4.064,202,0
query_10315,62.863,1176,0
query_10316,13.021,863,0
query_10317,37.504,2613,0
query_10318,77.42,3902,0
query_10319,3.092,192,0
query_1031,83.648,1846,0
query_10320,0.282,3,0
query_10322,34.652,1830,0
query_10323,34.094,1902,0
query_10324,49.26,3309,0
query_10326,0.557,18,0
query_10327,75.785,6185,0
query_1032,115.879,4093,0
query_10330,58.524,2276,0
query_10331,107.324,2522,0
query_10332,78.123,1801,0
query_10335,25.093,1140,0
query_10337,0.205,4,0
query_10338,0.275,8,0
query_10339,4.62,100,0
query_1033,2.886,122,0
query_10340,29.513,1647,0
query_10341,5.997,362,0
query_10343,55.734,1250,0
query_10344,5.422,350,0
query_10345,196.926,10100,0
query_10346,3.609,69,0
