query,time,httpCalls,errors
query_10174,100.041,6868,0
query_10175,152.105,3442,0
query_10176,0.657,6,0
query_10177,3.127,50,0
query_10179,0.578,6,0
query_1017,8.296,128,0
query_10180,17.725,1168,0
query_10181,0.404,8,0
query_10182,22.044,1075,0
query_10183,9.94,189,0
query_10184,0.88,8,0
query_10185,0.462,9,0
query_10186,2.796,49,0
query_10187,98.278,2333,0
query_10188,59.205,1312,0
query_1018,64.496,4458,0
query_10190,1.431,58,0
query_10191,300.006,7486,1
query_10192,0.264,4,0
query_10193,0.213,5,0
query_10195,71.317,1308,0
query_10196,46.866,1043,0
query_10199,0.915,12,0
query_1019,111.714,2649,0
query_101,4.638,229,0
query_10200,2.355,102,0
query_10201,0.436,3,0
query_10203,10.552,245,0
query_10205,3.934,286,0
query_10207,21.928,1547,0
query_10209,24.469,613,0
query_1020,25.2,1705,0
query_10210,0.272,6,0
query_10211,280.897,6322,0
query_10212,80.269,2743,0
query_10213,140.702,3360,0
query_10214,0.209,8,0
query_10215,0.29,1,0
query_10216,66.32,4571,0
query_10217,0.183,1,0
query_10218,89.067,1904,0
query_10219,221.015,15165,0
query_1021,4.085,205,0
query_10220,20.581,1087,0
query_10221,59.675,4219,0
query_10222,1.842,107,0
query_10225,300.005,8935,1
query_10226,6.759,368,0
query_10227,0.299,2,0
query_10229,3.348,180,0
query_1022,5.026,253,0
query_10230,300.004,7950,1
query_10231,0.213,5,0
query_10232,0.462,6,0
query_10234,64.689,1375,0
query_10235,65.479,1648,0
query_10236,2.56,61,0
query_10237,179.077,9727,0
query_10238,48.654,3408,0
query_1023,109.297,2164,0
query_10240,282.14,6762,0
query_10241,300.008,6969,1
query_10242,3.335,63,0
query_10243,60.458,1312,0
query_10246,0.252,1,0
query_10248,65.394,1970,0
query_10251,0.187,1,0
query_10253,64.406,3934,0
query_10254,51.804,1287,0
query_10255,0.403,5,0
query_10256,2.91,113,0
query_10257,57.89,3608,0
query_10258,0.275,5,0
query_10259,45.025,1135,0
query_1025,0.331,10,0
query_10261,0.252,3,0
query_10263,65.033,3934,0
query_10266,197.567,7477,0
query_10268,50.04,3365,0
query_1026,3.394,74,0
query_10271,142.583,7313,0
query_10272,0.256,1,0
query_10273,79.277,1970,0
query_10274,0.748,7,0
query_10277,50.344,3458,0
query_10279,0.353,7,0
query_1027,46.014,887,0
query_10280,3.311,209,0
query_10281,0.456,6,0
query_10282,0.28,5,0
query_10283,0.438,6,0
query_10284,57.887,3608,0
query_10285,45.037,1180,0
query_10286,1.208,14,0
query_10287,23.887,1591,0
query_10288,300.003,9313,1
query_1028,0.388,4,0
query_10291,140.951,4219,0
query_10292,262.997,6674,0
query_10293,154.007,3533,0
query_10295,4.635,194,0
query_10297,144.533,4556,0
query_10298,67.373,1589,0
query_10299,21.994,1285,0
query_102,76.876,4129,0
query_10300,0.282,1,0
query_10301,159.226,3230,0
query_10302,40.197,1580,0
query_10303,0.265,3,0
query_10304,132.173,9234,0
query_10307,15.141,426,0
query_10308,246.877,6759,0
query_10309,0.419,3,0
query_1030,10.973,663,0
query_10310,17.309,939,0
query_10311,0.472,6,0
query_10313,0.374,10,0
query_10314,4.202,202,0
query_10315,60.719,1176,0
query_10316,29.673,863,0
query_10317,103.071,2613,0
query_10318,144.543,3902,0
query_10319,3.095,192,0
query_1031,57.008,1846,0
query_10320,0.192,3,0
query_10322,34.841,1830,0
query_10323,34.229,1902,0
query_10324,136.275,3309,0
query_10326,1.033,18,0
query_10327,106.918,6185,0
query_1032,114.149,4093,0
query_10330,41.233,2276,0
query_10331,38.069,2522,0
query_10332,33.685,1801,0
query_10335,44.658,1140,0
query_10337,0.26,4,0
query_10338,0.219,8,0
query_10339,4.455,100,0
query_1033,2.909,122,0
query_10340,60.278,1645,0
query_10341,6.381,362,0
query_10343,49.094,1250,0
query_10344,11.96,350,0
query_10345,300.003,6711,1
query_10346,1.279,69,0
