query,time,httpCalls,errors
query_10174,96.732,6868,0
query_10175,50.27,3442,0
query_10176,0.346,6,0
query_10177,1.357,50,0
query_10179,0.276,6,0
query_1017,2.867,128,0
query_10180,18.757,1168,0
query_10181,0.403,8,0
query_10182,26.945,1075,0
query_10183,3.062,189,0
query_10184,0.436,8,0
query_10185,0.563,9,0
query_10186,1.278,49,0
query_10187,43.7,2333,0
query_10188,29.718,1312,0
query_1018,79.879,4456,0
query_10190,1.41,58,0
query_10191,215.295,15165,0
query_10192,0.256,4,0
query_10193,0.197,5,0
query_10195,28.991,1308,0
query_10196,15.758,1043,0
query_10199,0.443,12,0
query_1019,58.342,2649,0
query_101,4.628,229,0
query_10200,2.292,102,0
query_10201,0.298,3,0
query_10203,4.571,245,0
query_10205,3.879,286,0
query_10207,25.612,1547,0
query_10209,11.698,613,0
query_1020,29.941,1705,0
query_10210,0.285,6,0
query_10211,114.814,6322,0
query_10212,46.295,2741,0
query_10213,70.057,3360,0
query_10214,0.229,8,0
query_10215,0.18,1,0
query_10216,86.884,4571,0
query_10217,0.211,1,0
query_10218,46.789,1904,0
query_10219,288.705,15165,0
query_1021,5.029,205,0
query_10220,24.742,1087,0
query_10221,59.696,4216,0
query_10222,1.806,107,0
query_10225,212.066,15157,0
query_10226,8.206,368,0
query_10227,0.197,2,0
query_10229,4.394,180,0
query_1022,6.478,253,0
query_10230,293.06,12159,0
query_10231,0.198,5,0
query_10232,0.295,6,0
query_10234,32.38,1375,0
query_10235,30.711,1648,0
query_10236,1.372,61,0
query_10237,211.388,9727,0
query_10238,58.693,3408,0
query_1023,40.395,2164,0
query_10240,95.729,6762,0
query_10241,212.684,11926,0
query_10242,1.476,63,0
query_10243,23.199,1312,0
query_10246,0.179,1,0
query_10248,27.979,1970,0
query_10251,0.191,1,0
query_10253,63.243,3934,0
query_10254,25.035,1287,0
query_10255,0.285,5,0
query_10256,2.927,113,0
query_10257,56.773,3608,0
query_10258,0.213,5,0
query_10259,16.766,1135,0
query_1025,0.381,10,0
query_10261,0.261,3,0
query_10263,63.097,3934,0
query_10266,123.712,7477,0
query_10268,58.111,3365,0
query_1026,1.388,74,0
query_10271,142.216,7313,0
query_10272,0.187,1,0
query_10273,33.156,1970,0
query_10274,0.386,7,0
query_10277,50.265,3458,0
query_10279,0.36,7,0
query_1027,20.847,887,0
query_10280,3.838,209,0
query_10281,0.279,6,0
query_10282,0.183,5,0
query_10283,0.297,6,0
query_10284,66.427,3608,0
query_10285,19.417,1180,0
query_10286,0.598,14,0
query_10287,23.705,1591,0
query_10288,179.607,9727,0
query_1028,0.258,4,0
query_10291,59.274,4216,0
query_10292,119.313,6677,0
query_10293,57.322,3533,0
query_10295,5.017,194,0
query_10297,91.132,4556,0
query_10298,24.811,1589,0
query_10299,25.019,1285,0
query_102,82.807,4129,0
query_10300,0.185,1,0
query_10301,48.886,3230,0
query_10302,28.097,1580,0
query_10303,0.281,3,0
query_10304,155.594,9234,0
query_10307,6.802,426,0
query_10308,107.866,6759,0
query_10309,0.285,3,0
query_1030,12.605,663,0
query_10310,19.864,939,0
query_10311,0.285,6,0
query_10313,0.329,10,0
query_10314,4.602,202,0
query_10315,24.425,1176,0
query_10316,12.431,863,0
query_10317,45.198,2613,0
query_10318,82.311,3902,0
query_10319,3.575,192,0
query_1031,30.381,1846,0
query_10320,0.191,3,0
query_10322,37.567,1830,0
query_10323,37.146,1902,0
query_10324,58.466,3309,0
query_10326,0.647,18,0
query_10327,86.564,6185,0
query_1032,73.186,4093,0
query_10330,47.706,2276,0
query_10331,44.465,2522,0
query_10332,39.121,1801,0
query_10335,22.485,1140,0
query_10337,0.197,4,0
query_10338,0.201,8,0
query_10339,2.137,100,0
query_1033,3.326,122,0
query_10340,34.452,1647,0
query_10341,5.792,362,0
query_10343,25.924,1250,0
query_10344,6.097,350,0
query_10345,212.013,10100,0
query_10346,1.396,69,0
