query,time,httpCalls,errors
query_10174,300.003,2245,1
query_10175,300.004,2037,1
query_10176,0.307,6,0
query_10177,4.923,50,0
query_10179,1.553,6,0
query_1017,2.07,128,0
query_10180,24.652,1168,0
query_10181,0.403,8,0
query_10182,145.506,1075,0
query_10183,31.926,189,0
query_10184,0.395,8,0
query_10185,0.464,9,0
query_10186,1.439,49,0
query_10187,37.018,2333,0
query_10188,23.579,1312,0
query_1018,300.003,3044,1
query_10190,9.017,58,0
query_10191,300.004,2971,1
query_10192,0.794,4,0
query_10193,0.462,5,0
query_10195,109.117,1308,0
query_10196,16.388,1043,0
query_10199,2.677,12,0
query_1019,168.454,2649,0
query_101,5.437,229,0
query_10200,15.909,102,0
query_10201,0.257,3,0
query_10203,3.847,245,0
query_10205,3.923,286,0
query_10207,291.864,1547,0
query_10209,10.75,613,0
query_1020,25.598,1705,0
query_10210,0.297,6,0
query_10211,300.004,2412,1
query_10212,231.779,2740,0
query_10213,300.003,1606,1
query_10214,0.151,8,0
query_10215,0.19,1,0
query_10216,255.862,4571,0
query_10217,0.168,1,0
query_10218,300.004,1884,1
query_10219,300.006,10029,1
query_1021,6.235,205,0
query_10220,20.892,1087,0
query_10221,62.381,4219,0
query_10222,2.172,107,0
query_10225,300.003,2986,1
query_10226,52.337,368,0
query_10227,0.431,2,0
query_10229,3.631,180,0
query_1022,5.836,253,0
query_10230,300.003,2920,1
query_10231,0.234,5,0
query_10232,0.29,6,0
query_10234,255.9,1375,0
query_10235,119.39,1648,0
query_10236,12.462,61,0
query_10237,300.004,3475,1
query_10238,300.005,2877,1
query_1023,249.903,2164,0
query_10240,300.004,5386,1
query_10241,300.005,1996,1
query_10242,1.528,63,0
query_10243,175.721,1312,0
query_10246,0.174,1,0
query_10248,31.23,1970,0
query_10251,1.486,1,0
query_10253,119.94,3934,0
query_10254,183.779,1287,0
query_10255,0.27,5,0
query_10256,2.596,113,0
query_10257,161.789,3608,0
query_10258,0.583,5,0
query_10259,170.253,1135,0
query_1025,0.35,10,0
query_10261,0.249,3,0
query_10263,300.003,2958,1
query_10266,300.004,2486,1
query_10268,300.003,2894,1
query_1026,1.47,74,0
query_10271,300.003,2917,1
query_10272,0.183,1,0
query_10273,31.215,1970,0
query_10274,1.437,7,0
query_10277,250.189,3458,0
query_10279,0.34,7,0
query_1027,26.799,887,0
query_10280,3.689,209,0
query_10281,0.274,6,0
query_10282,0.209,5,0
query_10283,0.799,6,0
query_10284,225.072,3608,0
query_10285,19.07,1180,0
query_10286,3.028,14,0
query_10287,24.696,1591,0
query_10288,300.004,2613,1
query_1028,0.254,4,0
query_10291,62.852,4219,0
query_10292,300.003,6296,1
query_10293,300.003,2380,1
query_10295,6.742,194,0
query_10297,236.853,4556,0
query_10298,23.368,1589,0
query_10299,171.265,1285,0
query_102,200.81,4129,0
query_10300,0.181,1,0
query_10301,186.28,3230,0
query_10302,278.712,1580,0
query_10303,0.229,3,0
query_10304,300.003,5902,1
query_10307,6.247,426,0
query_10308,300.003,4585,1
query_10309,0.262,3,0
query_1030,55.656,663,0
query_10310,17.766,939,0
query_10311,0.269,6,0
query_10313,0.356,10,0
query_10314,5.738,202,0
query_10315,21.684,1176,0
query_10316,21.642,863,0
query_10317,141.314,2613,0
query_10318,82.889,3902,0
query_10319,3.215,192,0
query_1031,273.708,1846,0
query_10320,0.194,3,0
query_10322,46.919,1830,0
query_10323,88.402,1902,0
query_10324,238.388,3309,0
query_10326,0.593,18,0
query_10327,272.612,6185,0
query_1032,238.582,4093,0
query_10330,42.897,2276,0
query_10331,169.004,2522,0
query_10332,300.003,1630,1
query_10335,149.336,1137,0
query_10337,0.184,4,0
query_10338,0.444,8,0
query_10339,2.153,100,0
query_1033,31.468,122,0
query_10340,32.007,1647,0
query_10341,6.353,362,0
query_10343,196.099,1250,0
query_10344,5.751,350,0
query_10345,300.004,2177,1
query_10346,1.271,69,0
