query,time,httpCalls,errors
query_10174,300.004,5171,1
query_10175,282.516,3442,0
query_10176,0.882,6,0
query_10177,1.096,50,0
query_10179,0.275,6,0
query_1017,2.206,128,0
query_10180,108.206,1168,0
query_10181,0.392,8,0
query_10182,22.114,1075,0
query_10183,3.041,189,0
query_10184,0.392,8,0
query_10185,1.745,9,0
query_10186,6.129,49,0
query_10187,252.986,2333,0
query_10188,69.063,1312,0
query_1018,130.997,4447,0
query_10190,1.423,58,0
query_10191,300.006,10125,1
query_10192,0.219,4,0
query_10193,0.234,5,0
query_10195,23.441,1308,0
query_10196,16.817,1043,0
query_10199,0.4,12,0
query_1019,53.627,2649,0
query_101,42.13,229,0
query_10200,14.675,102,0
query_10201,0.836,3,0
query_10203,3.775,245,0
query_10205,33.172,286,0
query_10207,200.04,1547,0
query_10209,34.635,613,0
query_1020,188.313,1705,0
query_10210,0.811,6,0
query_10211,300.004,3259,1
query_10212,36.969,2740,0
query_10213,253.308,3360,0
query_10214,0.227,8,0
query_10215,0.181,1,0
query_10216,65.046,4571,0
query_10217,0.182,1,0
query_10218,194.056,1904,0
query_10219,300.006,6372,1
query_1021,22.403,205,0
query_10220,117.661,1087,0
query_10221,61.125,4219,0
query_10222,10.337,107,0
query_10225,300.004,4687,1
query_10226,8.245,368,0
query_10227,0.471,2,0
query_10229,25.657,180,0
query_1022,35.885,253,0
query_10230,300.003,2216,1
query_10231,0.19,5,0
query_10232,0.819,6,0
query_10234,182.742,1375,0
query_10235,99.127,1648,0
query_10236,1.283,61,0
query_10237,300.003,5826,1
query_10238,222.638,3408,0
query_1023,267.237,2164,0
query_10240,300.005,4339,1
query_10241,300.004,5521,1
query_10242,7.62,63,0
query_10243,24.352,1312,0
query_10246,0.432,1,0
query_10248,28.83,1970,0
query_10251,0.184,1,0
query_10253,300.003,2458,1
query_10254,65.954,1287,0
query_10255,0.273,5,0
query_10256,19.305,113,0
query_10257,58.742,3608,0
query_10258,0.212,5,0
query_10259,61.139,1135,0
query_1025,0.334,10,0
query_10261,0.251,3,0
query_10263,64.483,3934,0
query_10266,300.004,3859,1
query_10268,49.946,3365,0
query_1026,1.629,74,0
query_10271,300.004,2425,1
query_10272,0.189,1,0
query_10273,29.042,1970,0
query_10274,0.389,7,0
query_10277,223.813,3458,0
query_10279,0.326,7,0
query_1027,31.086,887,0
query_10280,3.389,209,0
query_10281,0.282,6,0
query_10282,0.234,5,0
query_10283,0.295,6,0
query_10284,300.004,3485,1
query_10285,16.954,1180,0
query_10286,3.213,14,0
query_10287,154.665,1591,0
query_10288,300.004,5373,1
query_1028,0.255,4,0
query_10291,128.633,4216,0
query_10292,300.003,4727,1
query_10293,198.141,3533,0
query_10295,29.655,194,0
query_10297,300.004,3312,1
query_10298,96.833,1589,0
query_10299,22.602,1285,0
query_102,80.933,4129,0
query_10300,0.139,1,0
query_10301,300.005,2991,1
query_10302,156.404,1580,0
query_10303,0.263,3,0
query_10304,300.004,5351,1
query_10307,39.543,408,0
query_10308,300.005,4419,1
query_10309,0.257,3,0
query_1030,11.134,663,0
query_10310,22.252,939,0
query_10311,0.534,6,0
query_10313,0.326,10,0
query_10314,27.903,202,0
query_10315,21.8,1176,0
query_10316,12.586,863,0
query_10317,233.065,2613,0
query_10318,300.003,2784,1
query_10319,2.972,192,0
query_1031,34.158,1846,0
query_10320,0.473,3,0
query_10322,154.853,1830,0
query_10323,196.257,1902,0
query_10324,61.084,3309,0
query_10326,1.032,18,0
query_10327,106.942,6190,0
query_1032,299.446,4093,0
query_10330,53.263,2276,0
query_10331,44.681,2522,0
query_10332,33.894,1801,0
query_10335,146.687,1140,0
query_10337,0.215,4,0
query_10338,0.199,8,0
query_10339,2.023,100,0
query_1033,2.863,122,0
query_10340,29.731,1647,0
query_10341,41.497,362,0
query_10343,26.975,1250,0
query_10344,5.636,350,0
query_10345,300.006,5111,1
query_10346,1.993,69,0
