query,time,httpCalls,errors
query_10174,300.002,3678,25
query_10175,278.721,3442,0
query_10176,0.341,6,0
query_10177,7.814,50,0
query_10179,0.282,6,0
query_1017,27.755,128,0
query_10180,172.895,1168,0
query_10181,0.371,8,0
query_10182,22.179,1075,0
query_10183,3.192,189,0
query_10184,0.4,8,0
query_10185,0.456,9,0
query_10186,0.998,49,0
query_10187,282.704,2333,0
query_10188,223.467,1312,0
query_1018,300.003,4336,1
query_10190,1.448,58,0
query_10191,300.005,3842,1
query_10192,0.258,4,0
query_10193,0.215,5,0
query_10195,180.862,1308,0
query_10196,20.026,1043,0
query_10199,0.414,12,0
query_1019,300.004,1702,1
query_101,4.733,229,0
query_10200,2.644,102,0
query_10201,0.254,3,0
query_10203,17.716,245,0
query_10205,4.041,286,0
query_10207,41.379,1547,0
query_10209,10.369,613,0
query_1020,25.387,1705,0
query_10210,0.278,6,0
query_10211,300.004,2272,1
query_10212,230.751,2740,0
query_10213,300.003,2366,1
query_10214,0.443,8,0
query_10215,0.18,1,0
query_10216,199.064,4571,0
query_10217,0.189,1,0
query_10218,258.671,1904,0
query_10219,300.004,4232,1
query_1021,24.351,205,0
query_10220,20.983,1087,0
query_10221,272.172,4219,0
query_10222,1.892,107,0
query_10225,300.003,2748,1
query_10226,55.023,368,0
query_10227,0.196,2,0
query_10229,3.828,180,0
query_1022,5.611,253,0
query_10230,300.003,4691,1
query_10231,0.213,5,0
query_10232,0.821,6,0
query_10234,115.271,1375,0
query_10235,244.171,1648,0
query_10236,8.653,61,0
query_10237,300.004,6566,1
query_10238,63.485,3408,0
query_1023,44.175,2164,0
query_10240,300.003,3219,1
query_10241,300.006,5359,1
query_10242,1.232,63,0
query_10243,24.157,1312,0
query_10246,0.176,1,0
query_10248,74.859,1970,0
query_10251,0.184,1,0
query_10253,66.201,3934,0
query_10254,22.199,1287,0
query_10255,0.262,5,0
query_10256,23.7,113,0
query_10257,136.653,3608,0
query_10258,1.46,5,0
query_10259,17.449,1135,0
query_1025,0.348,10,0
query_10261,0.776,3,0
query_10263,300.004,3276,1
query_10266,300.005,5225,1
query_10268,61.838,3365,0
query_1026,17.293,74,0
query_10271,300.003,2367,1
query_10272,0.199,1,0
query_10273,218.033,1970,0
query_10274,0.396,7,0
query_10277,175.616,3458,0
query_10279,1.12,7,0
query_1027,20.568,887,0
query_10280,36.036,209,0
query_10281,0.268,6,0
query_10282,0.45,5,0
query_10283,0.749,6,0
query_10284,300.004,3084,1
query_10285,23.77,1180,0
query_10286,0.547,14,0
query_10287,183.603,1591,0
query_10288,300.003,4757,1
query_1028,0.277,4,0
query_10291,300.002,2986,1
query_10292,300.003,4920,1
query_10293,126.69,3533,0
query_10295,32.757,194,0
query_10297,300.004,1787,1
query_10298,25.712,1589,0
query_10299,22.747,1285,0
query_102,293.19,4129,0
query_10300,0.175,1,0
query_10301,300.005,2648,1
query_10302,24.437,1580,0
query_10303,1.833,3,0
query_10304,300.003,3593,1
query_10307,7.873,426,0
query_10308,105.648,6757,0
query_10309,0.792,3,0
query_1030,11.018,663,0
query_10310,186.802,939,0
query_10311,0.289,6,0
query_10313,0.33,10,0
query_10314,4.772,202,0
query_10315,22.443,1176,0
query_10316,13.211,863,0
query_10317,300.005,2473,1
query_10318,80.332,3902,0
query_10319,3.137,192,0
query_1031,286.612,1846,0
query_10320,0.219,3,0
query_10322,46.504,1830,0
query_10323,144.98,1902,0
query_10324,300.006,3084,1
query_10326,0.558,18,0
query_10327,300.006,4515,1
query_1032,73.648,4093,0
query_10330,300.003,2237,1
query_10331,208.276,2522,0
query_10332,34.209,1801,0
query_10335,26.214,1140,0
query_10337,0.239,4,0
query_10338,0.211,8,0
query_10339,1.955,100,0
query_1033,2.894,122,0
query_10340,33.058,1647,0
query_10341,47.896,362,0
query_10343,24.354,1250,0
query_10344,47.058,350,0
query_10345,300.004,2914,1
query_10346,2.712,69,0
