query,time,httpCalls,nbResults,errors
query_8395,0.066,1,12,0
query_8396,,0,0
query_8397,,0,0
query_8398,,0,0
query_8399,45.1,1,21,0
query_839,,0,0
query_83,,0,0
query_8400,74.875,1,36,0
query_8401,49.508,1,2,0
query_8402,,0,0
query_8403,6.686,1,2,0
query_8404,,0,0
query_8405,103.912,1,67,0
query_8406,76.037,1,61,0
query_8407,59.481,1,10,0
query_8408,90.676,1,594,0
query_8409,75.206,1,16,0
query_840,,0,0
query_8410,18.63,1,846,0
query_8411,110.27,1,2,0
query_8412,,0,0
query_8413,,0,0
query_8414,,0,0
query_8415,5.049,1,15,0
query_8416,,0,0
query_8417,111.618,1,2,0
query_8418,,0,0
query_8419,11.061,1,493,0
query_841,,0,0
query_8420,6.422,1,6995,0
query_8421,,0,0
query_8422,118.092,1,253,0
query_8423,119.706,1,2,0
query_8424,70.61,1,156,0
query_8425,,0,0
query_8426,58.137,1,49,0
query_8427,,0,0
query_8428,,0,0
query_8429,21.793,1,45,0
query_842,107.522,1,106,0
query_8430,117.567,1,1690,0
query_8431,,0,0
query_8432,90.381,1,8,0
query_8433,,0,0
query_8434,52.107,1,22,0
query_8435,,0,0
query_8436,70.735,1,2379,0
query_8437,2.174,1,2,0
query_8438,113.363,1,113,0
query_8439,,0,0
query_843,,0,0
query_8440,116.095,1,2239,0
query_8441,,0,0
query_8442,,0,0
query_8443,7.886,1,23,0
query_8444,,0,0
query_8445,115.557,1,2,0
query_8446,80.954,1,487,0
query_8447,,0,0
query_8448,46.754,1,33,0
query_8449,97.158,1,10,0
query_844,,0,0
query_8450,76.644,1,11,0
query_8451,,0,0
query_8452,49.649,1,263,0
query_8453,86.646,1,2,0
query_8454,110.375,1,10016,0
query_8455,119.343,1,58,0
query_8456,,0,0
query_8457,5.678,1,29,0
query_8458,116.778,1,2,0
query_8459,61.597,1,25,0
query_845,66.295,1,332,0
query_8460,,0,0
query_8461,11.977,1,19,0
query_8462,,0,0
query_8463,53.283,1,3344,0
query_8464,72.742,1,37,0
query_8465,73.023,1,2,0
query_8466,,0,0
query_8467,,0,0
query_8468,119.343,1,6,0
query_8469,11.748,1,2,0
query_846,,0,0
query_8470,81.701,1,3563,0
query_8471,,0,0
query_8472,58.788,1,460,0
query_8473,70.555,1,245,0
query_8474,,0,0
query_8475,11.032,1,2,0
query_8476,118.806,1,120,0
query_8477,31.306,1,2,0
query_8478,93.37,1,98,0
query_8479,,0,0
query_847,73.233,1,7,0
query_8480,,0,0
query_8481,16.531,1,19,0
query_8482,74.72,1,83,0
query_8483,,0,0
query_8484,53.271,1,2560,0
query_8485,,0,0
query_8486,70.81,1,21,0
query_8487,,0,0
query_8488,,0,0
query_8489,10.268,1,87,0
query_848,117.758,1,3,0
query_8490,113.882,1,10,0
query_8491,14.279,1,195,0
query_8492,4.922,1,6191,0
query_8493,,0,0
query_8494,119.402,1,67,0
query_8495,81.073,1,3,0
query_8496,77.099,1,197567,0
query_8497,88.736,1,14,0
query_8498,119.408,1,124,0
query_8499,,0,0
query_849,102.405,1,74,0
query_84,,0,0
query_8500,23.117,1,13,0
query_8501,98.897,1,12,0
query_8502,,0,0
query_8503,81.55,1,81,0
query_8504,117.03,1,2,0
query_8505,3.128,1,2,0
query_8506,5.759,1,212,0
query_8507,,0,0
query_8508,37.054,1,23,0
query_8509,114.409,1,2,0
query_850,15.039,1,225,0
query_8510,,0,0
query_8511,,0,0
query_8512,2.113,1,5,0
query_8513,67.63,1,81,0
query_8514,,0,0
query_8515,56.973,1,2,0
query_8516,119.441,1,5,0
query_8517,,0,0
query_8518,59.648,1,26,0
query_8519,64.313,1,83,0
query_851,,0,0
query_8520,,0,0
query_8521,,0,0
query_8522,12.419,1,2,0
query_8523,119.285,1,3,0
query_8524,117.358,1,9670,0
query_8525,118.55,1,9375,0
query_8526,115.248,1,2,0
query_8527,,0,0
query_8528,11.414,1,2,0
query_8529,,0,0
query_852,78.802,1,394,0
query_8530,4.352,1,29,0
query_8531,3.329,1,50,0
query_8532,119.58,1,6,0
query_8533,62.474,1,4,0
query_8534,,0,0
query_8535,49.179,1,2,0
query_8536,92.052,1,5,0
query_8537,,0,0
query_8538,60.642,1,104,0
query_8539,,0,0
query_853,55.454,1,1768,0
query_8540,,0,0
query_8541,75.698,1,89,0
query_8542,51.565,1,38,0
query_8543,118.525,1,660,0
query_8544,2.018,1,9,0
query_8545,,0,0
query_8546,,0,0
query_8547,,0,0
query_8548,16.723,1,7812,0
query_8549,,0,0
query_854,118.566,1,195,0
query_8550,80.748,1,2,0
query_8551,48.827,1,71,0
query_8552,,0,0
query_8553,,0,0
query_8554,118.805,1,3186,0
query_8555,5.29,1,68,0
query_8556,,0,0
query_8557,25.059,1,2,0
query_8558,102.191,1,2,0
query_8559,119.209,1,8,0
query_855,79.141,1,3,0
query_8560,,0,0
query_8561,,0,0
query_8562,12.975,1,3,0
query_8563,0.661,1,35,0
query_8564,,0,0
query_8565,52.402,1,7458,0
query_8566,115.543,1,3,0
query_8567,,0,0
query_8568,59.491,1,301,0
