query,time,httpCalls,nbResults,errors
query_0,1.387,1,328,0
query_10000,,0,0
query_10001,0.766,1,41,0
query_10002,0.62,1,4,0
query_10003,98.705,1,2442,0
query_10004,,0,0
query_10005,4.115,1,2,0
query_10006,,0,0
query_10007,64.593,1,2,0
query_10008,0.426,1,4486,0
query_10009,52.941,1,9090,0
query_1000,83.061,1,123515,0
query_10010,62.48,1,61,0
query_10011,19.896,1,348,0
query_10012,100.424,1,5977,0
query_10013,69.505,1,3,0
query_10014,28.047,1,2,0
query_10015,1.602,1,29,0
query_10016,118.881,1,163,0
query_10017,2.384,1,12,0
query_10018,0.073,1,196,0
query_10019,98.239,1,39,0
query_1001,,0,0
query_10020,,0,0
query_10021,1.063,1,60,0
query_10022,0.518,1,2726,0
query_10023,,0,0
query_10024,1.56,1,2,0
query_10025,,0,0
query_10026,2.799,1,23,0
query_10027,,0,0
query_10028,1.815,1,32,0
query_10029,,0,0
query_1002,,0,0
query_10030,0.58,1,87,0
query_10031,,0,0
query_10032,,0,0
query_10033,1.815,1,4658,0
query_10034,55.149,1,4,0
query_10035,0.514,1,94,0
query_10036,64.44,1,19,0
query_10037,99.71,1,310,0
query_10038,,0,0
query_10039,44.565,1,174118,0
query_1003,,0,0
query_10040,3.216,1,4,0
query_10041,0.345,1,150,0
query_10042,0.064,1,487,0
query_10043,,0,0
query_10044,,0,0
query_10045,2.004,1,220,0
query_10046,63.767,1,2,0
query_10047,57.141,1,487,0
query_10048,64.705,1,1090,0
query_10049,8.868,1,31,0
query_1004,1.606,1,2,0
query_10050,,0,0
query_10051,66.467,1,5589,0
query_10052,0.113,1,2362,0
query_10053,,0,0
query_10054,2.671,1,2,0
query_10055,117.469,1,12,0
query_10056,,0,0
query_10057,3.709,1,54,0
query_10058,,0,0
query_10059,,0,0
query_1005,4.569,1,41,0
query_10060,0.154,1,2,0
query_10061,,0,0
query_10062,,0,0
query_10063,1.87,1,38,0
query_10064,0.073,1,925,0
query_10065,,0,0
query_10066,1.225,1,12,0
query_10067,97.711,1,4,0
query_10068,,0,0
query_10069,62.868,1,1048578,0
query_1006,61.57,1,39,0
query_10070,62.108,1,2,0
query_10071,0.531,1,112,0
query_10072,49.377,1,105,0
query_10073,71.444,1,2,0
query_10074,47.713,1,8,0
query_10075,1.265,1,34,0
query_10076,0.236,1,13,0
query_10077,1.497,1,4,0
query_10078,98.617,1,1048578,0
query_10079,50.938,1,4195,0
query_1007,103.774,1,7,0
query_10080,19.168,1,2099,0
query_10081,,0,0
query_10082,99.371,1,1048578,0
query_10083,,0,0
query_10084,0.458,1,9375,0
query_10085,,0,0
query_10086,112.996,1,59,0
query_10087,12.995,1,3,0
query_10088,49.485,1,56,0
query_10089,0.487,1,8,0
query_1008,0.569,1,7,0
query_10090,0.198,1,65,0
query_10091,,0,0
query_10092,1.79,1,1000,0
query_10093,0.082,1,10,0
query_10094,,0,0
query_10095,45.618,1,2,0
query_10096,1.756,1,1987,0
query_10097,,0,0
query_10098,0.735,1,2920,0
query_10099,64.397,1,2558,0
query_1009,,0,0
query_100,5.621,1,2,0
query_10100,117.703,1,9032,0
query_10101,4.68,1,56,0
query_10102,1.603,1,660,0
query_10103,3.508,1,350,0
query_10104,117.424,1,117,0
query_10105,1.934,1,28380,0
query_10106,103.687,1,2,0
query_10107,,0,0
query_10108,1.672,1,14026,0
query_10109,0.273,1,12604,0
query_1010,4.957,1,1276,0
query_10110,63.702,1,439,0
query_10111,0.132,1,26,0
query_10112,,0,0
query_10113,3.078,1,487,0
query_10114,102.065,1,2,0
query_10115,22.197,1,9,0
query_10116,0.304,1,1801,0
query_10117,7.658,1,2,0
query_10118,100.5,1,6,0
query_10119,1.387,1,240,0
query_1011,2.119,1,23459,0
query_10120,118.73,1,15501,0
query_10121,64.409,1,3,0
query_10122,,0,0
query_10123,3.052,1,31,0
query_10124,99.362,1,119,0
query_10125,25.023,1,8,0
query_10126,118.387,1,118,0
query_10127,2.366,1,3,0
query_10128,3.093,1,1899,0
query_10129,103.099,1,4,0
query_1012,19.108,1,2,0
query_10130,61.644,1,3,0
query_10131,0.267,1,388,0
query_10132,98.875,1,3,0
query_10133,21.701,1,4,0
query_10134,98.507,1,651,0
query_10135,99.396,1,1834,0
query_10136,22.73,1,385,0
query_10137,0.186,1,27,0
query_10138,,0,0
query_10139,1.468,1,2,0
query_1013,78.626,1,38,0
query_10140,0.517,1,9,0
query_10141,102.623,1,5,0
query_10142,,0,0
query_10143,103.012,1,80,0
query_10144,0.269,1,38,0
query_10145,,0,0
query_10146,50.298,1,16,0
query_10147,0.365,1,6,0
query_10148,1.584,1,15501,0
query_10149,119.043,1,2,0
query_1014,0.571,1,2,0
query_10150,64.011,1,1048578,0
query_10151,109.791,1,57,0
query_10152,70.536,1,169,0
query_10153,1.417,1,651,0
query_10154,1.689,1,10,0
query_10155,29.172,1,2,0
query_10156,48.172,1,8,0
query_10157,0.307,1,322,0
query_10158,24.448,1,3390,0
query_10159,118.541,1,5680,0
query_1015,8.884,1,3,0
query_10160,0.164,1,2391,0
query_10161,0.322,1,575,0
query_10162,2.302,1,1870,0
query_10163,0.258,1,2,0
query_10164,0.078,1,57,0
query_10165,,0,0
query_10166,68.978,1,5,0
query_10167,,0,0
query_10168,,0,0
query_10169,,0,0
query_1016,2.134,1,98,0
query_10170,1.23,1,2,0
query_10171,0.123,1,376,0
query_10172,,0,0
query_10173,38.826,1,1471,0
