query,time,httpCalls,nbResults,errors
query_9263,0.08,1,57,0
query_9264,,0,0
query_9265,119.131,1,21,0
query_9266,,0,0
query_9267,7.166,1,623,0
query_9268,119.587,1,195,0
query_9269,117.545,1,91,0
query_926,66.244,1,31,0
query_9270,56.509,1,4,0
query_9271,117.538,1,160,0
query_9272,4.048,1,3,0
query_9273,116.185,1,392,0
query_9274,10.445,1,2924,0
query_9275,15.44,1,23,0
query_9276,,0,0
query_9277,106.228,1,2818,0
query_9278,21.498,1,8,0
query_9279,61.841,1,1201,0
query_927,60.084,1,1093,0
query_9280,7.52,1,827,0
query_9281,,0,0
query_9282,16.077,1,2099,0
query_9283,,0,0
query_9284,7.865,1,16,0
query_9285,103.157,1,1865,0
query_9286,,0,0
query_9287,69.415,1,2,0
query_9288,73.197,1,3,0
query_9289,119.004,1,2,0
query_928,,0,0
query_9290,,0,0
query_9291,10.146,1,15501,0
query_9292,113.995,1,72,0
query_9293,,0,0
query_9294,21.099,1,138,0
query_9295,,0,0
query_9296,108.402,1,3,0
query_9297,107.631,1,651,0
query_9298,107.333,1,2,0
query_9299,2.736,1,2,0
query_929,,0,0
query_92,,0,0
query_9300,,0,0
query_9301,101.25,1,68,0
query_9302,,0,0
query_9303,20.502,1,36,0
query_9304,,0,0
query_9305,,0,0
query_9306,2.084,1,4207,0
query_9307,50.325,1,487,0
query_9308,,0,0
query_9309,,0,0
query_930,8.192,1,102,0
query_9310,,0,0
query_9311,68.518,1,2,0
query_9312,56.625,1,1717,0
query_9313,,0,0
query_9314,33.872,1,32,0
query_9315,,0,0
query_9316,,0,0
query_9317,55.91,1,2,0
query_9318,48.842,1,2442,0
query_9319,,0,0
query_931,21.102,1,3,0
query_9320,119.188,1,22372,0
query_9321,110.074,1,596,0
query_9322,,0,0
query_9323,,0,0
query_9324,61.039,1,2,0
query_9325,68.555,1,759,0
query_9326,101.13,1,369,0
query_9327,73.94,1,3,0
query_9328,47.722,1,1121,0
query_9329,,0,0
query_932,78.857,1,16,0
query_9330,,0,0
query_9331,19.74,1,2874,0
query_9332,,0,0
query_9333,7.645,1,416,0
query_9334,,0,0
query_9335,,0,0
query_9336,112.723,1,15,0
query_9337,57.462,1,28,0
query_9338,106.314,1,13,0
query_9339,,0,0
query_933,19.753,1,16086,0
query_9340,,0,0
query_9341,5.299,1,44,0
query_9342,,0,0
query_9343,111.372,1,77,0
query_9344,,0,0
query_9345,1.064,1,70,0
query_9346,,0,0
query_9347,,0,0
query_9348,,0,0
query_9349,111.1,1,3,0
query_934,21.997,1,3,0
query_9350,68.581,1,3,0
query_9351,54.359,1,169,0
query_9352,,0,0
query_9353,,0,0
query_9354,5.615,1,335,0
query_9355,,0,0
query_9356,50.423,1,44,0
query_9357,,0,0
query_9358,4.764,1,4,0
query_9359,,0,0
query_935,9.829,1,2924,0
query_9360,2.473,1,195,0
query_9361,,0,0
query_9362,,0,0
query_9363,69.012,1,1048578,0
query_9364,,0,0
query_9365,58.175,1,9,0
query_9366,,0,0
query_9367,,0,0
query_9368,104.8,1,225,0
query_9369,19.62,1,1013,0
query_936,,0,0
query_9370,,0,0
query_9371,14.544,1,2,0
query_9372,1.015,1,35,0
query_9373,110.425,1,2,0
query_9374,61.058,1,130,0
query_9375,109.52,1,3,0
query_9376,51.759,1,19,0
query_9377,74.598,1,47,0
query_9378,,0,0
query_9379,5.378,1,10021,0
query_937,,0,0
query_9380,3.866,1,10,0
query_9381,1.038,1,3,0
query_9382,,0,0
query_9383,14.044,1,48,0
query_9384,,0,0
query_9385,106.569,1,23459,0
query_9386,,0,0
query_9387,117.428,1,2081,0
query_9388,28.905,1,39,0
query_9389,101.048,1,12604,0
query_938,,0,0
query_9390,24.707,1,341,0
query_9391,,0,0
query_9392,,0,0
query_9393,103.472,1,57,0
query_9394,34.242,1,1067,0
query_9395,,0,0
query_9396,92.46,1,189,0
query_9397,,0,0
query_9398,40.126,1,906,0
query_9399,63.007,1,3390,0
query_939,62.191,1,18,0
query_93,,0,0
query_9400,52.202,1,604266,0
query_9401,70.008,1,2169,0
query_9402,,0,0
query_9403,4.194,1,1121,0
query_9404,,0,0
query_9405,85.717,1,14183,0
query_9406,111.353,1,98,0
query_9407,72.38,1,487,0
query_9408,6.533,1,106,0
query_9409,,0,0
query_940,8.643,1,28,0
query_9410,112.051,1,2,0
query_9411,,0,0
query_9412,42.139,1,53,0
query_9413,,0,0
query_9414,119.342,1,169,0
query_9415,46.645,1,4905,0
query_9416,99.621,1,2,0
query_9417,72.58,1,4,0
query_9418,48.703,1,2,0
query_9419,,0,0
query_941,75.77,1,3,0
query_9420,,0,0
query_9421,5.987,1,129,0
query_9422,,0,0
query_9423,,0,0
query_9424,6.836,1,41,0
query_9425,,0,0
query_9426,118.488,1,2,0
query_9427,27.482,1,5,0
query_9428,,0,0
query_9429,44.238,1,717,0
query_942,,0,0
query_9430,84.548,1,124,0
query_9431,118.948,1,18,0
query_9432,37.277,1,10021,0
query_9433,98.406,1,2,0
query_9434,64.257,1,12,0
query_9435,,0,0
query_9436,87.975,1,49,0
