query,time,httpCalls,completeness,soundness,errors
query_10174,120.003,114,0,1.00,17
query_10175,120.002,173,0.00,1.00,1
query_10176,4.626,1,1.00,1.00,0
query_10177,5.558,4,1.00,1.00,0
query_10179,1.507,1,1.00,1.00,0
query_1017,6.691,9,1.00,1.00,0
query_10180,40.683,86,1.00,1.00,0
query_10181,4.096,3,1.00,1.00,0
query_10182,39.43,68,1.00,1.00,0
query_10183,10.337,8,1.00,1.00,0
query_10184,2.385,3,1.00,1.00,0
query_10185,5.354,4,1.00,1.00,0
query_10186,5.647,4,1.00,1.00,0
query_10187,96.998,178,1.00,1.00,0
query_10188,38.933,88,1.00,1.00,0
query_1018,120.003,294,.83,1.00,1
query_10190,12.459,4,1.00,1.00,0
query_10191,120.009,213,1.00,1.00,1
query_10192,1.406,1,1.00,1.00,0
query_10193,1.043,0,1.00,1.00,0
query_10195,56.889,88,1.00,1.00,0
query_10196,30.808,70,1.00,1.00,0
query_10199,6.498,3,1.00,1.00,0
query_1019,120.003,229,0,1.00,1
query_101,9.992,16,1.00,1.00,0
query_10200,7.118,9,1.00,1.00,0
query_10201,3.39,1,1.00,1.00,0
query_10203,10.713,15,1.00,1.00,0
query_10205,11.339,21,1.00,1.00,0
query_10207,37.928,69,1.00,1.00,0
query_10209,28.22,43,1.00,1.00,0
query_1020,87.87,148,1.00,1.00,0
query_10210,2.273,1,1.00,1.00,0
query_10211,120.002,242,.49,1.00,1
query_10212,96.536,186,1.00,1.00,0
query_10213,70.14,131,1.00,1.00,0
query_10214,3.248,0,1.00,1.00,0
query_10215,0.675,0,1.00,1.00,0
query_10216,120.002,266,.63,1.00,1
query_10217,1.403,0,1.00,1.00,0
query_10218,69.634,133,1.00,1.00,0
query_10219,120.003,221,1.00,1.00,1
query_1021,17.429,28,1.00,1.00,0
query_10220,40.903,59,1.00,1.00,0
query_10221,120.002,217,.51,1.00,1
query_10222,9.824,7,1.00,1.00,0
query_10225,120.002,159,.16,1.00,1
query_10226,14.56,26,1.00,1.00,0
query_10227,1.39,0,1.00,1.00,0
query_10229,15.856,24,1.00,1.00,0
query_1022,17.207,35,1.00,1.00,0
query_10230,120.002,295,.54,1.00,1
query_10231,2.165,0,1.00,1.00,0
query_10232,2.431,1,1.00,1.00,0
query_10234,66.423,91,1.00,1.00,0
query_10235,66.924,141,1.00,1.00,0
query_10236,3.741,5,1.00,1.00,0
query_10237,120.001,215,.39,1.00,1
query_10238,120.001,224,1.00,1.00,1
query_1023,120.001,211,.10,1.00,1
query_10240,120.003,137,.46,1.00,1
query_10241,120.004,145,0,1.00,1
query_10242,5.568,4,1.00,1.00,0
query_10243,74.673,88,1.00,1.00,0
query_10246,2.008,0,1.00,1.00,0
query_10248,50.433,69,1.00,1.00,0
query_10251,2.239,0,1.00,1.00,0
query_10253,120.002,232,.90,.99,1
query_10254,76.728,85,0.00,1.00,0
query_10255,1.774,1,1.00,1.00,0
query_10256,10.11,10,1.00,1.00,0
query_10257,120.003,173,1.00,1.00,1
query_10258,1.67,0,1.00,1.00,0
query_10259,50.96,77,1.00,1.00,0
query_1025,4.592,1,1.00,1.00,0
query_10261,2.987,1,1.00,1.00,0
query_10263,120.002,217,.86,.99,1
query_10266,120.004,132,.27,1.00,1
query_10268,120.003,163,.33,1.00,1
query_1026,5.828,5,1.00,1.00,0
query_10271,120.003,181,.37,1.00,1
query_10272,3.326,0,1.00,1.00,0
query_10273,67.417,69,1.00,1.00,0
query_10274,4.512,3,1.00,1.00,0
query_10277,120.003,168,.33,1.00,1
query_10279,2.256,1,1.00,1.00,0
query_1027,39.126,46,1.00,1.00,0
query_10280,23.947,15,1.00,1.00,0
query_10281,2.718,1,1.00,1.00,0
query_10282,2.133,0,1.00,1.00,0
query_10283,2.799,1,1.00,1.00,0
query_10284,120.002,161,1.00,1.00,1
query_10285,78.235,90,1.00,1.00,0
query_10286,2.174,2,1.00,1.00,0
query_10287,65.12,107,1.00,1.00,0
query_10288,120.003,220,.39,1.00,1
query_1028,1.962,1,1.00,1.00,0
query_10291,120.001,171,.23,1.00,1
query_10292,120.002,255,.77,1.00,1
query_10293,90.675,135,1.00,1.00,0
query_10295,7.904,13,1.00,1.00,0
query_10297,120.002,205,.90,1.00,1
query_10298,76.153,106,1.00,1.00,0
query_10299,42.467,85,1.00,1.00,0
query_102,113.406,222,1.00,1.00,0
query_10300,1.557,0,1.00,1.00,0
query_10301,120.002,181,.32,1.00,1
query_10302,120.002,163,.82,1.00,1
query_10303,2.699,1,1.00,1.00,0
query_10304,120.003,205,.48,1.00,1
query_10307,38.442,82,1.00,1.00,0
query_10308,120.002,197,0,1.00,1
