query,time,httpCalls,nbResults,errors
query_11042,0.186,1,5,0
query_11043,,0,0
query_11044,,0,0
query_11045,,0,0
query_11046,6.64,1,3,0
query_11047,119.578,1,296,0
query_11048,117.476,1,35,0
query_11049,,0,0
query_1104,,0,0
query_11050,1.39,1,562,0
query_11051,54.42,1,24537,0
query_11052,75.691,1,2362,0
query_11053,15.759,1,4,0
query_11054,115.936,1,28380,0
query_11055,109.065,1,1048578,0
query_11056,22.465,1,261,0
query_11057,61.934,1,2,0
query_11058,60.042,1,2,0
query_11059,6.843,1,2663,0
query_1105,,0,0
query_11060,16.871,1,2,0
query_11061,,0,0
query_11062,7.794,1,22256,0
query_11063,103.278,1,10,0
query_11064,,0,0
query_11065,69.505,1,31,0
query_11066,73.16,1,11737,0
query_11067,119.018,1,28380,0
query_11068,,0,0
query_11069,,0,0
query_1106,11.706,1,381,0
query_11070,112.484,1,344,0
query_11071,,0,0
query_11072,21.183,1,18,0
query_11073,,0,0
query_11074,108.295,1,38,0
query_11075,107.649,1,13,0
query_11076,107.334,1,366,0
query_11077,3.043,1,2785,0
query_11078,,0,0
query_11079,,0,0
query_1107,,0,0
query_11080,,0,0
query_11081,102.435,1,5,0
query_11082,69.361,1,17,0
query_11083,,0,0
query_11084,70.442,1,49,0
query_11085,0.899,1,23276,0
query_11086,50.259,1,27,0
query_11087,,0,0
query_11088,,0,0
query_11089,8.086,1,6388,0
query_1108,82.949,1,105,0
query_11090,105.501,1,788685,0
query_11091,56.212,1,10,0
query_11092,,0,0
query_11093,33.878,1,846,0
query_11094,,0,0
query_11095,117.497,1,4770,0
query_11096,58.262,1,21,0
query_11097,48.627,1,54,0
query_11098,20.327,1,333,0
query_11099,,0,0
query_1109,108.82,1,5,0
query_110,,0,0
query_11100,113.629,1,1048578,0
query_11101,14.047,1,49,0
query_11102,,0,0
query_11103,116.066,1,225,0
query_11104,58.991,1,827,0
query_11105,,0,0
query_11106,50.449,1,2,0
query_11107,76.425,1,4,0
query_11108,,0,0
query_11109,,0,0
query_1110,23.201,1,119,0
query_11110,105.958,1,4,0
query_11111,21.339,1,8,0
query_11112,116.708,1,49,0
query_11113,68.096,1,14026,0
query_11114,57.387,1,36667,0
query_11115,,0,0
query_11116,52.282,1,34778,0
query_11117,,0,0
query_11118,,0,0
query_11119,,0,0
query_1111,6.454,1,13,0
query_11120,,0,0
query_11121,111.621,1,980,0
query_11122,3.109,1,2,0
query_11123,118.272,1,4,0
query_11124,,0,0
query_11125,,0,0
query_11126,,0,0
query_11127,111.231,1,651,0
query_11128,22.302,1,23,0
query_11129,76.585,1,2,0
query_1112,46.064,1,3,0
query_11130,,0,0
query_11131,,0,0
query_11132,5.697,1,6995,0
query_11133,,0,0
query_11134,51.882,1,11,0
query_11135,,0,0
query_11136,4.701,1,20,0
query_11137,,0,0
query_11138,9.582,1,13,0
query_11139,1.186,1,45,0
query_1113,,0,0
query_11140,,0,0
query_11141,68.78,1,31,0
query_11142,73.627,1,58,0
query_11143,105.149,1,3066,0
query_11144,119.018,1,22372,0
query_11145,,0,0
query_11146,105.398,1,651,0
query_11147,19.669,1,3,0
query_11148,,0,0
query_11149,10.408,1,200,0
query_1114,,0,0
query_11150,4.756,1,5589,0
query_11151,110.47,1,2,0
query_11152,1.167,1,6,0
query_11153,91.212,1,62208,0
query_11154,78.601,1,31,0
query_11155,117.444,1,6590,0
query_11156,10.652,1,44,0
query_11157,119.361,1,61,0
query_11158,4.486,1,3,0
query_11159,,0,0
query_1115,3.752,1,2177,0
query_11160,0.801,1,9,0
query_11161,,0,0
query_11162,14.081,1,398,0
query_11163,,0,0
query_11164,105.553,1,14,0
query_11165,,0,0
query_11166,118.284,1,231,0
query_11167,28.116,1,36528,0
query_11168,101.683,1,105,0
query_11169,24.519,1,113,0
query_1116,,0,0
query_11170,103.227,1,5,0
query_11171,117.744,1,181,0
query_11172,,0,0
query_11173,36.667,1,13,0
query_11174,90.443,1,311,0
query_11175,39.225,1,2709,0
query_11176,,0,0
query_11177,87.199,1,1818,0
query_11178,98.773,1,18,0
query_11179,61.734,1,6,0
query_1117,62.012,1,2028,0
query_11180,60.1,1,96,0
query_11181,,0,0
query_11182,103.454,1,408,0
query_11183,21.742,1,287,0
query_11184,,0,0
query_11185,81.437,1,64,0
query_11186,66.787,1,14183,0
query_11187,,0,0
query_11188,6.632,1,2,0
query_11189,1.819,1,51,0
query_1118,,0,0
query_11190,90.447,1,56,0
query_11191,70.732,1,2,0
query_11192,,0,0
query_11193,6.151,1,34778,0
query_11194,117.235,1,3,0
query_11195,,0,0
query_11196,94.337,1,32,0
query_11197,49.527,1,2,0
query_11198,,0,0
query_11199,75.801,1,277,0
query_1119,49.12,1,2724,0
query_111,73.478,1,2,0
query_11200,,0,0
query_11201,5.003,1,3,0
query_11202,,0,0
query_11203,,0,0
query_11204,,0,0
query_11205,,0,0
query_11206,6.984,1,362,0
query_11207,65.198,1,15,0
query_11208,86.339,1,4658,0
query_11209,82.077,1,18,0
query_1120,118.166,1,45,0
query_11210,78.479,1,1903,0
query_11211,119.052,1,2,0
query_11212,49.45,1,3,0
query_11213,79.571,1,169,0
query_11214,,0,0
query_11215,38.822,1,1899,0
