query,time,httpCalls,serverTime,overhead,completeness,soundness,errors
query_10174,14.204,8,1771.7519675,0.30371546745300293,1.00,1.00,0
query_10175,14.988,7,1857.1464628571425,0.15807151794433594,1.00,1.00,0
query_10176,1.779,1,1767.168264,0.28777122497558594,1.00,1.00,0
query_10177,1.728,1,1705.961784,0.18644332885742188,1.00,1.00,0
query_10179,1.717,1,1696.189496,0.1697540283203125,1.00,1.00,0
query_1017,1.773,1,1752.6666879999998,0.13494491577148438,1.00,1.00,0
query_10180,3.832,2,1768.950946,0.13506412506103516,1.00,1.00,0
query_10181,1.69,1,1673.25964,0.14281272888183594,1.00,1.00,0
query_10182,0.946,1,885.962648,0.1552104949951172,1.00,1.00,0
query_10183,0.896,1,875.560344,0.2040863037109375,1.00,1.00,0
query_10184,0.843,1,816.162352,0.4119873046875,1.00,1.00,0
query_10185,0.797,1,782.477968,0.16236305236816406,1.00,1.00,0
query_10186,0.917,1,879.83396,0.2627372741699219,1.00,1.00,0
query_10187,1.934,2,867.9664539999999,0.13315677642822266,1.00,1.00,0
query_10188,0.994,1,970.021056,0.186920166015625,1.00,1.00,0
query_1018,3.814,4,897.9046140000002,0.2669692039489746,1.00,1.00,0
query_10190,0.889,1,865.0254639999999,0.13184547424316406,1.00,1.00,0
query_10191,14.595,16,909.83721325,0.1280456781387329,1.00,1.00,0
query_10192,0.83,1,792.1585039999999,0.17547607421875,1.00,1.00,0
query_10193,0.825,1,799.0863119999999,0.34165382385253906,1.00,1.00,0
query_10195,1.845,2,911.23443,0.31054019927978516,1.00,1.00,0
query_10196,0.984,1,965.812428,0.20170211791992188,1.00,1.00,0
query_10199,0.87,1,859.753256,0.28967857360839844,1.00,1.00,0
query_1019,4.667,5,926.8662864000001,0.226593017578125,1.00,1.00,0
query_101,0.827,1,805.560816,0.15020370483398438,1.00,1.00,0
query_10200,0.915,1,896.6423199999999,0.2644062042236328,1.00,1.00,0
query_10201,0.882,1,866.3883519999999,0.15091896057128906,1.00,1.00,0
query_10203,0.918,1,894.015712,0.24080276489257812,1.00,1.00,0
query_10205,0.916,1,889.836544,0.1468658447265625,1.00,1.00,0
query_10207,0.908,1,883.469376,0.7028579711914062,1.00,1.00,0
query_10209,0.914,1,883.0386360000001,0.270843505859375,1.00,1.00,0
query_1020,3.771,3,953.0095373333334,0.125885009765625,0.00,0,0
query_10210,0.923,1,901.2834719999998,0.15044212341308594,1.00,1.00,0
query_10211,5.799,6,956.2554986666668,1.1354684829711914,1.00,1.00,0
query_10212,2.282,4,560.9174539999999,0.23382902145385742,1.00,1.00,0
query_10213,1.816,2,859.7155639999999,0.16009807586669922,1.00,1.00,0
query_10214,0.879,1,865.24062,0.22029876708984375,1.00,1.00,0
query_10215,0.849,1,827.8577079999999,0.09989738464355469,1.00,1.00,0
query_10216,4.345,5,860.0440352000002,0.1865863800048828,1.00,1.00,0
query_10217,0.842,1,825.45964,0.09489059448242188,1.00,1.00,0
query_10218,1.912,2,924.77757,0.2579689025878906,1.00,1.00,0
query_10219,16.126,18,893.6751213333334,0.1556343502468533,1.00,1.00,0
query_1021,0.968,1,918.5238679999999,0.209808349609375,1.00,1.00,0
query_10220,0.914,1,887.435516,0.19979476928710938,1.00,1.00,0
query_10221,4.507,5,895.2539336000002,0.18510818481445312,1.00,1.00,0
query_10222,0.878,1,849.8803439999999,0.14400482177734375,1.00,1.00,0
query_10225,10.99,12,833.5765956666665,0.13275941212972006,1.00,1.00,0
query_10226,0.876,1,845.870156,0.17118453979492188,1.00,1.00,0
query_10227,0.939,1,925.944516,0.13685226440429688,1.00,1.00,0
query_10229,0.858,1,810.016616,0.15091896057128906,1.00,1.00,0
query_1022,0.769,1,720.7346000000001,0.1571178436279297,1.00,1.00,0
query_10230,7.35,8,906.2447080000001,0.22408366203308105,1.00,1.00,0
query_10231,0.861,1,844.5346920000001,0.20265579223632812,1.00,1.00,0
query_10232,0.878,1,858.902844,0.1647472381591797,1.00,1.00,0
query_10234,1.773,2,871.9825840000001,0.3325939178466797,1.00,1.00,0
query_10235,3.679,3,953.6898866666666,0.1407464345296224,.34,1.00,0
query_10236,0.867,1,850.089264,0.2865791320800781,1.00,1.00,0
query_10237,6.615,7,925.7250279999998,1.4500958578927177,1.00,1.00,0
query_10238,4.507,5,895.419228,0.26946067810058594,1.00,1.00,0
query_1023,8.391,9,927.2307382222223,0.501659181382921,1.00,1.00,0
query_10240,2.777,3,909.9039706666666,0.13017654418945312,1.00,1.00,0
query_10241,8.361,9,914.9366222222221,2.0264784495035806,1.00,1.00,0
query_10242,0.884,1,853.804008,0.13399124145507812,1.00,1.00,0
query_10243,1.824,2,903.358928,0.32639503479003906,1.00,1.00,0
query_10246,0.894,1,871.184956,0.08320808410644531,1.00,1.00,0
query_10248,0.919,1,887.805752,0.1347064971923828,1.00,1.00,0
query_10251,0.54,1,526.8327360000001,0.07891654968261719,1.00,1.00,0
query_10253,2.444,3,773.0579426666667,0.2607504526774089,.99,.99,0
query_10254,0.86,1,837.3703,0.1461505889892578,1.00,1.00,0
query_10255,0.893,1,868.860548,0.17333030700683594,1.00,1.00,0
query_10256,0.875,1,853.8024839999999,0.209808349609375,1.00,1.00,0
query_10257,2.748,3,906.6245226666666,0.15433629353841147,1.00,1.00,0
query_10258,0.908,1,873.217848,0.1881122589111328,1.00,1.00,0
query_10259,0.948,1,923.0747200000001,0.18310546875,1.00,1.00,0
query_1025,0.828,1,816.0328559999999,0.293731689453125,1.00,1.00,0
query_10261,0.868,1,844.6027239999999,0.11181831359863281,1.00,1.00,0
query_10263,3.613,4,877.4106439999999,0.29772520065307617,.99,.99,0
query_10266,3.674,4,904.5730740000001,0.1589655876159668,1.00,1.00,0
query_10268,9.121,8,917.8539945000002,0.17133355140686035,0.00,1.00,0
query_1026,0.879,1,851.6184000000001,0.20623207092285156,1.00,1.00,0
query_10271,7.293,8,895.4814065000003,1.6679167747497559,1.00,1.00,0
query_10272,0.842,1,823.992324,0.11682510375976562,1.00,1.00,0
