query,time,httpCalls,completeness,soundness,errors
query_10174,120.002,160,0,1.00,1
query_10175,120.003,154,.32,1.00,1
query_10176,3.953,1,1.00,1.00,0
query_10177,5.588,4,1.00,1.00,0
query_10179,1.812,1,1.00,1.00,0
query_1017,8.528,9,1.00,1.00,0
query_10180,36.231,86,1.00,1.00,0
query_10181,16.786,3,1.00,1.00,0
query_10182,36.318,68,1.00,1.00,0
query_10183,6.78,8,0.00,1.00,0
query_10184,5.701,3,1.00,1.00,0
query_10185,6.44,4,1.00,1.00,0
query_10186,6.313,4,1.00,1.00,0
query_10187,120.003,162,.89,1.00,1
query_10188,78.468,88,1.00,1.00,0
query_1018,120.002,218,.59,1.00,1
query_10190,5.629,4,1.00,1.00,0
query_10191,120.002,190,1.00,1.00,1
query_10192,2.351,1,1.00,1.00,0
query_10193,3.009,0,1.00,1.00,0
query_10195,72.977,88,1.00,1.00,0
query_10196,36.868,70,1.00,1.00,0
query_10199,3.947,3,1.00,1.00,0
query_1019,120.003,210,0,1.00,1
query_101,9.201,16,1.00,1.00,0
query_10200,5.625,9,1.00,1.00,0
query_10201,2.096,1,1.00,1.00,0
query_10203,11.722,15,1.00,1.00,0
query_10205,13.591,21,1.00,1.00,0
query_10207,49.329,69,1.00,1.00,0
query_10209,42.644,43,1.00,1.00,0
query_1020,120.005,141,0.00,0,1
query_10210,2.066,1,1.00,1.00,0
query_10211,120.002,191,.34,1.00,1
query_10212,120.003,162,.88,1.00,1
query_10213,98.579,131,1.00,1.00,0
query_10214,3.283,0,1.00,1.00,0
query_10215,1.471,0,1.00,1.00,0
query_10216,120.003,160,.23,1.00,1
query_10217,1.635,0,1.00,1.00,0
query_10218,84.045,133,1.00,1.00,0
query_10219,120.003,198,1.00,1.00,1
query_1021,19.864,28,1.00,1.00,0
query_10220,31.37,59,1.00,1.00,0
query_10221,120.003,231,.51,1.00,1
query_10222,6.426,7,1.00,1.00,0
query_10225,120.002,184,.18,1.00,1
query_10226,10.249,26,1.00,1.00,0
query_10227,1.392,0,1.00,1.00,0
query_10229,10.384,24,1.00,1.00,0
query_1022,13.77,35,1.00,1.00,0
query_10230,120.002,460,.88,1.00,1
query_10231,0.865,0,1.00,1.00,0
query_10232,1.727,1,1.00,1.00,0
query_10234,61.037,91,1.00,1.00,0
query_10235,79.239,141,1.00,1.00,0
query_10236,4.964,5,1.00,1.00,0
query_10237,120.004,373,.68,1.00,1
query_10238,120.004,265,1.00,1.00,1
query_1023,120.002,293,.28,1.00,1
query_10240,120.002,172,.65,1.00,1
query_10241,120.002,175,0,1.00,1
query_10242,7.061,4,1.00,1.00,0
query_10243,59.411,88,1.00,1.00,0
query_10246,2.248,0,1.00,1.00,0
query_10248,47.817,69,1.00,1.00,0
