query,time,httpCalls,completeness,soundness,errors
query_10174,77.601,484,1.00,1.00,0
query_10175,97.04,478,1.00,1.00,0
query_10176,0.806,1,1.00,1.00,0
query_10177,1.623,4,1.00,1.00,0
query_10179,1.029,1,1.00,1.00,0
query_1017,2.172,9,1.00,1.00,0
query_10180,11.335,86,1.00,1.00,0
query_10181,1.197,3,1.00,1.00,0
query_10182,11.441,68,1.00,1.00,0
query_10183,2.528,8,1.00,1.00,0
query_10184,1.679,3,1.00,1.00,0
query_10185,1.539,4,1.00,1.00,0
query_10186,1.348,4,1.00,1.00,0
query_10187,35.862,178,1.00,1.00,0
query_10188,20.53,88,1.00,1.00,0
query_1018,55.409,337,1.00,1.00,0
query_10190,1.592,4,1.00,1.00,0
query_10191,120.002,668,1.00,1.00,1
query_10192,1.171,1,1.00,1.00,0
query_10193,1.128,0,1.00,1.00,0
query_10195,18.843,88,1.00,1.00,0
query_10196,11.588,70,1.00,1.00,0
query_10199,3.767,3,1.00,1.00,0
query_1019,50.124,320,1.00,1.00,0
query_101,2.871,16,1.00,1.00,0
query_10200,2.073,9,1.00,1.00,0
query_10201,1.078,1,1.00,1.00,0
query_10203,3.669,15,1.00,1.00,0
query_10205,4.684,21,1.00,1.00,0
query_10207,14.673,69,1.00,1.00,0
query_10209,9.834,43,1.00,1.00,0
query_1020,36.743,148,1.00,1.00,0
query_10210,0.565,1,1.00,1.00,0
query_10211,73.768,416,1.00,1.00,0
query_10212,37.446,186,1.00,1.00,0
query_10213,24.625,131,1.00,1.00,0
query_10214,0.961,0,1.00,1.00,0
query_10215,0.794,0,1.00,1.00,0
query_10216,57.549,327,1.00,1.00,0
query_10217,0.346,0,1.00,1.00,0
query_10218,20.484,133,1.00,1.00,0
query_10219,120.005,693,1.00,1.00,1
query_1021,6.138,28,1.00,1.00,0
query_10220,13.208,59,1.00,1.00,0
query_10221,56.291,297,1.00,1.00,0
query_10222,2.062,7,1.00,1.00,0
query_10225,120.002,528,.52,1.00,1
query_10226,4.375,26,1.00,1.00,0
query_10227,0.783,0,1.00,1.00,0
query_10229,5.575,24,1.00,1.00,0
query_1022,5.514,35,1.00,1.00,0
query_10230,62.143,515,1.00,1.00,0
query_10231,0.557,0,1.00,1.00,0
query_10232,0.874,1,1.00,1.00,0
query_10234,18.755,91,1.00,1.00,0
query_10235,31.202,141,1.00,1.00,0
query_10236,1.759,5,1.00,1.00,0
query_10237,89.489,590,1.00,1.00,0
query_10238,50.158,333,1.00,1.00,0
query_1023,85.875,583,1.00,1.00,0
query_10240,49.737,236,1.00,1.00,0
query_10241,120.002,559,.32,1.00,1
query_10242,1.691,4,1.00,1.00,0
query_10243,20.89,88,1.00,1.00,0
query_10246,1.021,0,1.00,1.00,0
query_10248,15.512,69,1.00,1.00,0
query_10251,0.698,0,1.00,1.00,0
query_10253,33.695,244,.99,.99,0
query_10254,18.064,85,1.00,1.00,0
query_10255,0.655,1,1.00,1.00,0
query_10256,3.127,10,1.00,1.00,0
query_10257,52.333,237,1.00,1.00,0
query_10258,0.955,0,1.00,1.00,0
query_10259,12.47,77,1.00,1.00,0
query_1025,0.953,1,1.00,1.00,0
query_10261,0.888,1,1.00,1.00,0
query_10263,33.698,244,.99,.99,0
query_10266,51.739,258,1.00,1.00,0
query_10268,88.889,465,1.00,1.00,0
query_1026,1.609,5,1.00,1.00,0
query_10271,86.479,508,1.00,1.00,0
query_10272,0.722,0,1.00,1.00,0
query_10273,15.177,69,1.00,1.00,0
query_10274,1.418,3,1.00,1.00,0
query_10277,99.917,478,1.00,1.00,0
query_10279,1.268,1,1.00,1.00,0
query_1027,10.662,46,1.00,1.00,0
query_10280,3.42,15,1.00,1.00,0
query_10281,1.223,1,1.00,1.00,0
query_10282,1.105,0,1.00,1.00,0
query_10283,0.89,1,1.00,1.00,0
query_10284,54.731,237,1.00,1.00,0
query_10285,17.515,90,1.00,1.00,0
query_10286,1.533,2,1.00,1.00,0
query_10287,16.253,107,1.00,1.00,0
query_10288,93.613,590,1.00,1.00,0
query_1028,1.244,1,1.00,1.00,0
query_10291,56.688,297,1.00,1.00,0
query_10292,47.821,305,1.00,1.00,0
query_10293,25.659,135,1.00,1.00,0
query_10295,2.28,13,1.00,1.00,0
query_10297,63.963,277,1.00,1.00,0
query_10298,24.315,106,1.00,1.00,0
query_10299,17.977,85,1.00,1.00,0
query_102,54.763,222,1.00,1.00,0
query_10300,1.001,0,1.00,1.00,0
query_10301,120.003,306,.65,1.00,1
query_10302,61.01,193,1.00,0,0
query_10303,0.888,1,1.00,1.00,0
query_10304,106.499,428,1.00,1.00,0
query_10307,27.48,82,1.00,1.00,0
query_10308,70.916,251,1.00,1.00,0
query_10309,1.253,1,1.00,1.00,0
query_1030,21.632,46,1.00,1.00,0
query_10310,22.946,63,1.00,1.00,0
query_10311,1.269,1,0,1.00,0
query_10313,2.792,1,1.00,1.00,0
query_10314,10.549,28,1.00,1.00,0
query_10315,24.546,79,1.00,1.00,0
query_10316,22.992,57,1.00,0,0
query_10317,75.417,229,1.00,1.00,0
query_10318,67.592,347,1.00,1.00,0
query_10319,6.42,14,1.00,1.00,0
query_1031,35.492,129,1.00,1.00,0
query_10320,1.407,0,1.00,1.00,0
query_10322,22.158,82,1.00,1.00,0
query_10323,43.031,133,1.00,1.00,0
query_10324,120.003,401,.87,1.00,1
query_10326,2.838,4,1.00,1.00,0
query_10327,57.51,232,1.00,1.00,0
query_1032,52.987,237,1.00,0,0
query_10330,38.635,151,1.00,1.00,0
query_10331,32.279,96,1.00,1.00,0
query_10332,29.214,125,1.00,1.00,0
query_10335,17.313,76,1.00,1.00,0
query_10337,1.092,0,1.00,1.00,0
query_10338,0.821,0,1.00,1.00,0
query_10339,2.314,8,1.00,1.00,0
query_1033,4.233,11,1.00,1.00,0
query_10340,19.796,112,1.00,1.00,0
query_10341,6.56,25,1.00,1.00,0
query_10343,14.311,83,1.00,1.00,0
query_10344,6.493,23,1.00,1.00,0
query_10345,53.88,431,1.00,1.00,0
query_10346,1.677,5,1.00,1.00,0
