query,time,httpCalls,nbResults,errors
query_1272,,0,0
query_1273,,0,0
query_1274,,0,0
query_1275,45.356,1,24537,0
query_1276,87.054,1,3251,0
query_1277,,0,0
query_1278,107.736,1,660,0
query_1279,49.541,1,95,0
query_127,,0,0
query_1280,6.652,1,53,0
query_1281,,0,0
query_1282,,0,0
query_1283,60.27,1,3,0
query_1284,59.569,1,10021,0
query_1285,90.54,1,2,0
query_1286,75.08,1,84,0
query_1287,,0,0
query_1288,19.249,1,10862,0
query_1289,115.008,1,4207,0
query_128,116.252,1,2,0
query_1290,119.282,1,2,0
query_1291,,0,0
query_1292,3.337,1,1910,0
query_1293,,0,0
query_1294,,0,0
query_1295,,0,0
query_1296,3.104,1,3,0
query_1297,,0,0
query_1298,44.02,1,3,0
query_1299,,0,0
query_129,85.391,1,228,0
query_12,,0,0
query_1300,,0,0
query_1301,,0,0
query_1302,79.591,1,64426,0
query_1303,114.002,1,2,0
query_1304,54.497,1,61,0
query_1305,,0,0
query_1306,,0,0
query_1307,18.97,1,651,0
query_1308,,0,0
query_1309,104.345,1,1870,0
query_130,89.619,1,5,0
query_1310,80.731,1,2,0
query_1311,,0,0
query_1312,41.797,1,2,0
query_1313,113.471,1,5,0
query_1314,1.647,1,2,0
query_1315,,0,0
query_1316,,0,0
query_1317,,0,0
query_1318,,0,0
query_1319,,0,0
query_131,117.338,1,124,0
query_1320,7.446,1,193,0
query_1321,,0,0
query_1322,117.684,1,11,0
query_1323,117.2,1,67,0
query_1324,103.903,1,34,0
query_1325,52.807,1,1048578,0
query_1326,68.342,1,49,0
query_1327,,0,0
query_1328,,0,0
query_1329,78.265,1,2,0
query_132,,0,0
query_1330,,0,0
query_1331,103.91,1,1048578,0
query_1332,22.878,1,2832,0
query_1333,119.08,1,2,0
query_1334,58.347,1,38,0
query_1335,68.016,1,147,0
query_1336,4.093,1,3186,0
query_1337,,0,0
query_1338,118.692,1,117,0
query_1339,12.065,1,2,0
query_133,,0,0
query_1340,77.077,1,2747,0
query_1341,49.462,1,12,0
query_1342,76.489,1,397,0
query_1343,,0,0
query_1344,114.658,1,232,0
query_1345,,0,0
query_1346,90.866,1,4,0
query_1347,94.101,1,1048578,0
query_1348,70.308,1,109,0
query_1349,86.411,1,4,0
query_134,,0,0
query_1350,10.288,1,5,0
query_1351,,0,0
query_1352,31.354,1,5,0
query_1353,92.966,1,58,0
query_1354,72.9,1,87,0
query_1355,,0,0
query_1356,,0,0
query_1357,17.39,1,3,0
query_1358,74.443,1,2,0
query_1359,,0,0
query_135,53.491,1,195,0
query_1360,118.953,1,4207,0
query_1361,71.33,1,7,0
query_1362,,0,0
query_1363,,0,0
query_1364,10.331,1,9,0
query_1365,117.72,1,63,0
query_1366,113.879,1,2,0
query_1367,16.738,1,15,0
query_1368,3.088,1,2,0
query_1369,,0,0
query_136,,0,0
query_1370,99.775,1,2,0
query_1371,59.188,1,21,0
query_1372,89.834,1,139,0
query_1373,,0,0
query_1374,118.872,1,54,0
query_1375,102.372,1,1772,0
query_1376,119.059,1,9,0
query_1377,,0,0
query_1378,119.305,1,169,0
query_1379,10.116,1,1094,0
query_137,72.006,1,2,0
query_1380,118.97,1,7416,0
query_1381,1.43,1,2,0
query_1382,37.258,1,198406,0
query_1383,,0,0
query_1384,5.554,1,2,0
query_1385,,0,0
query_1386,10.179,1,28,0
query_1387,,0,0
query_1388,,0,0
query_1389,68.741,1,2,0
query_138,56.128,1,225,0
query_1390,79.999,1,22372,0
query_1391,41.392,1,2,0
query_1392,,0,0
query_1393,,0,0
query_1394,59.188,1,3,0
query_1395,64.065,1,6,0
query_1396,,0,0
query_1397,118.209,1,2,0
query_1398,8.457,1,347,0
query_1399,,0,0
query_139,,0,0
query_13,79.6,1,118,0
query_1400,,0,0
query_1401,44.455,1,9,0
query_1402,,0,0
query_1403,,0,0
query_1404,,0,0
query_1405,11.322,1,20,0
query_1406,75.732,1,421,0
query_1407,3.484,1,3,0
query_1408,62.992,1,2,0
query_1409,118.876,1,420,0
query_140,,0,0
query_1410,20.206,1,50,0
query_1411,,0,0
query_1412,,0,0
query_1413,61.932,1,2,0
query_1414,,0,0
query_1415,55.464,1,487,0
query_1416,,0,0
query_1417,75.669,1,13,0
query_1418,51.561,1,4,0
query_1419,119.184,1,22372,0
query_141,1.396,1,487,0
query_1420,,0,0
query_1421,,0,0
query_1422,14.244,1,105,0
query_1423,119.735,1,90,0
query_1424,,0,0
query_1425,80.628,1,623,0
query_1426,49.256,1,203,0
query_1427,,0,0
query_1428,116.203,1,8,0
query_1429,,0,0
query_142,,0,0
query_1430,4.287,1,10,0
query_1431,27.22,1,11,0
query_1432,102.139,1,5,0
query_1433,117.062,1,58,0
query_1434,,0,0
query_1435,53.479,1,2,0
query_1436,,0,0
query_1437,33.636,1,264,0
query_1438,,0,0
query_1439,10.23,1,906,0
query_143,47.215,1,163,0
query_1440,118.591,1,2,0
query_1441,7.38,1,62,0
query_1442,116.215,1,2,0
query_1443,,0,0
query_1444,79.441,1,1903,0
query_1445,100.472,1,40,0
