query,time,httpCalls,nbResults,errors
query_11564,,0,0
query_11565,2.288,1,651,0
query_11566,94.456,1,159,0
query_11567,100.125,1,31,0
query_11568,0.675,1,31,0
query_11569,,0,0
query_1156,3.839,1,3,0
query_11570,67.722,1,11,0
query_11571,,0,0
query_11572,39.871,1,2,0
query_11573,5.132,1,80,0
query_11574,,0,0
query_11575,113.648,1,2,0
query_11576,0.133,1,1717,0
query_11577,21.568,1,3344,0
query_11578,,0,0
query_11579,51.202,1,32,0
query_1157,0.205,1,137,0
query_11580,105.15,1,1801,0
query_11581,79.093,1,4,0
query_11582,1.021,1,119,0
query_11583,0.79,1,44,0
query_11584,,0,0
query_11585,,0,0
query_11586,1.701,1,5,0
query_11587,,0,0
query_11588,58.148,1,2415,0
query_11589,65.475,1,5,0
query_1158,102.338,1,2442,0
query_11590,,0,0
query_11591,,0,0
query_11592,5.216,1,2,0
query_11593,115.842,1,207,0
query_11594,,0,0
query_11595,103.285,1,23,0
query_11596,73.282,1,119,0
query_11597,,0,0
query_11598,7.453,1,28380,0
query_11599,0.318,1,2,0
query_1159,,0,0
query_115,2.79,1,333,0
query_11600,65.418,1,2,0
query_11601,,0,0
query_11602,26.866,1,16,0
query_11603,49.838,1,26,0
query_11604,,0,0
query_11605,34.79,1,2,0
query_11606,0.153,1,16,0
query_11607,0.347,1,2,0
query_11608,,0,0
query_11609,5.506,1,110,0
query_1160,,0,0
query_11610,16.451,1,25,0
query_11611,,0,0
query_11612,,0,0
query_11613,6.091,1,131,0
query_11614,114.024,1,3,0
query_11615,76.095,1,2,0
query_11616,116.199,1,9152,0
query_11617,26.912,1,106,0
query_11618,0.111,1,81,0
query_11619,102.482,1,13,0
query_1161,,0,0
query_11620,,0,0
query_11621,6.764,1,7812,0
query_11622,115.536,1,5,0
query_11623,27.011,1,2,0
query_11624,94.347,1,226,0
query_11625,,0,0
query_11626,53.955,1,87,0
query_11627,50.491,1,2,0
query_11628,2.282,1,2,0
query_11629,2.051,1,4058,0
query_1162,0.509,1,104,0
query_11630,,0,0
query_11631,,0,0
query_11632,103.003,1,2,0
query_11633,,0,0
query_11634,21.522,1,2,0
query_11635,48.763,1,1048578,0
query_11636,91.207,1,112,0
query_11637,90.207,1,491,0
query_11638,116.171,1,609,0
query_11639,119.395,1,252,0
query_1163,67.941,1,521930,0
query_11640,62.533,1,3,0
query_11641,110.774,1,1276,0
query_11642,66.32,1,2,0
query_11643,69.646,1,5,0
query_11644,106.068,1,6191,0
query_11645,,0,0
query_11646,34.171,1,22372,0
query_11647,65.334,1,521930,0
query_11648,119.268,1,4,0
query_11649,62.186,1,20,0
query_1164,15.706,1,385,0
query_11650,25.04,1,12181,0
query_11651,,0,0
query_11652,2.552,1,11,0
query_11653,0.738,1,11737,0
query_11654,49.95,1,13,0
query_11655,0.867,1,3,0
query_11656,,0,0
query_11657,4.943,1,2,0
query_11658,119.494,1,17,0
query_11659,119.193,1,551,0
query_1165,0.367,1,27,0
query_11660,10.373,1,9631,0
query_11661,35.767,1,33,0
query_11662,0.473,1,117,0
query_11663,23.445,1,3,0
query_11664,,0,0
query_11665,,0,0
query_11666,54.833,1,3,0
query_11667,,0,0
query_11668,18.222,1,182,0
query_11669,33.746,1,388,0
query_1166,,0,0
query_11670,2.164,1,25,0
query_11671,,0,0
query_11672,2.122,1,2,0
query_11673,107.546,1,31,0
query_11674,0.229,1,16,0
query_11675,,0,0
query_11676,49.915,1,1048578,0
query_11677,0.36,1,180,0
query_11678,6.863,1,53,0
query_11679,,0,0
query_1167,12.232,1,3,0
query_11680,107.483,1,10021,0
query_11681,3.806,1,4,0
query_11682,0.608,1,35,0
query_11683,,0,0
query_11684,11.636,1,7,0
query_11685,110.164,1,2,0
query_11686,51.263,1,1048578,0
query_11687,,0,0
query_11688,74.867,1,3,0
query_11689,117.927,1,551,0
query_1168,66.302,1,348,0
query_11690,102.716,1,22372,0
query_11691,0.482,1,2,0
query_11692,,0,0
query_11693,7.627,1,2239,0
query_11694,63.96,1,521930,0
query_11695,,0,0
query_11696,58.686,1,2,0
query_11697,2.358,1,2,0
query_11698,52.245,1,99220,0
query_11699,,0,0
query_1169,,0,0
query_116,3.394,1,2,0
query_11700,52.863,1,3,0
query_11701,107.192,1,4,0
query_11702,0.593,1,13,0
query_11703,,0,0
query_11704,22.13,1,14,0
query_11705,102.659,1,1797,0
query_11706,0.32,1,119,0
query_11707,,0,0
query_11708,,0,0
query_11709,9.436,1,430,0
query_1170,0.515,1,50,0
query_11710,67.653,1,28,0
query_11711,53.87,1,16086,0
query_11712,,0,0
query_11713,6.628,1,80,0
query_11714,116.594,1,2,0
query_11715,,0,0
query_11716,3.443,1,131,0
query_11717,67.992,1,112,0
query_11718,1.802,1,2239,0
query_11719,,0,0
query_1171,59.174,1,174118,0
query_11720,,0,0
query_11721,10.152,1,3,0
query_11722,0.406,1,2,0
query_11723,,0,0
query_11724,,0,0
query_11725,,0,0
query_11726,1.145,1,5,0
query_11727,,0,0
query_11728,,0,0
query_11729,9.101,1,2,0
query_1172,,0,0
query_11730,,0,0
query_11731,87.482,1,83,0
query_11732,0.948,1,348,0
query_11733,22.742,1,10,0
query_11734,2.799,1,5,0
query_11735,20.133,1,4486,0
query_11736,100.389,1,10,0
query_11737,0.046,1,14,0
