query,time,httpCalls,serverTime,errors
query_8395,33.097,2080,59.714423076923076,0
query_8396,4.088,214,55.5607476635514,0
query_8397,0.131,1,56,0
query_8398,2.481,85,55.705882352941174,0
query_8399,24.248,1217,54.995891536565324,0
query_839,77.435,4086,53.92584434654919,0
query_83,,0
query_8400,0.714,36,54,0
query_8401,0.292,9,83.55555555555556,0
query_8402,1.647,80,54.9,0
query_8403,0.227,6,58,0
query_8404,0.267,8,77.5,0
query_8405,39.269,2575,53.48815533980583,0
query_8406,33.096,2340,52.90897435897436,0
query_8407,3.337,172,55.098837209302324,0
query_8408,53.238,3426,54.26152948044366,0
query_8409,49.084,3853,75.86088762003634,0
query_840,28.644,2088,60.16906130268199,0
query_8410,89.13,6490,69.95516178736517,0
query_8411,0.088,3,57.333333333333336,0
query_8412,0.269,10,56.4,0
query_8413,,0
query_8414,37.229,2522,53.40721649484536,0
query_8415,50.06,4582,105.48625054561327,0
query_8416,,0
query_8417,0.16,4,61.25,0
query_8418,,0
query_8419,64.27,4123,55.0686393402862,0
query_841,22,1308,54.12385321100918,0
query_8420,,0
query_8421,8.825,616,52.61525974025974,0
query_8422,7.412,513,52.95906432748538,0
query_8423,,0
query_8424,80.246,6404,84.24281698938164,0
query_8425,0.253,8,75.875,0
query_8426,4.731,193,54.854922279792746,0
query_8427,53.261,3360,54.80327380952381,0
query_8428,1.345,75,55.76,0
query_8429,1.745,103,54.0873786407767,0
query_842,22.469,1182,57.07191201353638,0
query_8430,40.927,2914,54.50240219629375,0
query_8431,17.444,1179,52.959287531806616,0
query_8432,46.092,3768,75.76326963906581,0
query_8433,27.191,1386,54.04545454545455,0
query_8434,75.674,4541,54.01233208544374,0
query_8435,,0
query_8436,89.058,7636,80.58106338397066,0
query_8437,0.086,4,59,0
query_8438,96.693,4480,53.80401785714286,0
query_8439,,0
query_843,,0
query_8440,,0
query_8441,,0
query_8442,6.65,373,54.289544235924936,0
query_8443,0.805,43,53.93023255813954,0
query_8444,3.507,155,54.52903225806452,0
query_8445,71.612,4129,53.88423347057399,0
query_8446,61.777,3920,53.27015306122449,0
query_8447,16.887,866,54.10623556581986,0
query_8448,48.448,3630,67.74628099173553,0
query_8449,2.548,141,53.43262411347518,0
query_844,0.201,5,59,0
query_8450,28.592,1846,58.018418201516795,0
query_8451,0.795,49,54.53061224489796,0
query_8452,16.269,855,53.54502923976608,0
query_8453,,0
query_8454,,0
query_8455,4.453,193,54.45077720207254,0
query_8456,82.233,3855,54.05525291828794,0
query_8457,53.477,4193,72.74600524683997,0
query_8458,0.222,6,64.33333333333333,0
query_8459,57.211,3149,54.62972372181645,0
query_845,25.172,1523,53.738017071569274,0
query_8460,0.129,1,57,0
query_8461,84.57,7448,101.31592373791622,0
query_8462,116.452,8164,53.214600685938265,0
query_8463,,0
query_8464,14.547,944,53.6875,0
query_8465,0.223,5,60.4,0
query_8466,,0
query_8467,,0
query_8468,10.253,618,54.33980582524272,0
query_8469,0.148,3,59,0
query_846,14.864,964,53.57883817427386,0
query_8470,,0
query_8471,,0
query_8472,52.741,4011,72.53128895537273,0
query_8473,5.352,361,53.096952908587255,0
query_8474,2.644,139,54.30935251798561,0
query_8475,0.28,7,56,0
query_8476,8.787,501,53.95409181636727,0
query_8477,,0
query_8478,88.032,3895,54.06392811296534,0
query_8479,57.432,5269,107.25811349402164,0
query_847,14.599,808,54.347772277227726,0
query_8480,,0
query_8481,6.503,322,54.24223602484472,0
query_8482,2.298,157,53.031847133757964,0
query_8483,0.212,8,58.875,0
query_8484,100.43,6636,60.60774562989753,0
query_8485,18.862,1334,55.94752623688156,0
query_8486,35.249,1918,57.10114702815433,0
query_8487,19.767,1247,53.855653568564556,0
query_8488,,0
query_8489,1.916,118,53.186440677966104,0
query_848,0.127,1,57,0
query_8490,0.656,28,54.5,0
query_8491,4.482,327,67.44954128440367,0
query_8492,,0
query_8493,22.951,1583,53.839545167403664,0
query_8494,40.916,2575,54.38873786407767,0
query_8495,,0
query_8496,,0
query_8497,5.377,238,54.36134453781513,0
query_8498,22.84,1583,53.32154137713203,0
query_8499,42.849,2743,53.71928545388261,0
query_849,7.076,291,54.9106529209622,0
query_84,0.284,8,55.625,0
query_8500,9.832,483,54.40372670807454,0
query_8501,4.4,192,54.473958333333336,0
query_8502,3.28,209,53.51196172248804,0
query_8503,90.839,4025,53.81987577639752,0
query_8504,0.296,10,102.1,0
query_8505,0.283,6,62.5,0
query_8506,14.725,843,53.80189798339264,0
query_8507,,0
query_8508,20.307,1268,53.97003154574133,0
query_8509,0.297,10,94.8,0
query_850,112.463,6322,54.105346409364124,0
query_8510,,0
query_8511,,0
query_8512,3.27,214,53.66355140186916,0
query_8513,32.888,2543,83.03735745182856,0
query_8514,,0
query_8515,67.415,4129,54.79486558488738,0
query_8516,26.385,1585,56.536908517350156,0
query_8517,,0
query_8518,0.561,26,54.57692307692308,0
query_8519,10.288,580,53.734482758620686,0
query_851,0.13,1,56,0
query_8520,,0
query_8521,,0
query_8522,0.271,6,61.166666666666664,0
query_8523,0.13,1,55,0
query_8524,70.682,3902,53.68862121988724,0
query_8525,,0
query_8526,0.28,7,61.42857142857143,0
query_8527,0.281,6,59,0
query_8528,0.349,8,62.75,0
query_8529,,0
query_852,27.757,1397,55.40730136005727,0
query_8530,4.051,211,55.96682464454976,0
query_8531,,0
query_8532,1.477,70,55.857142857142854,0
query_8533,0.346,9,56,0
query_8534,0.222,5,61.2,0
query_8535,0.211,4,58.75,0
