query,time,httpCalls,serverTime,errors
query_11738,0.692,7,159.28571428571428,0
query_11739,,0
query_1173,0.692,9,90,0
query_11740,86.133,2105,134.56769596199524,0
query_11741,0.569,6,149,0
query_11742,,0
query_11743,0.355,3,122,0
query_11744,,0
query_11745,24.647,483,140.6542443064182,0
query_11746,37.879,1209,155.1166253101737,0
query_11747,63.105,1889,153.5833774483854,0
query_11748,,0
query_11749,,0
query_1174,,0
query_11750,86.247,2451,132.49204406364748,0
query_11751,0.61,9,112,0
query_11752,,0
query_11753,37.164,868,139.93548387096774,0
query_11754,94.763,2026,137.25765054294175,0
query_11755,,0
query_11756,0.281,6,83.66666666666667,0
query_11757,0.18,1,94,0
query_11758,0.429,10,158,0
query_11759,0.568,10,96.9,0
query_1175,,0
query_11760,92.567,2930,192.83378839590443,0
query_11761,1.044,12,174.83333333333334,0
query_11762,0.316,6,68.33333333333333,0
query_11763,0.637,9,127.88888888888889,0
query_11764,8.046,184,141.02717391304347,0
query_11765,,0
query_11766,42.112,1176,117.20918367346938,0
query_11767,,0
query_11768,16.793,388,142.5541237113402,0
query_11769,0.567,6,133.83333333333334,0
query_1176,,0
query_11770,,0
query_11771,0.458,6,124.16666666666667,0
query_11772,94.169,2955,145.8467005076142,0
query_11773,0.269,6,79.33333333333333,0
query_11774,0.845,11,142.72727272727272,0
query_11775,0.859,9,143.44444444444446,0
query_11776,0.703,16,116.6875,0
query_11777,16.988,337,143.42729970326408,0
query_11778,,0
query_11779,0.218,4,66.25,0
query_1177,0.779,11,117,0
query_11780,48.756,1250,125.4136,0
query_11781,,0
query_11782,,0
query_11783,76.883,2779,189.24577186038144,0
query_11784,2.776,75,133.22666666666666,0
query_11785,0.201,3,62.333333333333336,0
query_11786,,0
query_11787,,0
query_11788,,0
query_11789,,0
query_1178,,0
query_11790,0.7,18,96.05555555555556,0
query_11791,0.887,14,144.07142857142858,0
query_11792,,0
query_11793,4.922,132,129.77272727272728,0
query_11794,9.984,197,135.73604060913706,0
query_11795,,0
query_11796,,0
query_11797,2.421,49,137.44897959183675,0
query_11798,4.964,110,137.3909090909091,0
query_11799,,0
query_1179,,0
query_117,,0
query_11800,0.819,11,152.72727272727272,0
query_11801,,0
query_11802,25.166,635,134.48346456692914,0
query_11803,,0
query_11804,,0
query_11805,8.085,214,139.07009345794393,0
query_11806,,0
query_11807,34.436,826,133.44430992736076,0
query_11808,,0
query_11809,91.348,3064,116.17689295039165,0
query_1180,,0
query_11810,117.495,3208,133.71009975062344,0
query_11811,,0
query_11812,,0
query_11813,,0
query_11814,87.535,2522,126.85685963521016,0
query_11815,,0
query_11816,,0
query_11817,,0
query_11818,,0
query_11819,45.643,1042,128.80998080614202,0
query_1181,100.385,2313,122.95719844357977,0
query_11820,14.015,217,136.00921658986175,0
query_11821,52.201,1583,124.97536323436513,0
query_11822,,0
query_11823,49.22,1283,135.8854247856586,0
query_11824,118.133,3254,131.33435771358327,0
query_11825,32.29,990,122.91717171717171,0
query_11826,87.759,2105,135.87030878859858,0
query_11827,35.955,985,163.21421319796954,0
query_11828,,0
query_11829,,0
query_1182,0.46,8,167.125,0
query_11830,,0
query_11831,5.534,152,111.48684210526316,0
query_11832,,0
query_11833,,0
query_11834,,0
query_11835,10.208,253,118.79841897233202,0
query_11836,,0
query_11837,0.36,5,122.2,0
query_11838,,0
query_11839,0.26,8,148,0
query_1183,0.15,1,55,0
query_11840,0.249,3,141.66666666666666,0
query_11841,1.552,40,125.35,0
query_11842,84.878,2926,168.107997265892,0
query_11843,,0
query_11844,,0
query_11845,108.443,3287,124.84545177973837,0
