query,time,httpCalls,nbResults,errors
query_1446,108.587,1,9,0
query_1447,113.395,1,1048578,0
query_1448,98.995,1,1048578,0
query_1449,24.167,1,2142,0
query_144,,0,0
query_1450,103.839,1,715,0
query_1451,,0,0
query_1452,67.342,1,2,0
query_1453,58.043,1,609,0
query_1454,4.686,1,10,0
query_1455,,0,0
query_1456,73.881,1,2292,0
query_1457,48.377,1,49,0
query_1458,39.65,1,3,0
query_1459,,0,0
query_145,52.263,1,404,0
query_1460,110.317,1,6,0
query_1461,14.476,1,2,0
query_1462,,0,0
query_1463,67.202,1,182,0
query_1464,0.422,1,31,0
query_1465,98.774,1,39,0
query_1466,24.975,1,3,0
query_1467,,0,0
query_1468,5.649,1,44,0
query_1469,116.205,1,1121,0
query_146,56.152,1,430,0
query_1470,67.089,1,239,0
query_1471,62.952,1,48,0
query_1472,106.208,1,2,0
query_1473,16.16,1,19,0
query_1474,,0,0
query_1475,113.125,1,8747,0
query_1476,16.431,1,3,0
query_1477,113.841,1,34,0
query_1478,,0,0
query_1479,112.857,1,28380,0
query_147,,0,0
query_1480,19.762,1,3,0
query_1481,1.331,1,169,0
query_1482,,0,0
query_1483,105.689,1,3066,0
query_1484,19.041,1,18220,0
query_1485,99.721,1,906,0
query_1486,102.384,1,3,0
query_1487,22.86,1,3,0
query_1488,,0,0
query_1489,1.348,1,12604,0
query_148,0.815,1,2,0
query_1490,119.334,1,270,0
query_1491,,0,0
query_1492,10.976,1,2,0
query_1493,,0,0
query_1494,,0,0
query_1495,,0,0
query_1496,5.099,1,9,0
query_1497,,0,0
query_1498,4.963,1,146,0
query_1499,,0,0
query_149,6.305,1,2,0
query_14,,0,0
query_1500,97.095,1,7746,0
query_1501,104.458,1,422,0
query_1502,,0,0
query_1503,117.361,1,1048578,0
query_1504,2.163,1,18744,0
query_1505,,0,0
query_1506,56.541,1,37,0
query_1507,70.75,1,3,0
query_1508,,0,0
query_1509,2.374,1,80,0
query_150,,0,0
query_1510,,0,0
query_1511,5.584,1,2,0
query_1512,,0,0
query_1513,40.011,1,101,0
query_1514,85.708,1,14183,0
query_1515,104.885,1,2,0
query_1516,19.214,1,277,0
query_1517,,0,0
query_1518,93.377,1,51,0
query_1519,27.93,1,4207,0
query_151,57.382,1,6590,0
query_1520,52.277,1,328,0
query_1521,,0,0
query_1522,,0,0
query_1523,78.346,1,1048578,0
query_1524,42.82,1,19,0
query_1525,104.687,1,18,0
query_1526,117.476,1,4,0
query_1527,21.09,1,68,0
query_1528,,0,0
query_1529,,0,0
query_152,110.111,1,6,0
query_1530,11.95,1,2,0
query_1531,98.516,1,3,0
query_1532,,0,0
query_1533,2.211,1,2,0
query_1534,98.248,1,20,0
query_1535,23.15,1,3,0
query_1536,0.433,1,14026,0
query_1537,48.464,1,3,0
query_1538,,0,0
query_1539,3.729,1,254,0
query_153,,0,0
query_1540,5.782,1,2,0
query_1541,2.246,1,15,0
query_1542,,0,0
query_1543,3.187,1,157,0
query_1544,2.668,1,385,0
query_1545,,0,0
query_1546,4.327,1,3,0
query_1547,,0,0
query_1548,108.511,1,3,0
query_1549,24.631,1,117,0
query_154,107.343,1,660,0
query_1550,,0,0
query_1551,18.625,1,2,0
query_1552,0.224,1,9,0
query_1553,,0,0
query_1554,2.118,1,2239,0
query_1555,4.143,1,2,0
query_1556,0.975,1,2,0
query_1557,27.688,1,6,0
query_1558,,0,0
query_1559,68.205,1,2,0
query_155,0.25,1,97,0
query_1560,,0,0
query_1561,,0,0
query_1562,1.133,1,1768,0
query_1563,85.478,1,3,0
query_1564,0.072,1,11,0
query_1565,,0,0
query_1566,4.294,1,2,0
query_1567,8.095,1,752,0
query_1568,98.466,1,2,0
query_1569,26.419,1,56,0
query_156,118.061,1,3,0
query_1570,,0,0
query_1571,51.789,1,1454,0
query_1572,,0,0
query_1573,4.645,1,160,0
query_1574,,0,0
query_1575,28.518,1,20,0
query_1576,64.553,1,57,0
query_1577,,0,0
query_1578,6.015,1,13,0
query_1579,,0,0
query_157,,0,0
query_1580,7.163,1,29,0
query_1581,2.944,1,9,0
query_1582,117.38,1,14183,0
query_1583,35.795,1,3,0
query_1584,61.022,1,827,0
query_1585,,0,0
query_1586,5.453,1,5226,0
query_1587,,0,0
query_1588,3.596,1,54,0
query_1589,,0,0
query_158,4.114,1,112,0
query_1590,,0,0
query_1591,,0,0
query_1592,10.031,1,861,0
query_1593,99.184,1,82,0
query_1594,23.292,1,2,0
query_1595,48.671,1,185,0
query_1596,0.389,1,2,0
query_1597,,0,0
query_1598,5.832,1,410,0
query_1599,,0,0
query_159,7.207,1,652,0
query_15,114.989,1,449,0
query_1600,105.9,1,31,0
query_1601,20.934,1,2,0
query_1602,,0,0
query_1603,8.452,1,31,0
query_1604,27.692,1,120,0
query_1605,30.64,1,37,0
query_1606,,0,0
query_1607,2.523,1,596,0
query_1608,9.18,1,30,0
query_1609,26.502,1,35,0
query_160,96.933,1,2,0
query_1610,119.077,1,15,0
query_1611,0.13,1,651,0
query_1612,108.943,1,2,0
query_1613,,0,0
query_1614,79.458,1,45,0
query_1615,52.502,1,98,0
query_1616,48.283,1,4195,0
query_1617,75.125,1,91,0
query_1618,47.514,1,14183,0
query_1619,,0,0
