query,time,httpCalls,nbResults,errors
query_11390,,0,0
query_11391,100.947,1,20,0
query_11392,23.944,1,3,0
query_11393,,0,0
query_11394,,0,0
query_11395,105.796,1,1048578,0
query_11396,17.95,1,2,0
query_11397,91.732,1,2,0
query_11398,57.808,1,1768,0
query_11399,91.629,1,3268,0
query_1139,,0,0
query_113,58.937,1,53,0
query_11400,1.083,1,3,0
query_11401,82.563,1,279,0
query_11402,69.056,1,515,0
query_11403,,0,0
query_11404,94.224,1,3,0
query_11405,33.525,1,5,0
query_11406,60.455,1,158164,0
query_11407,110.592,1,6,0
query_11408,18.932,1,2,0
query_11409,,0,0
query_1140,4.948,1,14183,0
query_11410,116.589,1,4,0
query_11411,,0,0
query_11412,3.3,1,42,0
query_11413,,0,0
query_11414,67.573,1,2,0
query_11415,57.815,1,2,0
query_11416,,0,0
query_11417,,0,0
query_11418,2.038,1,23880,0
query_11419,,0,0
query_1141,,0,0
query_11420,79.476,1,163,0
query_11421,,0,0
query_11422,50.123,1,33,0
query_11423,115.441,1,3,0
query_11424,,0,0
query_11425,3.645,1,19,0
query_11426,119.162,1,2822,0
query_11427,119.486,1,23,0
query_11428,,0,0
query_11429,26.711,1,9434,0
query_1142,,0,0
query_11430,109.831,1,187,0
query_11431,0.912,1,37,0
query_11432,1.128,1,9911,0
query_11433,,0,0
query_11434,,0,0
query_11435,105.341,1,61,0
query_11436,47.404,1,2,0
query_11437,90.259,1,2412,0
query_11438,119.128,1,2,0
query_11439,68.812,1,49,0
query_1143,71.58,1,4207,0
query_11440,90.607,1,1048578,0
query_11441,56.974,1,3992,0
query_11442,99.993,1,225,0
query_11443,71.338,1,3344,0
query_11444,70.385,1,87,0
query_11445,119,1,5,0
query_11446,105.802,1,1401,0
query_11447,14.227,1,17,0
query_11448,,0,0
query_11449,109.524,1,89,0
query_1144,,0,0
query_11450,15.46,1,2,0
query_11451,117.581,1,195,0
query_11452,93.184,1,58,0
query_11453,0.688,1,14026,0
query_11454,,0,0
query_11455,,0,0
query_11456,13.412,1,6191,0
query_11457,109.248,1,54,0
query_11458,,0,0
query_11459,70.434,1,120,0
query_1145,56.978,1,3,0
query_11460,,0,0
query_11461,86.121,1,12604,0
query_11462,38.383,1,41,0
query_11463,116.363,1,19,0
query_11464,7.775,1,2,0
query_11465,,0,0
query_11466,,0,0
query_11467,14.555,1,575,0
query_11468,65.73,1,12,0
query_11469,57.752,1,3,0
query_1146,113.436,1,44,0
query_11470,,0,0
query_11471,4.94,1,2,0
query_11472,,0,0
query_11473,,0,0
query_11474,8.666,1,1128,0
query_11475,,0,0
query_11476,1.867,1,4,0
query_11477,,0,0
query_11478,,0,0
query_11479,6.407,1,2,0
query_1147,116.236,1,2,0
query_11480,116.057,1,11,0
query_11481,103.354,1,48,0
query_11482,20.735,1,2,0
query_11483,51.109,1,104,0
query_11484,73.772,1,416,0
query_11485,50.833,1,39,0
query_11486,2.28,1,152,0
query_11487,9.874,1,369,0
query_11488,51.132,1,5,0
query_11489,23.663,1,16190,0
query_1148,103.479,1,3,0
query_11490,,0,0
query_11491,106.87,1,2,0
query_11492,117.101,1,56,0
query_11493,10.699,1,31,0
query_11494,54.108,1,376,0
query_11495,,0,0
query_11496,,0,0
query_11497,107.94,1,15,0
query_11498,0.936,1,15,0
query_11499,3.021,1,141,0
query_1149,,0,0
query_114,8.314,1,413,0
query_11500,107.397,1,41,0
query_11501,0.807,1,2,0
query_11502,,0,0
query_11503,7.219,1,3,0
query_11504,,0,0
query_11505,3.626,1,2,0
query_11506,79.303,1,47,0
query_11507,43.842,1,130,0
query_11508,1.123,1,225,0
query_11509,110.021,1,10,0
query_1150,,0,0
query_11510,18.973,1,67,0
query_11511,116.817,1,4,0
query_11512,,0,0
query_11513,99.209,1,22,0
query_11514,1.996,1,11259,0
query_11515,,0,0
query_11516,101.58,1,90,0
query_11517,,0,0
query_11518,102.791,1,2,0
query_11519,24.122,1,1276,0
query_1151,97.339,1,28,0
query_11520,24.14,1,3,0
query_11521,,0,0
query_11522,72.517,1,14,0
query_11523,84.921,1,87,0
query_11524,37.611,1,22,0
query_11525,48.743,1,2,0
query_11526,1.14,1,2317,0
query_11527,62.539,1,903,0
query_11528,,0,0
query_11529,71.522,1,22372,0
query_1152,55.846,1,82,0
query_11530,,0,0
query_11531,,0,0
query_11532,10.358,1,58,0
query_11533,75.011,1,2,0
query_11534,,0,0
query_11535,5.587,1,6,0
query_11536,55.884,1,78,0
query_11537,65.057,1,22819,0
query_11538,,0,0
query_11539,52.052,1,2726,0
query_1153,,0,0
query_11540,74.932,1,2362,0
query_11541,,0,0
query_11542,,0,0
query_11543,,0,0
query_11544,12.26,1,376,0
query_11545,28.021,1,20,0
query_11546,,0,0
query_11547,2.065,1,2,0
query_11548,119.474,1,2,0
query_11549,31.071,1,2,0
query_1154,0.778,1,2,0
query_11550,,0,0
query_11551,7.362,1,3,0
query_11552,,0,0
query_11553,57.873,1,5,0
query_11554,65.401,1,416,0
query_11555,,0,0
query_11556,50.542,1,4,0
query_11557,82.753,1,49,0
query_11558,90.282,1,16190,0
query_11559,74.311,1,22372,0
query_1155,115.63,1,915,0
query_11560,50.23,1,906,0
query_11561,74.034,1,15,0
query_11562,,0,0
query_11563,22.379,1,8747,0
