query,time,httpCalls,nbResults,errors
query_908,,0,0
query_9090,5.578,1,57,0
query_9091,97.048,1,5,0
query_9092,0.183,1,2,0
query_9093,102.058,1,247,0
query_9094,115.927,1,2924,0
query_9095,7.592,1,12604,0
query_9096,,0,0
query_9097,90.421,1,2,0
query_9098,34.451,1,7812,0
query_9099,50.314,1,9631,0
query_909,,0,0
query_90,62.956,1,3,0
query_9100,20.972,1,44,0
query_9101,1.034,1,2412,0
query_9102,,0,0
query_9103,49.994,1,9,0
query_9104,1.319,1,2724,0
query_9105,1.094,1,12604,0
query_9106,,0,0
query_9107,1.066,1,302,0
query_9108,,0,0
query_9109,1.922,1,22372,0
query_910,98.983,1,421,0
query_9110,,0,0
query_9111,8.591,1,2,0
query_9112,63.361,1,2562,0
query_9113,57.433,1,10850,0
query_9114,47.738,1,3,0
query_9115,,0,0
query_9116,69.411,1,2,0
query_9117,52.228,1,209,0
query_9118,,0,0
query_9119,3.644,1,20,0
query_911,,0,0
query_9120,,0,0
query_9121,4.416,1,376,0
query_9122,,0,0
query_9123,117.534,1,342,0
query_9124,1.302,1,1907,0
query_9125,63.748,1,1048578,0
query_9126,57.33,1,3268,0
query_9127,98.984,1,6,0
query_9128,,0,0
query_9129,22.511,1,48,0
query_912,,0,0
query_9130,2.926,1,12,0
query_9131,48.992,1,17,0
query_9132,0.088,1,28,0
query_9133,,0,0
query_9134,,0,0
query_9135,5.309,1,466,0
query_9136,114.979,1,39,0
query_9137,66.586,1,32,0
query_9138,103.68,1,861,0
query_9139,,0,0
query_913,,0,0
query_9140,,0,0
query_9141,3.153,1,10,0
query_9142,,0,0
query_9143,0.361,1,32,0
query_9144,0.201,1,54,0
query_9145,,0,0
query_9146,12.207,1,28380,0
query_9147,1.73,1,71,0
query_9148,,0,0
query_9149,,0,0
query_914,43.529,1,243152,0
query_9150,96.546,1,3,0
query_9151,1.923,1,15,0
query_9152,2.872,1,2,0
query_9153,107.858,1,5,0
query_9154,16.589,1,3,0
query_9155,26.465,1,11,0
query_9156,,0,0
query_9157,100.189,1,8,0
query_9158,0.348,1,65,0
query_9159,103.812,1,9,0
query_915,109.872,1,2,0
query_9160,27.239,1,6388,0
query_9161,116.93,1,6,0
query_9162,1.371,1,3,0
query_9163,51.794,1,482,0
query_9164,2.713,1,2,0
query_9165,,0,0
query_9166,,0,0
query_9167,104.007,1,32,0
query_9168,24.179,1,906,0
query_9169,102.808,1,169,0
query_916,19.141,1,119,0
query_9170,31.204,1,3,0
query_9171,,0,0
query_9172,92.212,1,660,0
query_9173,116.879,1,2,0
query_9174,,0,0
query_9175,2.119,1,35,0
query_9176,113.595,1,92926,0
query_9177,8.108,1,31,0
query_9178,99.318,1,155,0
query_9179,0.939,1,22372,0
query_917,101.977,1,7,0
query_9180,20.71,1,402,0
query_9181,62.877,1,31,0
query_9182,,0,0
query_9183,2.59,1,54,0
query_9184,3.486,1,2,0
query_9185,118.092,1,2,0
query_9186,1.65,1,131,0
query_9187,7.93,1,76,0
query_9188,0.674,1,28380,0
query_9189,0.752,1,182,0
query_918,,0,0
query_9190,107.779,1,2,0
query_9191,19.049,1,1073,0
query_9192,103.454,1,36896,0
query_9193,,0,0
query_9194,12.234,1,416,0
query_9195,0.075,1,2924,0
query_9196,,0,0
query_9197,3.87,1,6,0
query_9198,104.875,1,225,0
query_9199,1.563,1,3,0
query_919,0.475,1,2,0
query_91,0.311,1,34,0
query_9200,,0,0
query_9201,,0,0
query_9202,100.279,1,9375,0
query_9203,1.659,1,4,0
query_9204,0.163,1,6,0
query_9205,12.69,1,333,0
query_9206,0.459,1,66,0
query_9207,48.583,1,2,0
query_9208,98.282,1,5,0
query_9209,32.081,1,18,0
query_920,97.835,1,6,0
query_9210,1.588,1,2,0
query_9211,,0,0
query_9212,,0,0
query_9213,11.289,1,535,0
query_9214,99.48,1,187,0
query_9215,1.203,1,2,0
query_9216,,0,0
query_9217,7.844,1,5,0
query_9218,101.142,1,29,0
query_9219,1.651,1,2,0
query_921,,0,0
query_9220,67.506,1,17,0
query_9221,59.189,1,2,0
query_9222,,0,0
query_9223,68.325,1,1083,0
query_9224,0.409,1,209,0
query_9225,14.292,1,15501,0
query_9226,,0,0
query_9227,1.581,1,265,0
query_9228,,0,0
query_9229,3.27,1,4,0
query_922,,0,0
query_9230,3.126,1,9,0
query_9231,,0,0
query_9232,8.058,1,2,0
query_9233,,0,0
query_9234,18.757,1,2,0
query_9235,2.505,1,7,0
query_9236,50.014,1,34,0
query_9237,47.487,1,1391,0
query_9238,0.528,1,2,0
query_9239,48.431,1,36528,0
query_923,72.97,1,35,0
query_9240,,0,0
query_9241,119.416,1,2,0
query_9242,7.152,1,4,0
query_9243,115.154,1,131,0
query_9244,0.517,1,3,0
query_9245,0.118,1,119,0
query_9246,98.678,1,1230,0
query_9247,23.165,1,651,0
query_9248,83.327,1,23880,0
query_9249,37.964,1,4838,0
query_924,25.395,1,3,0
query_9250,,0,0
query_9251,2.316,1,352,0
query_9252,1.083,1,13,0
query_9253,,0,0
query_9254,,0,0
query_9255,109.142,1,37,0
query_9256,102.614,1,950,0
query_9257,,0,0
query_9258,81.683,1,7812,0
query_9259,81.571,1,2,0
query_925,86.399,1,1048578,0
query_9260,,0,0
query_9261,4.073,1,3692,0
query_9262,3.485,1,7416,0
