query,time,httpCalls,serverTime,errors
query_11390,76.211,2668,101.02473763118441,0
query_11391,41.57,1222,96.50818330605564,0
query_11392,,0
query_11393,,0
query_11394,89.151,3430,98.83002915451895,0
query_11395,,0
query_11396,0.564,8,105.125,0
query_11397,4.858,151,86.41059602649007,0
query_11398,66.385,2135,99.31100702576113,0
query_11399,,0
query_1139,1.854,63,88.73015873015873,0
query_113,92.414,4795,133.09051094890512,0
query_11400,0.485,8,101,0
query_11401,36.152,1218,97.1272577996716,0
query_11402,,0
query_11403,,0
query_11404,0.429,9,70.33333333333333,0
query_11405,,0
query_11406,113.919,1916,113.46033402922755,0
query_11407,34.097,916,102.84497816593887,0
query_11408,0.362,4,126.5,0
query_11409,81.365,4582,171.11021388040157,0
query_1140,,0
query_11410,36.744,945,107.77566137566137,0
query_11411,,0
query_11412,2.012,54,108.0925925925926,0
query_11413,0.478,5,123.6,0
query_11414,0.313,4,110.75,0
query_11415,0.535,6,128.5,0
query_11416,0.393,10,124.8,0
query_11417,,0
query_11418,104.065,3442,109.80650784427658,0
query_11419,,0
query_1141,,0
query_11420,,0
query_11421,,0
query_11422,62.131,3068,123.00945241199479,0
query_11423,0.231,1,110,0
query_11424,,0
query_11425,79.919,3915,116.98339719029374,0
query_11426,37.428,1246,106.92937399678972,0
query_11427,3.275,89,105.4494382022472,0
query_11428,29.53,1050,98.49333333333334,0
query_11429,48.799,1648,109.8622572815534,0
query_1142,,0
query_11430,,0
query_11431,28.002,944,104.56567796610169,0
query_11432,43.329,1704,92.80633802816901,0
query_11433,1.606,54,83.98148148148148,0
query_11434,5.812,238,82.18487394957984,0
query_11435,2.61,94,86.5,0
query_11436,4.85,165,82.24848484848485,0
query_11437,90.374,3430,98.88192419825073,0
query_11438,,0
query_11439,1.344,49,74.06122448979592,0
query_1143,,0
query_11440,,0
query_11441,,0
query_11442,,0
query_11443,,0
query_11444,100.814,4253,101.45638372913238,0
query_11445,,0
query_11446,,0
query_11447,13.55,502,92.17729083665338,0
query_11448,0.28,3,120,0
query_11449,25.27,903,89.27685492801771,0
query_1144,0.138,1,56,0
query_11450,,0
query_11451,9.344,327,141.67889908256882,0
query_11452,9.443,195,112.71794871794872,0
query_11453,,0
query_11454,41.875,1655,91.11661631419939,0
query_11455,0.589,11,110.0909090909091,0
query_11456,,0
query_11457,2.965,90,115.24444444444444,0
query_11458,0.342,4,118.25,0
query_11459,,0
query_1145,0.219,1,88,0
query_11460,,0
query_11461,,0
query_11462,117.843,4527,133.39253368676827,0
query_11463,,0
query_11464,0.299,6,89.83333333333333,0
query_11465,0.249,1,121,0
query_11466,49.841,1730,105.32832369942197,0
query_11467,,0
query_11468,8.035,173,115.36416184971098,0
query_11469,,0
query_1146,103.606,4556,123.82857769973661,0
query_11470,0.48,8,99.375,0
query_11471,0.37,5,113,0
query_11472,0.194,1,95,0
query_11473,,0
query_11474,,0
query_11475,77.945,2922,104.20670773442848,0
query_11476,0.316,4,101.5,0
query_11477,45.885,1583,107.85660138976627,0
query_11478,,0
query_11479,91.892,3435,99.59737991266375,0
query_1147,0.285,3,92.66666666666667,0
query_11480,40.22,1375,89.38472727272728,0
query_11481,3.075,123,83.22764227642277,0
query_11482,,0
query_11483,,0
query_11484,,0
query_11485,58.949,2729,134.7420300476365,0
query_11486,,0
query_11487,18.048,772,84.33290155440415,0
query_11488,,0
query_11489,94.916,3192,108.79385964912281,0
query_1148,0.157,1,60,0
query_11490,102.833,2890,107.87577854671281,0
query_11491,0.345,10,150,0
query_11492,87.936,3523,116.95940959409594,0
query_11493,6.753,245,94.97551020408163,0
query_11494,,0
query_11495,,0
query_11496,57.43,2779,134.55271680460598,0
query_11497,1.918,44,102.81818181818181,0
query_11498,85.888,4581,182.53896529142108,0
query_11499,3.062,106,87,0
query_1149,,0
query_114,,0
query_11500,55.675,1812,98.23178807947019,0
query_11501,0.352,3,111.33333333333333,0
query_11502,93.997,3257,104.74946269573226,0
query_11503,0.386,3,122.66666666666667,0
query_11504,,0
query_11505,0.134,1,102,0
query_11506,5.027,192,98.21875,0
query_11507,,0
query_11508,,0
query_11509,0.99,25,92.6,0
query_1150,,0
query_11510,100.908,3113,98.7295213620302,0
query_11511,4.603,149,107.00671140939598,0
query_11512,0.68,14,130.78571428571428,0
query_11513,1.444,37,103.86486486486487,0
query_11514,,0
query_11515,98.214,4091,123.46590075776093,0
query_11516,71.22,3094,133.7065287653523,0
query_11517,1.845,55,114.18181818181819,0
query_11518,4.67,118,107.90677966101696,0
query_11519,,0
query_1151,0.955,28,81.57142857142857,0
query_11520,0.173,1,88,0
query_11521,,0
query_11522,33.767,1088,93.29227941176471,0
query_11523,,0
query_11524,,0
query_11525,,0
query_11526,,0
query_11527,21.453,912,88.97587719298245,0
query_11528,0.277,10,110.3,0
query_11529,,0
query_1152,63.461,3088,119.83387305699482,0
query_11530,,0
query_11531,32.957,1144,104.35751748251748,0
query_11532,69.517,2164,102.62846580406655,0
query_11533,0.426,10,131.8,0
query_11534,1.677,67,81.8955223880597,0
query_11535,4.803,118,98.88135593220339,0
query_11536,70.254,3631,115.89727347838061,0
query_11537,86.24,3309,97.81656089453007,0
query_11538,37.136,1312,89.8376524390244,0
query_11539,,0
query_1153,0.375,3,119,0
query_11540,,0
query_11541,93.009,3482,94.36272257323377,0
query_11542,6.592,193,83.67357512953367,0
query_11543,,0
query_11544,,0
query_11545,5.277,185,99.80540540540541,0
query_11546,,0
query_11547,0.423,15,67.26666666666667,0
query_11548,0.231,4,60,0
query_11549,0.445,9,121.33333333333333,0
query_1154,0.156,1,85,0
query_11550,,0
query_11551,0.2,1,114,0
query_11552,2.263,70,96.18571428571428,0
query_11553,,0
query_11554,94.155,3850,110.87454545454545,0
query_11555,,0
query_11556,2.331,87,86.04597701149426,0
query_11557,6.961,187,82.22459893048128,0
query_11558,75.795,3192,84.98402255639098,0
query_11559,,0
query_1155,59.432,1853,94.34484619535888,0
query_11560,,0
query_11561,16.753,734,96.35694822888283,0
query_11562,,0
query_11563,,0
